Code,Date,Open,High,Low,Close,Volume,Value,Trades
ALQ,11/06/2015,5.990,6.180,5.950,6.170,1933555,11824094.115,4750
ALQ,12/06/2015,6.060,6.100,6.030,6.070,1645039,9969277.870,4240
ALQ,15/06/2015,6.100,6.140,5.970,6.090,2344685,14224994.280,4158
ALQ,16/06/2015,6.000,6.050,5.940,5.980,1913593,11468216.260,3593
ALQ,17/06/2015,5.980,6.100,5.960,6.030,2492011,15042512.335,3575
ALQ,18/06/2015,5.990,6.060,5.920,5.980,2937646,17575038.515,5534
ALQ,19/06/2015,5.990,6.190,5.970,6.190,3228322,19894006.731,5016
ALQ,22/06/2015,6.160,6.220,5.970,6.000,1841214,11113598.815,2797
ALQ,23/06/2015,6.080,6.080,5.960,6.020,1642866,9912292.205,4082
ALQ,24/06/2015,6.050,6.150,6.010,6.070,2056532,12492072.225,3712
ALQ,25/06/2015,6.050,6.130,5.980,6.080,2120253,12899397.745,3534
ALQ,26/06/2015,6.000,6.030,5.800,5.920,2294398,13571465.095,4204
ALQ,29/06/2015,5.820,5.820,5.670,5.710,1711094,9778636.160,3119
ALQ,30/06/2015,5.670,5.900,5.590,5.850,2313042,13453963.060,5344
ALQ,01/07/2015,5.800,5.930,5.800,5.900,1326407,7793111.800,3611
ALQ,02/07/2015,5.960,6.190,5.850,6.150,1912635,11668471.510,4728
ALQ,03/07/2015,6.130,6.190,5.950,6.010,1935856,11652027.170,6467
ALQ,06/07/2015,5.910,5.980,5.840,5.930,1655109,9791871.390,4144
ALQ,07/07/2015,5.890,5.990,5.710,5.910,3054834,18046051.995,5235
ALQ,08/07/2015,5.770,5.820,5.610,5.680,3977679,22648951.050,5728
ALQ,09/07/2015,5.570,5.590,5.360,5.550,5352926,29278985.970,6191
ALQ,10/07/2015,5.560,5.710,5.540,5.630,1841585,10391802.375,3603
ALQ,13/07/2015,5.620,5.620,5.500,5.570,3091980,17196410.610,3872
ALQ,14/07/2015,5.650,5.700,5.500,5.600,1376365,7677490.535,3605
ALQ,15/07/2015,5.620,5.690,5.600,5.680,1533801,8676337.560,3695
ALQ,16/07/2015,5.770,5.770,5.630,5.730,960647,5483755.605,2344
ALQ,17/07/2015,5.760,5.790,5.540,5.600,1104762,6191794.900,2784
ALQ,20/07/2015,5.600,5.680,5.430,5.460,1237674,6807169.980,2450
ALQ,21/07/2015,5.460,5.560,5.420,5.520,3006990,16526277.565,3504
ALQ,22/07/2015,5.500,5.500,5.330,5.330,3017745,16436859.925,2701
ALQ,23/07/2015,5.290,5.390,5.240,5.350,1972858,10482359.985,3362
ALQ,24/07/2015,5.320,5.390,5.290,5.300,1135926,6049445.955,2163
ALQ,27/07/2015,5.230,5.340,5.230,5.330,1317919,6988275.235,2658
ALQ,28/07/2015,5.250,5.270,5.170,5.220,2804106,14635269.585,3898
ALQ,29/07/2015,5.250,5.345,5.240,5.310,2506542,13301073.845,3754
ALQ,30/07/2015,5.360,5.480,5.150,5.480,3936025,21089705.065,4214
ALQ,31/07/2015,5.450,5.460,5.160,5.360,4939072,26304811.640,4849
ALQ,03/08/2015,5.390,5.430,5.335,5.350,1578664,8468861.530,2477
ALQ,04/08/2015,5.300,5.325,5.215,5.260,4342125,22890443.665,5593
