Code,Date,Open,High,Low,Close,Volume,Value,Trades
ATOM,07/12/2022,9.760,9.770,9.760,9.770,4103,40070.720,4
ATOM,08/12/2022,9.720,9.720,9.630,9.720,6768,65632.060,9
ATOM,09/12/2022,9.760,9.830,9.750,9.800,23404,228897.280,7
ATOM,12/12/2022,9.700,9.700,9.650,9.650,4496,43454.100,5
ATOM,13/12/2022,9.850,9.850,9.840,9.840,211,2076.340,2
ATOM,14/12/2022,9.770,9.800,9.660,9.800,31959,310654.070,10
ATOM,15/12/2022,9.690,9.690,9.660,9.660,64,618.360,2
ATOM,16/12/2022,9.700,9.700,9.700,9.700,600,5820.000,1
ATOM,19/12/2022,9.710,9.710,9.710,9.710,1000,9710.000,1
ATOM,20/12/2022,9.680,9.680,9.680,9.680,120,1161.600,2
ATOM,21/12/2022,9.700,9.700,9.700,9.700,616,5975.200,1
ATOM,22/12/2022,9.890,9.890,9.890,9.890,503,4974.670,1
ATOM,23/12/2022,0.000,0.000,0.000,9.890,0,0.000,0
ATOM,28/12/2022,0.000,0.000,0.000,9.890,0,0.000,0
ATOM,29/12/2022,9.800,9.800,9.800,9.800,1515,14847.000,1
ATOM,30/12/2022,0.000,0.000,0.000,9.800,0,0.000,0
ATOM,03/01/2023,9.830,9.830,9.750,9.760,11020,107625.620,5
ATOM,04/01/2023,9.930,9.930,9.930,9.930,602,5977.860,1
ATOM,05/01/2023,10.020,10.020,9.750,9.750,4997,48721.020,2
ATOM,06/01/2023,9.950,9.950,9.950,9.950,500,4975.000,1
ATOM,09/01/2023,10.270,10.270,10.270,10.270,290,2978.300,1
ATOM,10/01/2023,0.000,0.000,0.000,10.270,0,0.000,0
ATOM,11/01/2023,10.570,10.570,10.570,10.570,473,4999.610,1
ATOM,12/01/2023,10.570,10.570,10.500,10.500,1573,16618.530,4
ATOM,13/01/2023,10.590,10.590,10.550,10.550,971,10255.290,2
ATOM,16/01/2023,10.620,10.620,10.500,10.570,654,6888.050,7
