Code,Date,Open,High,Low,Close,Volume,Value,Trades
CSL,11/06/2015,89.520,90.090,88.750,89.020,1229300,109772661.285,17869
CSL,12/06/2015,88.750,89.480,88.430,89.300,896227,79825694.525,15577
CSL,15/06/2015,89.300,89.300,88.310,89.030,834438,74180881.649,9946
CSL,16/06/2015,89.820,89.820,88.000,88.200,1047377,92716355.325,13268
CSL,17/06/2015,88.690,88.830,86.610,87.200,2127103,186086823.655,20236
CSL,18/06/2015,87.000,87.280,85.820,85.970,1939707,167817392.690,21500
CSL,19/06/2015,87.000,87.670,86.400,87.400,1735863,151601454.250,18489
CSL,22/06/2015,87.790,87.790,87.070,87.540,953749,83401621.050,9510
CSL,23/06/2015,88.890,89.590,88.510,89.470,1224470,109198717.805,19274
CSL,24/06/2015,90.000,90.180,89.000,89.930,1294755,116267769.704,15631
CSL,25/06/2015,89.930,89.960,88.420,88.860,1406972,125129417.545,18071
CSL,26/06/2015,88.410,88.510,87.230,87.770,2675361,233042078.765,18587
CSL,29/06/2015,86.060,86.360,85.710,85.850,1040035,89387357.560,17472
CSL,30/06/2015,85.690,86.650,85.400,86.470,1279321,109922338.885,22228
CSL,01/07/2015,86.210,88.550,86.210,88.550,1038798,90995380.770,14400
CSL,02/07/2015,89.120,90.070,88.950,89.860,1146930,102789932.835,18085
CSL,03/07/2015,89.130,89.490,87.490,88.140,927484,81699491.535,15174
CSL,06/07/2015,87.350,87.640,86.610,86.950,773328,67354408.100,15798
CSL,07/07/2015,87.990,89.150,87.000,89.000,1424360,126559894.840,21547
CSL,08/07/2015,88.730,88.860,88.050,88.580,1087423,96299747.040,18816
CSL,09/07/2015,88.000,88.640,86.780,88.450,1204631,105697827.065,19400
CSL,10/07/2015,89.000,89.475,88.060,88.060,742706,65751742.655,14204
CSL,13/07/2015,89.280,90.470,88.380,89.450,799480,71658208.695,15304
CSL,14/07/2015,90.380,92.200,90.380,92.200,1580513,144875870.225,21364
CSL,15/07/2015,93.320,94.460,93.170,94.270,1432487,134443747.570,20380
CSL,16/07/2015,94.720,95.300,93.520,93.850,990657,93353948.440,15045
CSL,17/07/2015,94.200,94.610,93.340,93.900,803506,75562501.360,18137
CSL,20/07/2015,93.350,95.530,93.350,95.480,818953,77810149.695,12938
CSL,21/07/2015,96.090,96.480,95.690,96.250,704712,67773622.935,13333
CSL,22/07/2015,96.190,96.190,94.510,94.620,951322,90320768.435,14125
CSL,23/07/2015,94.160,94.990,93.900,94.240,818848,77297881.110,16091
CSL,24/07/2015,93.810,94.440,93.300,93.700,745264,69920684.615,12326
CSL,27/07/2015,93.600,94.760,93.140,94.650,637227,60115516.060,9287
CSL,28/07/2015,95.500,96.600,95.170,96.170,1397659,134172989.445,19342
CSL,29/07/2015,96.500,97.950,96.490,97.700,1339550,130594513.182,19515
CSL,30/07/2015,98.200,98.640,95.930,96.350,1369541,132432221.940,23451
CSL,31/07/2015,97.790,99.330,96.500,98.960,3012714,289068178.625,17397
CSL,03/08/2015,99.550,99.900,98.300,98.830,734289,72645431.834,13013
CSL,04/08/2015,99.000,101.130,99.000,100.770,1335795,134398046.015,18472
CSL,05/08/2015,101.330,102.430,99.450,100.210,1240333,124868526.195,19050
CSL,06/08/2015,99.050,100.140,98.190,98.450,1079296,106666982.135,20247
CSL,07/08/2015,99.200,99.750,96.840,96.840,986245,96093531.460,15017
CSL,10/08/2015,96.900,97.860,95.500,96.950,917535,88675236.495,14887
CSL,11/08/2015,97.380,97.480,94.730,95.110,1118518,106803021.430,18942
CSL,12/08/2015,89.700,94.470,89.600,93.000,2172355,202057627.621,25177
CSL,13/08/2015,92.920,93.900,92.080,92.920,1301608,121163924.705,16940
CSL,14/08/2015,93.170,93.930,92.500,93.150,993679,92599984.863,16791
CSL,17/08/2015,93.300,94.870,93.300,93.870,1021247,96064030.920,13697
CSL,18/08/2015,93.960,94.810,93.350,93.490,961900,90359497.074,15746
CSL,19/08/2015,94.830,94.830,92.260,93.130,962383,89671057.186,12713
CSL,20/08/2015,92.130,92.670,91.680,92.000,917688,84532067.570,11865
CSL,21/08/2015,91.050,91.650,89.560,90.150,1634552,147723162.570,18936
CSL,24/08/2015,88.900,90.090,88.030,88.290,1974118,175528034.490,19911
CSL,25/08/2015,87.110,91.330,87.110,90.590,1946390,175111604.655,25738
CSL,26/08/2015,88.240,90.750,88.240,90.400,1664859,149942327.599,24918
CSL,27/08/2015,91.960,93.170,91.630,92.750,2429033,224876376.055,20767
CSL,28/08/2015,93.770,93.770,92.040,92.620,1887934,175254598.235,19838
CSL,31/08/2015,92.100,92.320,90.760,91.870,1346611,123490042.193,10416
CSL,01/09/2015,91.310,91.720,89.720,89.860,1065990,96568579.405,16140
CSL,02/09/2015,89.530,91.150,89.420,91.030,1134823,102657847.550,15711
CSL,03/09/2015,91.880,92.950,89.930,90.020,1207985,109573345.927,20202
CSL,04/09/2015,90.810,90.810,88.940,90.180,1095337,98775587.945,15422
CSL,07/09/2015,90.200,90.660,89.200,90.660,973958,87324583.589,12222
CSL,08/09/2015,90.780,91.540,89.620,90.760,862552,77998162.360,14429
CSL,09/09/2015,92.300,92.390,90.900,91.950,1076279,98593030.740,15296
CSL,10/09/2015,90.440,91.820,89.740,90.200,1097256,99324727.630,17970
CSL,11/09/2015,91.300,91.300,88.930,88.930,753131,67503765.780,15192
CSL,14/09/2015,90.400,90.740,89.620,90.070,835000,75081751.729,11768
CSL,15/09/2015,90.800,90.900,88.540,88.960,814730,72799942.250,15178
CSL,16/09/2015,90.160,90.940,89.320,90.500,1093612,98495359.005,11654
CSL,17/09/2015,91.290,91.290,90.100,90.450,1164793,106032076.640,7063
CSL,18/09/2015,90.020,91.690,89.700,90.570,1200365,108850549.423,9465
CSL,21/09/2015,89.330,90.280,89.020,90.200,861187,77222006.085,18447
CSL,22/09/2015,91.100,91.150,89.620,90.330,559509,50502131.910,10640
CSL,23/09/2015,89.000,89.740,88.620,89.240,978738,87384179.615,16678
CSL,24/09/2015,90.330,91.240,90.060,90.670,1379319,125089595.135,13847
CSL,25/09/2015,91.300,91.565,89.970,90.420,1428607,127019754.520,12335
CSL,28/09/2015,89.750,90.760,89.280,90.760,651467,58745423.705,11122
CSL,29/09/2015,89.260,89.390,87.680,87.800,1429499,125927370.425,18985
CSL,30/09/2015,88.490,89.360,88.160,89.200,1240491,110217855.425,14829
CSL,01/10/2015,89.040,89.950,88.860,89.940,775310,69401478.175,14842
CSL,02/10/2015,89.230,89.930,88.100,88.540,709634,63013833.538,10991
