Code,Date,Open,High,Low,Close,Volume,Value,Trades
FMG,11/06/2015,2.400,2.490,2.390,2.480,16651232,40732829.165,2873
FMG,12/06/2015,2.490,2.490,2.440,2.460,8997226,22153486.465,2312
FMG,15/06/2015,2.410,2.470,2.400,2.440,10416540,25423083.695,2315
FMG,16/06/2015,2.410,2.460,2.310,2.320,12283134,29151685.725,3739
FMG,17/06/2015,2.270,2.270,2.210,2.220,16530437,36957462.280,3361
FMG,18/06/2015,2.180,2.185,2.080,2.130,23701075,50598278.740,3502
FMG,19/06/2015,2.160,2.220,2.150,2.160,13691840,29775573.310,2976
FMG,22/06/2015,2.180,2.215,2.150,2.200,7695301,16827723.220,1802
FMG,23/06/2015,2.200,2.210,2.140,2.180,10621179,23073511.330,2928
FMG,24/06/2015,2.210,2.235,2.180,2.200,10925956,24129939.020,3232
FMG,25/06/2015,2.200,2.210,2.120,2.120,9092906,19544807.415,2544
FMG,26/06/2015,2.080,2.090,1.990,1.990,26991410,61693653.739,3372
FMG,29/06/2015,1.975,1.975,1.915,1.930,16413154,31849115.267,4276
FMG,30/06/2015,1.915,1.915,1.880,1.910,23866579,45285449.207,4975
FMG,01/07/2015,1.850,1.855,1.792,1.830,23840243,43550175.130,7330
FMG,02/07/2015,1.840,1.930,1.820,1.910,19016704,35669367.738,4500
FMG,03/07/2015,1.810,1.860,1.795,1.820,29924917,54468940.148,6593
FMG,06/07/2015,1.780,1.785,1.715,1.715,23955838,41803241.609,5310
FMG,07/07/2015,1.705,1.795,1.700,1.785,31899799,56101742.403,6058
FMG,08/07/2015,1.730,1.745,1.675,1.675,33981983,58075246.257,6671
FMG,09/07/2015,1.640,1.790,1.610,1.785,36064227,61681201.740,7213
FMG,10/07/2015,1.825,1.855,1.790,1.815,33815036,61584637.045,8036
FMG,13/07/2015,1.820,1.825,1.720,1.725,20675327,36774297.348,4281
FMG,14/07/2015,1.810,1.835,1.780,1.790,20964624,37888185.851,4175
FMG,15/07/2015,1.775,1.785,1.742,1.775,19525678,34395908.549,4136
FMG,16/07/2015,1.765,1.767,1.725,1.750,18732989,32842777.954,3961
FMG,17/07/2015,1.735,1.755,1.705,1.715,16260303,27956954.417,4174
FMG,20/07/2015,1.730,1.745,1.685,1.745,15831415,27201379.551,3968
FMG,21/07/2015,1.760,1.782,1.735,1.740,20973046,36876995.905,4817
FMG,22/07/2015,1.750,1.790,1.725,1.750,24332262,42966053.476,4647
FMG,23/07/2015,1.740,1.775,1.635,1.645,39832962,66700891.418,6871
FMG,24/07/2015,1.695,1.715,1.650,1.660,26473554,44506399.520,4900
FMG,27/07/2015,1.650,1.735,1.650,1.710,27600432,46887526.435,6066
FMG,28/07/2015,1.680,1.765,1.660,1.750,35756293,61704804.896,5664
FMG,29/07/2015,1.795,1.885,1.790,1.880,46657617,86306064.814,7584
FMG,30/07/2015,1.925,1.945,1.875,1.895,31510774,59916834.642,6097
