Code,Date,Open,High,Low,Close,Volume,Value,Trades
JHX,11/06/2015,16.700,16.940,16.510,16.940,1198136,20193100.550,5107
JHX,12/06/2015,16.960,17.400,16.830,17.290,1112237,19170212.990,6254
JHX,15/06/2015,17.120,17.360,17.100,17.330,925593,15975715.580,4390
JHX,16/06/2015,17.400,17.680,17.330,17.520,1121640,19675778.820,7166
JHX,17/06/2015,17.440,17.640,17.330,17.600,1726785,30257005.789,5890
JHX,18/06/2015,17.950,17.950,17.390,17.490,1884467,33380493.575,6619
JHX,19/06/2015,17.520,17.950,17.490,17.950,1280921,22913249.659,5564
JHX,22/06/2015,17.920,18.000,17.750,17.810,945683,16912099.940,4186
JHX,23/06/2015,18.280,18.430,18.060,18.210,1569930,28572351.940,7938
JHX,24/06/2015,18.430,18.430,18.210,18.240,1274790,23297963.500,5886
JHX,25/06/2015,17.870,18.000,17.550,17.550,1028340,18205895.690,6892
JHX,26/06/2015,17.280,17.860,17.120,17.790,2071008,35924749.997,7810
JHX,29/06/2015,17.510,17.640,17.280,17.280,1019493,17712608.815,5641
JHX,30/06/2015,17.210,17.430,17.090,17.320,1328784,22942377.085,8139
JHX,01/07/2015,17.300,18.040,17.300,17.840,906474,16143017.145,5741
JHX,02/07/2015,17.880,18.380,17.840,18.360,1197242,21886862.290,7050
JHX,03/07/2015,18.120,18.185,17.570,17.830,1027829,18269012.195,5650
JHX,06/07/2015,17.530,18.130,17.420,17.830,733235,13065310.030,5728
JHX,07/07/2015,18.050,18.500,17.890,18.190,1297329,23678025.435,7883
JHX,08/07/2015,17.850,18.165,17.570,17.570,1639284,29183479.515,7818
JHX,09/07/2015,17.670,17.910,17.460,17.670,1219689,21551003.500,7219
JHX,10/07/2015,18.140,18.140,17.755,17.780,819976,14655939.155,4983
JHX,13/07/2015,17.780,18.290,17.620,18.050,931765,16883726.610,4299
JHX,14/07/2015,18.430,18.430,18.070,18.210,1036198,18872848.640,4828
JHX,15/07/2015,18.250,18.760,18.230,18.740,1445384,26874717.555,6378
JHX,16/07/2015,18.970,19.060,18.820,18.840,829193,15688552.015,3824
JHX,17/07/2015,18.840,18.970,18.770,18.780,638498,12037469.380,3297
JHX,20/07/2015,19.000,19.160,18.820,19.000,617766,11726424.870,3582
JHX,21/07/2015,19.120,19.340,19.010,19.160,868328,16672616.875,5051
JHX,22/07/2015,18.800,18.965,18.450,18.450,1845515,34295626.330,6635
JHX,23/07/2015,18.600,18.720,18.560,18.660,648400,12099533.065,4161
JHX,24/07/2015,18.640,18.720,18.370,18.500,1060075,19605742.960,3693
JHX,27/07/2015,18.500,18.500,18.320,18.490,763519,14084835.625,3629
JHX,28/07/2015,18.250,18.580,18.150,18.460,1052788,19391617.970,4863
JHX,29/07/2015,18.700,19.050,18.570,18.900,995519,18825818.195,4221
JHX,30/07/2015,18.980,19.005,18.610,18.700,739014,13837136.610,4542
JHX,31/07/2015,19.000,19.300,18.870,18.990,2330357,43470974.200,5361
JHX,03/08/2015,19.440,19.590,19.250,19.250,691509,13397084.970,4489
JHX,04/08/2015,19.420,20.040,19.360,19.480,1477820,29119731.600,7431
JHX,05/08/2015,19.180,19.210,18.710,18.720,1176754,22175992.975,6039
JHX,06/08/2015,18.750,18.920,18.680,18.700,1313811,24719766.140,5962
JHX,07/08/2015,18.330,18.440,18.200,18.200,1063974,19460118.030,5899
JHX,10/08/2015,18.200,18.685,18.200,18.360,779940,14333110.590,5420
JHX,11/08/2015,18.510,18.600,18.120,18.190,911162,16642430.315,5061
JHX,12/08/2015,18.400,18.580,18.020,18.280,1502673,27503430.960,6985
JHX,13/08/2015,18.100,18.390,17.920,17.950,994678,17986445.975,5808
JHX,14/08/2015,17.250,18.430,17.140,17.950,4209625,75304226.272,11271
JHX,17/08/2015,18.070,18.510,17.600,18.110,1631154,29630959.055,6947
JHX,18/08/2015,18.300,18.310,17.860,17.950,1452683,26212908.015,5981
JHX,19/08/2015,17.750,18.240,17.750,18.180,1505421,27179069.113,4447
JHX,20/08/2015,17.880,18.090,17.290,17.770,2289180,40932315.425,5181
JHX,21/08/2015,17.450,17.810,17.320,17.470,2438399,42606406.050,7216
JHX,24/08/2015,17.150,17.330,16.690,16.800,2165065,36815297.850,8405
JHX,25/08/2015,16.200,17.360,16.200,17.330,1993819,34040951.015,8259
JHX,26/08/2015,17.150,17.770,17.140,17.650,1956858,34385218.350,7253
JHX,27/08/2015,17.660,18.220,17.510,17.520,1267517,22401384.715,5285
JHX,28/08/2015,17.900,18.000,17.700,17.880,1158632,20563137.535,5190
JHX,31/08/2015,17.480,17.740,17.360,17.570,889831,15609934.422,4038
JHX,01/09/2015,17.490,17.740,17.170,17.250,1124797,19464171.180,5332
JHX,02/09/2015,17.050,17.710,17.050,17.540,1510200,26261379.195,6140
JHX,03/09/2015,17.950,17.950,17.260,17.350,1226164,21380412.210,6927
JHX,04/09/2015,17.350,17.740,17.160,17.490,778553,13570914.030,5010
JHX,07/09/2015,17.520,17.760,17.370,17.620,721733,12724124.520,3709
JHX,08/09/2015,17.630,17.870,17.600,17.810,515779,9152632.072,2724
JHX,09/09/2015,18.080,18.240,17.910,18.030,1183602,21306792.330,6151
JHX,10/09/2015,17.550,18.050,17.550,17.940,1133521,20285157.045,4974
JHX,11/09/2015,17.940,18.630,17.930,18.170,1227004,22504206.470,7218
JHX,14/09/2015,18.900,18.900,18.250,18.250,1812985,33479379.905,7304
JHX,15/09/2015,17.920,18.120,17.800,17.800,1248008,22405501.505,6344
JHX,16/09/2015,17.800,18.060,17.680,17.760,3161347,56193804.475,5934
JHX,17/09/2015,17.850,17.855,17.600,17.700,2498215,44395477.995,5567
JHX,18/09/2015,17.750,17.920,17.560,17.740,1074042,19093962.910,3345
JHX,21/09/2015,17.290,17.560,17.140,17.560,1226892,21337210.730,4849
JHX,22/09/2015,17.800,17.920,17.375,17.550,973792,17142764.625,4953
JHX,23/09/2015,17.300,17.580,17.200,17.550,1386960,24131838.860,6684
JHX,24/09/2015,17.550,17.820,17.440,17.650,1149173,20264212.350,5895
JHX,25/09/2015,17.730,17.980,17.300,17.430,1507336,26318164.150,4997
