Code,Date,Open,High,Low,Close,Volume,Value,Trades
MIN,11/06/2015,7.330,7.440,7.280,7.360,755685,5562559.320,2902
MIN,12/06/2015,7.280,7.580,7.180,7.500,684842,5101241.865,2588
MIN,15/06/2015,7.530,7.630,7.320,7.610,533435,4019915.475,2107
MIN,16/06/2015,7.530,7.580,6.970,7.000,1050944,7584008.130,4215
MIN,17/06/2015,7.030,7.270,6.710,7.260,1349201,9585630.260,3927
MIN,18/06/2015,7.110,7.260,7.000,7.200,1057448,7551998.925,4300
MIN,19/06/2015,7.050,7.360,6.960,7.290,1948185,14172121.083,3944
MIN,22/06/2015,7.450,7.450,7.240,7.350,478743,3504920.345,1826
MIN,23/06/2015,7.390,7.500,7.300,7.380,783962,5797980.305,4147
MIN,24/06/2015,7.380,7.380,7.090,7.130,1013675,7262270.435,3733
MIN,25/06/2015,7.120,7.120,6.570,6.610,1532639,10391610.550,4928
MIN,26/06/2015,6.560,6.690,6.290,6.390,1551844,9951751.685,4542
MIN,29/06/2015,6.190,6.420,6.140,6.400,989440,6269719.380,3691
MIN,30/06/2015,6.320,6.660,6.280,6.600,1373846,8983486.060,5281
MIN,01/07/2015,6.550,6.780,6.550,6.770,779789,5228196.180,3750
MIN,02/07/2015,7.030,7.040,6.740,6.900,1366788,9391161.105,4934
MIN,03/07/2015,6.680,6.730,6.300,6.340,1137106,7324363.140,3997
MIN,06/07/2015,6.090,6.220,6.090,6.160,826574,5093030.295,3386
MIN,07/07/2015,6.120,6.210,5.870,6.160,1117797,6776864.020,4069
MIN,08/07/2015,6.010,6.050,5.770,5.950,1397335,8276296.760,4473
MIN,09/07/2015,5.850,6.250,5.740,6.200,1368196,8262849.595,3686
MIN,10/07/2015,6.260,6.280,6.090,6.180,932504,5777883.295,2631
MIN,13/07/2015,6.170,6.180,5.930,5.950,850150,5110208.830,2565
MIN,14/07/2015,6.200,6.260,6.050,6.240,900024,5576917.645,3625
MIN,15/07/2015,6.290,6.330,6.170,6.240,732097,4570615.215,2891
MIN,16/07/2015,6.350,6.380,6.160,6.220,650991,4065917.545,2701
MIN,17/07/2015,6.250,6.260,5.900,5.940,1163030,6962066.510,3676
MIN,20/07/2015,5.970,6.000,5.830,5.900,923817,5434190.690,3924
MIN,21/07/2015,5.920,5.950,5.785,5.870,953069,5576132.985,4032
MIN,22/07/2015,5.840,5.980,5.690,5.840,1524057,8925892.725,2715
MIN,23/07/2015,5.820,5.830,5.550,5.630,1607390,9063386.875,4850
MIN,24/07/2015,5.520,5.650,5.400,5.580,1738344,9668873.655,5141
MIN,27/07/2015,5.560,5.560,5.300,5.410,1121124,6031359.990,4423
MIN,28/07/2015,5.360,5.580,5.300,5.480,1723661,9429337.755,5256
MIN,29/07/2015,5.520,5.600,5.305,5.400,1716998,9290775.820,6588
MIN,30/07/2015,5.450,5.500,5.340,5.370,2022648,10919442.365,6400
MIN,31/07/2015,5.420,5.510,5.310,5.420,2483428,13445396.325,4535
MIN,03/08/2015,5.600,5.720,5.500,5.620,1462904,8222940.880,4604
MIN,04/08/2015,5.540,5.650,5.330,5.370,1243180,6790690.090,4958
MIN,05/08/2015,5.340,5.360,5.180,5.280,1994625,10569340.870,5594
MIN,06/08/2015,5.260,5.310,5.010,5.180,1897004,9779384.310,5242
MIN,07/08/2015,5.030,5.150,4.920,5.050,2150355,10838880.540,5516
MIN,10/08/2015,5.040,5.270,5.040,5.190,1706656,8760005.330,4763
MIN,11/08/2015,5.220,5.250,5.050,5.110,1337227,6833417.455,4405
MIN,12/08/2015,5.050,5.120,4.900,4.960,1097441,5467055.635,3498
MIN,13/08/2015,4.970,5.100,4.910,4.920,1392914,6970380.010,3924
MIN,14/08/2015,4.910,4.965,4.775,4.830,927190,4505078.900,4015
MIN,17/08/2015,4.850,4.910,4.780,4.860,845527,4097400.395,2602
MIN,18/08/2015,4.840,4.930,4.700,4.740,707911,3384530.543,2757
MIN,19/08/2015,4.730,4.780,4.650,4.760,674666,3185333.435,2238
MIN,20/08/2015,4.550,4.720,4.400,4.470,1154293,5247811.110,3977
MIN,21/08/2015,4.320,4.910,4.320,4.660,2783579,13043557.310,6411
MIN,24/08/2015,4.570,4.580,4.320,4.380,2193730,9669142.110,5425
MIN,25/08/2015,4.270,4.620,4.210,4.540,2189450,9817900.950,5204
MIN,26/08/2015,4.410,4.520,4.320,4.410,2168373,9530338.845,4561
MIN,27/08/2015,4.460,4.480,4.120,4.270,1996930,8449511.290,3592
MIN,28/08/2015,4.320,4.410,4.220,4.340,1995062,8590566.165,4579
MIN,31/08/2015,4.240,4.500,4.230,4.370,1671786,7345689.945,3360
MIN,01/09/2015,4.400,4.440,4.200,4.200,2125726,9081710.935,5179
MIN,02/09/2015,3.950,4.190,3.940,4.120,2191572,8898043.190,4289
MIN,03/09/2015,4.150,4.360,4.140,4.300,2288838,9807447.225,4246
MIN,04/09/2015,4.290,4.300,4.010,4.150,2133680,8786121.565,3638
MIN,07/09/2015,4.080,4.150,4.010,4.140,1120561,4605015.695,2163
MIN,08/09/2015,4.170,4.240,4.120,4.190,525464,2203072.020,1133
MIN,09/09/2015,4.230,4.420,4.230,4.320,1471158,6358387.970,3097
MIN,10/09/2015,4.300,4.300,4.090,4.190,1750063,7358787.365,2640
MIN,11/09/2015,4.250,4.270,4.110,4.220,1382567,5772658.590,2714
MIN,14/09/2015,4.320,4.410,4.240,4.310,1937833,8296441.375,3018
MIN,15/09/2015,4.270,4.320,4.130,4.200,1045997,4408962.645,1541
MIN,16/09/2015,4.170,4.240,4.090,4.180,1086989,4548936.244,2394
MIN,17/09/2015,4.310,4.630,4.300,4.580,2089650,9356226.544,2139
MIN,18/09/2015,4.540,4.540,4.370,4.420,957763,4259985.831,2206
MIN,21/09/2015,4.330,4.410,4.270,4.400,1050749,4569983.590,1846
MIN,22/09/2015,4.440,4.440,4.260,4.280,1196682,5195306.885,2171
MIN,23/09/2015,4.150,4.290,4.080,4.130,1841964,7598714.780,3705
MIN,24/09/2015,4.110,4.120,3.950,4.070,1434040,5767852.500,3259
MIN,25/09/2015,4.140,4.240,4.130,4.200,1231260,5161272.630,1978
MIN,28/09/2015,4.170,4.250,4.080,4.220,750246,3152900.670,2186
MIN,29/09/2015,4.040,4.080,3.920,4.060,2227651,8973810.915,2931
MIN,30/09/2015,4.000,4.200,3.970,4.120,1630063,6700571.295,2725
MIN,01/10/2015,4.150,4.230,4.080,4.200,1415711,5916806.465,2717
MIN,02/10/2015,4.140,4.230,4.090,4.130,1053911,4394682.145,1976
MIN,05/10/2015,4.150,4.310,4.150,4.280,518146,2216833.000,1444
MIN,06/10/2015,4.360,4.430,4.300,4.320,1366610,5950033.804,3096
MIN,07/10/2015,4.340,4.480,4.270,4.460,1338878,5872209.700,3428
MIN,08/10/2015,4.520,4.670,4.460,4.620,1702613,7790881.853,3075
MIN,09/10/2015,4.760,4.900,4.740,4.800,2185271,10514132.465,3692
MIN,12/10/2015,4.800,4.880,4.780,4.820,1389811,6720675.715,3806
MIN,13/10/2015,4.770,4.800,4.680,4.690,1006848,4769419.580,2784
MIN,14/10/2015,4.650,4.730,4.580,4.660,1330664,6196494.200,3825
MIN,15/10/2015,4.720,4.740,4.590,4.680,1333525,6203253.525,2867
MIN,16/10/2015,4.770,4.810,4.620,4.630,1341877,6279747.295,2796
MIN,19/10/2015,4.630,4.670,4.570,4.630,592725,2735743.785,1895
MIN,20/10/2015,4.620,4.660,4.350,4.390,1358545,5984914.170,2702
MIN,21/10/2015,4.370,4.580,4.370,4.580,875152,3939298.515,2463
MIN,22/10/2015,4.510,4.550,4.310,4.440,1054760,4619276.175,2380
MIN,23/10/2015,4.500,4.550,4.450,4.540,904102,4070255.365,2166
MIN,26/10/2015,4.550,4.630,4.530,4.550,503465,2307131.625,1368
MIN,27/10/2015,4.540,4.550,4.430,4.510,713131,3216249.897,2118
MIN,28/10/2015,4.510,4.510,4.340,4.340,1476154,6454508.215,1890
MIN,29/10/2015,4.400,4.520,4.250,4.260,1147024,4992138.725,2511
MIN,30/10/2015,4.250,4.300,4.190,4.280,741984,3159998.430,2268
MIN,02/11/2015,4.330,4.350,4.200,4.230,520618,2205487.880,1574
MIN,03/11/2015,4.260,4.335,4.180,4.280,824504,3523204.271,2377
MIN,04/11/2015,4.350,4.405,4.290,4.350,586633,2554240.195,2205
MIN,05/11/2015,4.330,4.330,4.170,4.190,1023512,4336023.525,2849
MIN,06/11/2015,4.200,4.220,4.090,4.200,1445980,6021098.067,2928
MIN,09/11/2015,4.150,4.160,4.040,4.130,1309256,5390572.350,3009
MIN,10/11/2015,4.110,4.140,4.020,4.110,1133896,4618520.405,3508
MIN,11/11/2015,4.080,4.110,3.940,4.110,1859401,7494918.860,3253
MIN,12/11/2015,4.110,4.230,4.060,4.210,892600,3725026.625,2732
MIN,13/11/2015,4.210,4.320,4.100,4.220,1182131,4987443.905,3163
MIN,16/11/2015,4.010,4.140,3.820,3.980,2862478,11377856.840,4352
MIN,17/11/2015,3.990,4.030,3.960,4.030,1563684,6271734.870,2412
MIN,18/11/2015,4.000,4.140,3.970,4.120,1188775,4847048.745,2579
MIN,19/11/2015,4.130,4.660,4.130,4.640,4150671,18332251.590,5958
MIN,20/11/2015,4.790,5.050,4.740,4.900,4837166,23682504.540,6908
MIN,23/11/2015,4.890,5.020,4.870,4.990,2000079,9911216.200,3924
MIN,24/11/2015,4.970,5.260,4.950,5.120,2075391,10664525.025,5127
MIN,25/11/2015,5.150,5.170,4.950,5.010,1169805,5875768.010,3248
MIN,26/11/2015,5.040,5.110,4.880,4.910,1311080,6488306.235,2895
MIN,27/11/2015,4.940,5.050,4.880,4.950,819374,4055884.455,2477
MIN,30/11/2015,4.950,4.990,4.860,4.880,1298565,6361479.557,2642
MIN,01/12/2015,4.910,5.100,4.870,4.960,1133295,5661388.860,4352
MIN,02/12/2015,4.960,5.010,4.890,4.980,1089166,5396080.320,3469
MIN,03/12/2015,4.870,4.935,4.670,4.760,2498847,11956863.110,4848
MIN,04/12/2015,4.680,4.840,4.650,4.790,1912756,9099547.845,5554
MIN,07/12/2015,4.850,4.980,4.735,4.750,1538450,7360237.400,3740
MIN,08/12/2015,4.710,4.720,4.460,4.500,1503957,6849634.955,3645
MIN,09/12/2015,4.460,4.550,4.390,4.480,1668343,7484363.790,3536
MIN,10/12/2015,4.480,4.530,4.310,4.460,1391895,6143483.490,3927
MIN,11/12/2015,4.440,4.510,4.140,4.150,1604300,6776551.802,3554
MIN,14/12/2015,4.070,4.470,4.010,4.080,1319753,5393109.250,3952
MIN,15/12/2015,4.060,4.100,3.970,4.010,1464342,5912891.815,3237
MIN,16/12/2015,4.020,4.080,3.970,4.060,1002103,4042419.545,3016
MIN,17/12/2015,4.160,4.180,4.050,4.100,1602817,6602945.005,3916
MIN,18/12/2015,4.020,4.150,3.990,4.120,1210801,4963960.090,3178
MIN,21/12/2015,4.090,4.180,4.050,4.110,711425,2924131.765,2600
MIN,22/12/2015,4.140,4.190,3.980,4.010,1014749,4110520.560,2778
MIN,23/12/2015,4.090,4.140,4.000,4.080,754300,3085640.745,2594
MIN,24/12/2015,4.220,4.220,4.140,4.160,219711,914929.560,1185
MIN,29/12/2015,4.220,4.220,4.110,4.150,682373,2829519.820,2078
MIN,30/12/2015,4.170,4.190,4.050,4.130,727383,2997098.730,2100
MIN,31/12/2015,4.100,4.140,4.000,4.010,687110,2771106.940,1652
MIN,04/01/2016,4.060,4.100,4.000,4.020,1017933,4108372.575,2615
MIN,05/01/2016,4.010,4.050,3.950,4.030,1333853,5351915.080,3014
MIN,06/01/2016,4.000,4.120,3.900,4.080,1571387,6297655.295,4226
MIN,07/01/2016,4.030,4.060,3.850,4.030,1930160,7635457.485,4634
MIN,08/01/2016,3.900,4.010,3.810,3.890,1304867,5053697.310,3587
MIN,11/01/2016,3.810,3.850,3.690,3.810,1133657,4291110.385,3213
MIN,12/01/2016,3.810,3.810,3.660,3.680,1303995,4830854.020,2666
MIN,13/01/2016,3.670,3.720,3.570,3.610,647776,2341777.460,1973
MIN,14/01/2016,3.500,3.550,3.340,3.490,2284953,7906374.075,3354
MIN,15/01/2016,3.540,3.670,3.535,3.600,924373,3335475.495,3068
MIN,18/01/2016,3.520,3.570,3.400,3.530,1587747,5606973.515,2093
MIN,19/01/2016,3.530,3.605,3.490,3.600,2105478,7499388.850,2190
MIN,20/01/2016,3.580,3.730,3.580,3.610,1107806,4055494.475,4780
MIN,21/01/2016,3.790,3.800,3.570,3.600,1315505,4797982.710,3908
MIN,22/01/2016,3.660,3.900,3.650,3.850,1239835,4732510.250,2973
MIN,25/01/2016,3.930,4.020,3.880,3.900,1645088,6494455.475,2479
MIN,27/01/2016,3.900,3.930,3.700,3.740,1350746,5096203.385,2626
MIN,28/01/2016,3.700,3.760,3.630,3.650,902547,3325410.975,2021
MIN,29/01/2016,3.650,3.740,3.650,3.710,1180044,4368426.810,2309
MIN,01/02/2016,3.740,4.030,3.740,3.910,970481,3814332.815,2304
MIN,02/02/2016,3.890,4.080,3.890,4.040,1629143,6558888.860,2517
MIN,03/02/2016,3.960,4.110,3.940,4.000,1662508,6694221.880,4414
MIN,04/02/2016,4.020,4.250,3.980,4.210,983568,4106934.320,3096
MIN,05/02/2016,4.210,4.280,4.130,4.240,400843,1691650.010,1499
MIN,08/02/2016,4.240,4.330,4.130,4.290,1307063,5559513.860,3517
MIN,09/02/2016,4.250,4.260,4.070,4.150,942005,3893298.720,2489
MIN,10/02/2016,4.130,4.240,3.920,4.010,737651,2960816.245,2854
MIN,11/02/2016,4.010,4.070,3.970,4.020,478597,1926409.870,1719
MIN,12/02/2016,3.940,4.020,3.910,3.930,376012,1484597.195,1679
MIN,15/02/2016,3.990,4.115,3.960,4.060,843268,3429268.630,3041
MIN,16/02/2016,4.120,4.210,4.100,4.190,2096258,8728727.305,3854
MIN,17/02/2016,4.230,4.500,4.220,4.400,1735349,7666445.640,3200
MIN,18/02/2016,4.510,5.090,4.460,5.000,4547055,22155005.980,6501
MIN,19/02/2016,5.050,5.760,5.050,5.400,3230762,17758529.925,6421
MIN,22/02/2016,5.400,5.465,5.300,5.390,8826168,47401819.099,4590
MIN,23/02/2016,5.420,5.900,5.420,5.660,5298061,30140031.950,6264
MIN,24/02/2016,5.520,5.550,5.290,5.450,2680663,14520996.450,6359
MIN,25/02/2016,5.520,5.800,5.500,5.700,1971577,11233728.015,6383
MIN,26/02/2016,5.710,5.730,5.520,5.690,1075614,6098329.400,3654
MIN,29/02/2016,5.690,5.830,5.650,5.760,1868113,10707030.867,4758
MIN,01/03/2016,5.770,6.190,5.730,6.050,2003877,12150857.070,7346
MIN,02/03/2016,6.120,6.440,6.110,6.230,2398096,15068680.750,5756
MIN,03/03/2016,6.280,6.540,6.130,6.230,3160739,19729036.000,7618
MIN,04/03/2016,6.240,6.370,6.150,6.290,3198006,20002873.835,8126
MIN,07/03/2016,6.450,6.830,6.420,6.780,2467645,16307376.555,5748
MIN,08/03/2016,7.200,7.240,6.440,6.630,3205722,21536969.135,6689
MIN,09/03/2016,6.530,6.760,6.390,6.700,2383150,15735595.450,5270
MIN,10/03/2016,6.700,6.980,6.670,6.830,1965737,13404575.360,5413
MIN,11/03/2016,6.900,6.900,6.410,6.460,1817883,11843222.700,4336
MIN,14/03/2016,6.390,6.500,6.215,6.260,3062477,19431920.190,6229
MIN,15/03/2016,6.240,6.295,6.090,6.140,2531048,15634682.980,5746
MIN,16/03/2016,6.180,6.270,6.090,6.120,2158524,13230698.260,4908
MIN,17/03/2016,6.200,6.430,6.150,6.170,2601515,16195762.560,6154
MIN,18/03/2016,6.210,6.300,6.020,6.160,11415022,70250263.764,4860
MIN,21/03/2016,6.290,6.540,6.230,6.490,1180996,7559383.715,3719
MIN,22/03/2016,6.400,6.470,6.310,6.430,1251806,8009836.865,5155
MIN,23/03/2016,6.320,6.320,5.650,5.810,2443094,14267389.840,4973
MIN,24/03/2016,5.820,5.960,5.690,5.940,2118451,12462399.445,4129
MIN,29/03/2016,5.940,5.970,5.570,5.620,1429633,8131259.905,3699
MIN,30/03/2016,5.660,6.110,5.660,5.940,1670824,9950315.385,3539
MIN,31/03/2016,6.100,6.250,5.940,6.010,2664375,16020204.830,4312
MIN,01/04/2016,5.980,6.010,5.800,5.940,1288226,7624014.035,3877
MIN,04/04/2016,5.940,6.200,5.940,6.040,810065,4934198.305,2836
MIN,05/04/2016,6.020,6.050,5.700,5.800,1376821,7971618.645,6723
