Code,Date,Open,High,Low,Close,Volume,Value,Trades
MQG,11/06/2015,79.060,79.610,78.860,79.490,823607,65302399.395,9863
MQG,12/06/2015,79.400,80.250,79.270,79.570,810325,64460472.435,11381
MQG,15/06/2015,78.400,79.400,78.330,79.210,663654,52500878.180,9237
MQG,16/06/2015,79.020,79.400,78.720,79.320,871650,68980340.128,15879
MQG,17/06/2015,80.000,81.015,80.000,80.780,1141010,91885714.635,17838
MQG,18/06/2015,80.500,80.550,79.140,79.600,1476941,117968175.315,18814
MQG,19/06/2015,81.190,81.680,81.090,81.330,1552569,126391123.954,12741
MQG,22/06/2015,81.800,81.800,80.940,81.380,679021,55240616.916,8555
MQG,23/06/2015,82.500,82.800,81.910,82.530,963323,79421847.420,13124
MQG,24/06/2015,82.640,83.350,82.640,83.050,693985,57608929.945,9359
MQG,25/06/2015,82.500,83.370,82.400,83.030,1050352,87129665.402,11301
MQG,26/06/2015,82.000,83.000,81.660,82.500,1958110,154070944.030,14332
MQG,29/06/2015,80.580,80.990,80.160,80.500,1233461,99339879.970,13658
MQG,30/06/2015,80.000,81.550,79.730,81.400,1093897,88280717.520,16937
MQG,01/07/2015,82.500,82.670,81.590,82.550,675405,55551679.770,12220
MQG,02/07/2015,82.570,83.500,82.450,83.200,1005299,83603971.535,15427
MQG,03/07/2015,82.730,82.750,81.700,82.540,554769,45714238.295,10604
MQG,06/07/2015,81.370,82.060,80.790,81.700,567188,46200090.540,9064
MQG,07/07/2015,82.500,83.550,82.260,82.760,972662,80724792.930,13466
MQG,08/07/2015,81.200,81.840,79.640,79.640,1310275,105462255.410,14790
MQG,09/07/2015,78.510,80.050,77.760,79.690,1139699,90042102.540,17515
MQG,10/07/2015,80.970,81.650,80.600,80.600,1126390,91268061.845,15393
MQG,13/07/2015,80.940,81.260,80.100,80.100,838356,67708434.910,15947
MQG,14/07/2015,82.020,82.100,81.710,81.910,1137586,93201033.195,13670
MQG,15/07/2015,82.500,82.800,82.060,82.290,767749,63262765.275,10589
MQG,16/07/2015,83.160,83.500,83.110,83.110,1277351,106387605.255,15140
MQG,17/07/2015,83.880,83.920,83.200,83.510,634507,53047924.285,11430
MQG,20/07/2015,83.800,85.440,83.540,85.150,1261283,107048589.220,14349
MQG,21/07/2015,85.570,86.190,85.200,85.590,686350,58758100.020,12012
MQG,22/07/2015,84.860,84.910,84.240,84.460,1000320,84525231.095,8633
MQG,23/07/2015,86.120,86.200,84.470,84.810,1261432,107591585.646,13924
