Code,Date,Open,High,Low,Close,Volume,Value,Trades
PME,11/06/2015,2.160,2.190,2.160,2.190,17580,38175.200,13
PME,12/06/2015,0.000,0.000,0.000,2.190,0,0.000,0
PME,15/06/2015,2.170,2.170,2.130,2.130,33374,71954.260,8
PME,16/06/2015,2.130,2.180,2.130,2.170,28392,61397.785,107
PME,17/06/2015,2.170,2.170,2.130,2.130,51281,110246.580,61
PME,18/06/2015,2.150,2.150,2.130,2.130,39796,85190.690,14
PME,19/06/2015,2.130,2.130,2.100,2.100,65266,137310.200,17
PME,22/06/2015,2.110,2.130,2.110,2.120,20426,43203.520,16
PME,23/06/2015,2.120,2.140,2.120,2.140,84184,178647.820,41
PME,24/06/2015,2.140,2.140,2.120,2.120,37659,80035.520,14
PME,25/06/2015,2.130,2.140,2.130,2.140,12062,25711.895,11
PME,26/06/2015,2.140,2.140,2.130,2.130,3299,7056.870,5
PME,29/06/2015,2.150,2.170,2.150,2.170,23370,50261.200,10
PME,30/06/2015,2.160,2.170,2.140,2.150,17983,38679.820,21
PME,01/07/2015,2.160,2.170,2.130,2.170,52798,113791.010,18
PME,02/07/2015,2.200,2.210,2.180,2.180,14660,32248.120,15
PME,03/07/2015,2.190,2.210,2.170,2.170,24000,52578.860,27
PME,06/07/2015,2.180,2.220,2.180,2.200,40152,88068.010,19
PME,07/07/2015,2.210,2.230,2.150,2.150,127269,278689.840,32
PME,08/07/2015,2.150,2.190,2.150,2.150,13419,29025.770,11
PME,09/07/2015,2.150,2.160,2.150,2.160,52735,113450.050,6
PME,10/07/2015,2.160,2.160,2.150,2.160,4619,9967.040,3
PME,13/07/2015,2.160,2.230,2.150,2.150,62315,137068.060,12
PME,14/07/2015,2.170,2.250,2.170,2.250,2825,6295.310,4
PME,15/07/2015,2.240,2.250,2.210,2.250,7800,17503.140,11
PME,16/07/2015,2.240,2.300,2.240,2.260,44612,101844.990,14
PME,17/07/2015,2.300,2.340,2.300,2.340,25512,58943.950,16
PME,20/07/2015,2.410,2.520,2.410,2.450,120840,297666.225,79
PME,21/07/2015,2.450,2.500,2.420,2.420,44783,110284.720,64
PME,22/07/2015,2.440,2.500,2.440,2.450,25730,63343.210,21
PME,23/07/2015,2.450,2.450,2.440,2.450,9108,22274.520,7
PME,24/07/2015,2.460,2.460,2.410,2.450,23788,58106.610,35
PME,27/07/2015,2.480,2.500,2.400,2.400,32838,80315.950,26
PME,28/07/2015,2.400,2.490,2.400,2.490,13624,33259.060,14
PME,29/07/2015,2.480,2.500,2.480,2.480,16640,41528.420,9
PME,30/07/2015,2.480,2.490,2.450,2.490,14023,34787.880,50
PME,31/07/2015,2.490,2.490,2.450,2.480,14236,35201.760,10
PME,03/08/2015,2.470,2.470,2.440,2.440,5445,13338.650,7
PME,04/08/2015,2.450,2.570,2.450,2.570,53787,134515.450,91
PME,05/08/2015,2.680,2.680,2.590,2.600,56487,148800.780,51
PME,06/08/2015,2.600,2.600,2.580,2.600,32277,83734.530,21
PME,07/08/2015,2.470,2.470,2.230,2.380,113889,268556.290,81
PME,10/08/2015,2.380,2.380,2.030,2.080,306545,645724.440,144
PME,11/08/2015,2.110,2.120,2.050,2.090,184735,386590.870,106
PME,12/08/2015,2.040,2.090,2.000,2.060,122342,248536.110,59
PME,13/08/2015,2.090,2.150,2.090,2.110,48467,102805.330,29
PME,14/08/2015,2.120,2.180,2.120,2.180,17786,38492.230,17
PME,17/08/2015,2.180,2.190,2.120,2.130,96696,207573.650,91
PME,18/08/2015,2.120,2.130,2.100,2.130,9350,19751.780,7
PME,19/08/2015,2.100,2.100,2.040,2.100,67069,138238.380,25
PME,20/08/2015,2.100,2.130,2.050,2.100,30036,62274.960,22
PME,21/08/2015,2.050,2.060,1.970,2.000,194413,388861.240,63
PME,24/08/2015,1.880,1.920,1.850,1.910,159641,302572.985,75
PME,25/08/2015,1.900,2.080,1.880,2.050,100829,197792.440,51
PME,26/08/2015,1.990,2.150,1.990,2.130,124458,259679.420,107
PME,27/08/2015,2.200,2.230,2.160,2.200,69282,152651.560,75
PME,28/08/2015,2.240,2.250,2.200,2.240,53958,120371.700,39
PME,31/08/2015,2.250,2.350,2.250,2.280,148984,340416.050,86
PME,01/09/2015,2.320,2.490,2.320,2.330,153486,365269.831,58
PME,02/09/2015,2.380,2.395,2.260,2.260,64433,150620.080,159
PME,03/09/2015,2.290,2.300,2.240,2.240,55151,124605.560,32
PME,04/09/2015,2.250,2.260,2.200,2.200,46677,104060.920,36
PME,07/09/2015,2.260,2.260,2.200,2.200,14422,32339.060,16
