Code,Date,Open,High,Low,Close,Volume,Value,Trades
ALL,11/06/2015,7.800,7.910,7.680,7.850,2189547,17130241.850,4170
ALL,12/06/2015,7.980,7.980,7.750,7.770,4270071,33275425.730,4667
ALL,15/06/2015,7.750,7.920,7.750,7.910,2072453,16284730.475,4417
ALL,16/06/2015,7.950,7.950,7.710,7.750,2849031,22188399.720,5455
ALL,17/06/2015,7.880,7.950,7.790,7.870,2187510,17186959.660,5707
ALL,18/06/2015,7.800,7.845,7.550,7.630,3596250,27640180.340,6042
ALL,19/06/2015,7.670,7.810,7.640,7.710,2270254,17568354.011,5739
ALL,22/06/2015,7.710,7.750,7.560,7.650,1365193,10436825.012,3229
ALL,23/06/2015,7.780,7.920,7.680,7.740,2841242,22035277.520,5480
ALL,24/06/2015,7.800,7.800,7.690,7.750,2167036,16807775.300,4559
ALL,25/06/2015,7.800,7.800,7.670,7.680,1685539,13000057.240,4224
ALL,26/06/2015,7.600,7.690,7.500,7.660,2452868,18719538.177,5140
ALL,29/06/2015,7.510,7.530,7.130,7.430,3307564,24566618.725,5924
ALL,30/06/2015,7.510,7.820,7.430,7.650,3922907,29690461.555,6847
ALL,01/07/2015,7.810,7.860,7.680,7.810,1928869,14997261.040,5069
ALL,02/07/2015,7.750,8.060,7.750,8.050,2464616,19697622.755,5533
ALL,03/07/2015,7.950,7.970,7.860,7.960,2863817,22672097.925,5263
ALL,06/07/2015,7.790,7.930,7.780,7.870,1393558,10979137.255,3782
ALL,07/07/2015,7.980,8.290,7.910,8.290,2896928,23728192.605,6011
ALL,08/07/2015,8.200,8.335,7.940,7.940,2967995,23944385.195,6047
ALL,09/07/2015,7.880,8.030,7.780,8.000,2092883,16627205.315,4784
ALL,10/07/2015,8.110,8.210,7.970,8.010,1567078,12614674.830,4480
ALL,13/07/2015,7.960,8.150,7.850,8.080,1372213,11063837.425,3068
ALL,14/07/2015,8.240,8.250,8.110,8.190,1796529,14694709.860,4331
ALL,15/07/2015,8.150,8.340,8.150,8.280,1574178,13014212.220,4127
ALL,16/07/2015,8.490,8.490,8.290,8.380,2133715,17855203.895,3399
ALL,17/07/2015,8.480,8.530,8.440,8.530,1388541,11781579.015,3345
ALL,20/07/2015,8.550,8.600,8.450,8.600,1459414,12452486.960,3899
ALL,21/07/2015,8.630,8.660,8.490,8.640,1872964,16076870.900,5435
ALL,22/07/2015,8.630,8.630,8.470,8.500,2790527,23778719.510,5003
ALL,23/07/2015,8.480,8.550,8.410,8.510,2024544,17204015.225,4487
ALL,24/07/2015,8.390,8.510,8.370,8.480,1602431,13546177.156,3596
ALL,27/07/2015,8.410,8.480,8.340,8.420,2264962,18988277.645,2914
ALL,28/07/2015,8.310,8.425,8.310,8.350,3623625,30319261.410,4423
ALL,29/07/2015,8.470,8.580,8.410,8.530,2367683,20135885.455,4166
