Code,Date,Open,High,Low,Close,Volume,Value,Trades
BGL,11/06/2015,0.720,0.730,0.715,0.720,125699,90953.305,22
BGL,12/06/2015,0.725,0.730,0.715,0.725,95123,68665.362,68
BGL,15/06/2015,0.730,0.730,0.705,0.715,284205,203114.415,36
BGL,16/06/2015,0.710,0.720,0.700,0.715,392182,276671.250,107
BGL,17/06/2015,0.710,0.715,0.690,0.690,239127,167852.860,31
BGL,18/06/2015,0.695,0.695,0.655,0.655,302716,203068.860,41
BGL,19/06/2015,0.660,0.700,0.660,0.675,206379,139986.265,115
BGL,22/06/2015,0.665,0.665,0.650,0.660,327523,215368.570,50
BGL,23/06/2015,0.660,0.670,0.630,0.665,350464,226960.340,93
BGL,24/06/2015,0.665,0.685,0.645,0.645,618711,406311.875,73
BGL,25/06/2015,0.635,0.640,0.625,0.630,497062,314185.050,56
BGL,26/06/2015,0.630,0.640,0.630,0.635,278992,176877.000,29
BGL,29/06/2015,0.630,0.635,0.630,0.635,286493,180604.830,36
BGL,30/06/2015,0.625,0.635,0.610,0.615,234321,146190.230,78
BGL,01/07/2015,0.620,0.630,0.620,0.620,88200,54921.215,24
BGL,02/07/2015,0.625,0.630,0.610,0.630,181103,112164.080,23
BGL,03/07/2015,0.630,0.630,0.630,0.630,43313,27287.190,6
BGL,06/07/2015,0.630,0.630,0.605,0.605,127847,78671.085,15
BGL,07/07/2015,0.630,0.630,0.610,0.615,115550,71410.240,11
BGL,08/07/2015,0.615,0.625,0.615,0.620,28062,17313.370,50
BGL,09/07/2015,0.615,0.615,0.590,0.590,291701,177114.235,117
BGL,10/07/2015,0.600,0.600,0.590,0.600,321927,192919.000,117
BGL,13/07/2015,0.605,0.635,0.605,0.635,484754,303720.810,82
BGL,14/07/2015,0.645,0.690,0.645,0.680,751904,501456.838,282
BGL,15/07/2015,0.680,0.740,0.680,0.690,661394,469367.485,148
BGL,16/07/2015,0.705,0.720,0.680,0.700,222991,157548.624,37
BGL,17/07/2015,0.700,0.705,0.690,0.695,65894,45923.770,132
BGL,20/07/2015,0.700,0.700,0.695,0.700,139587,97701.080,22
BGL,21/07/2015,0.700,0.700,0.695,0.700,186947,130709.997,40
BGL,22/07/2015,0.700,0.735,0.700,0.735,65556,47107.292,82
BGL,23/07/2015,0.735,0.740,0.730,0.735,133173,97734.380,28
BGL,24/07/2015,0.720,0.725,0.705,0.715,155703,111173.414,131
BGL,27/07/2015,0.710,0.710,0.700,0.700,88545,62354.770,33
BGL,28/07/2015,0.700,0.710,0.695,0.705,166079,116674.659,141
BGL,29/07/2015,0.705,0.710,0.695,0.695,86111,60695.165,51
BGL,30/07/2015,0.695,0.695,0.670,0.670,152167,103448.720,60
BGL,31/07/2015,0.670,0.685,0.670,0.680,40060,27132.400,20
BGL,03/08/2015,0.690,0.710,0.685,0.690,130114,91229.980,49
