Code,Date,Open,High,Low,Close,Volume,Value,Trades
CAR,11/06/2015,10.310,10.510,10.310,10.450,629142,6576087.350,2922
CAR,12/06/2015,10.490,10.540,10.410,10.450,501209,5240775.350,2364
CAR,15/06/2015,10.420,10.490,10.370,10.460,553773,5775814.985,2299
CAR,16/06/2015,10.390,10.400,10.190,10.200,508833,5229188.490,2352
CAR,17/06/2015,10.290,10.330,10.210,10.260,666519,6842111.045,3813
CAR,18/06/2015,10.000,10.080,9.920,10.000,1977298,19771837.105,3893
CAR,19/06/2015,10.080,10.190,10.050,10.120,1364509,13802432.761,3537
CAR,22/06/2015,10.110,10.220,10.080,10.150,935837,9480637.540,2466
CAR,23/06/2015,10.220,10.410,10.210,10.260,977406,10061835.970,4615
CAR,24/06/2015,10.250,10.380,10.190,10.340,933754,9621378.955,3097
CAR,25/06/2015,10.320,10.320,10.100,10.100,1556935,15797630.135,2965
CAR,26/06/2015,10.150,10.180,9.940,10.150,685001,6922527.830,3153
CAR,29/06/2015,9.970,10.130,9.940,10.040,1030773,10359152.745,4614
CAR,30/06/2015,10.010,10.190,9.950,10.190,760016,7696154.030,2781
CAR,01/07/2015,10.170,10.440,10.160,10.420,902136,9334605.330,3588
CAR,02/07/2015,10.400,10.640,10.380,10.630,1050124,11104864.065,4293
CAR,03/07/2015,10.600,10.650,10.400,10.650,996122,10525415.055,4947
CAR,06/07/2015,10.470,10.580,10.400,10.520,724805,7599295.620,4589
CAR,07/07/2015,10.520,10.700,10.500,10.670,1005767,10711093.395,4499
CAR,08/07/2015,10.650,10.700,10.390,10.420,976262,10253818.655,3991
CAR,09/07/2015,10.310,10.360,10.100,10.330,1007406,10341722.635,2918
CAR,10/07/2015,10.300,10.480,10.240,10.390,1464729,15193259.825,4537
CAR,13/07/2015,10.350,10.350,10.150,10.210,1180078,12083335.870,3791
CAR,14/07/2015,10.350,10.510,10.295,10.510,1012844,10527550.950,3098
CAR,15/07/2015,10.510,10.630,10.510,10.610,480963,5091831.055,2681
CAR,16/07/2015,10.700,10.750,10.600,10.650,427136,4560676.520,2186
CAR,17/07/2015,10.690,10.720,10.535,10.630,511312,5428624.665,2064
CAR,20/07/2015,10.670,10.800,10.670,10.790,711322,7646051.495,2516
CAR,21/07/2015,10.830,10.970,10.820,10.900,1130200,12329405.470,4310
CAR,22/07/2015,10.890,10.890,10.610,10.630,449803,4799129.425,2280
CAR,23/07/2015,10.600,10.750,10.550,10.650,733125,7828652.450,2953
CAR,24/07/2015,10.550,10.590,10.410,10.510,641323,6740289.800,2406
CAR,27/07/2015,10.450,10.590,10.370,10.590,443531,4664808.645,2363
CAR,28/07/2015,10.450,10.480,10.190,10.440,827349,8567568.815,3028
CAR,29/07/2015,10.590,10.600,10.400,10.440,461718,4829566.495,2390
CAR,30/07/2015,10.460,10.520,10.350,10.500,622916,6510239.270,2331
CAR,31/07/2015,10.550,10.850,10.550,10.850,727423,7845422.400,2863
CAR,03/08/2015,10.840,10.840,10.720,10.810,524601,5670253.725,2363
CAR,04/08/2015,10.750,10.960,10.670,10.890,743162,8092426.080,3257
CAR,05/08/2015,10.840,10.950,10.760,10.910,714813,7781304.150,2646
CAR,06/08/2015,10.870,10.980,10.790,10.830,1008086,10956139.620,3168
CAR,07/08/2015,10.650,10.840,10.650,10.690,545271,5842466.995,3149
CAR,10/08/2015,10.680,10.850,10.650,10.820,516602,5579414.245,2555
CAR,11/08/2015,10.850,10.880,10.720,10.770,642275,6953366.600,2527
CAR,12/08/2015,10.500,10.540,10.040,10.080,2012234,20508726.730,5459
CAR,13/08/2015,10.070,10.070,9.750,9.900,1960835,19393608.870,4615
CAR,14/08/2015,9.840,9.880,9.760,9.810,1568165,15394343.775,4415
CAR,17/08/2015,9.900,9.980,9.710,9.730,1978403,19424478.560,3303
CAR,18/08/2015,9.810,10.030,9.810,10.030,1892104,18803890.435,4331
CAR,19/08/2015,10.000,10.020,9.740,9.800,1039159,10212620.700,2911
CAR,20/08/2015,9.700,9.920,9.700,9.800,828303,8114153.710,2480
CAR,21/08/2015,9.690,9.910,9.600,9.910,939227,9145340.350,2405
CAR,24/08/2015,9.660,9.890,9.620,9.790,990389,9644968.305,3200
CAR,25/08/2015,9.580,9.810,9.510,9.800,2290205,22307152.645,4486
CAR,26/08/2015,9.700,9.870,9.610,9.710,1418992,13771365.425,3407
CAR,27/08/2015,9.800,9.950,9.800,9.900,975950,9632889.645,2638
CAR,28/08/2015,9.900,9.910,9.730,9.730,1092465,10700574.645,2938
CAR,31/08/2015,9.730,9.850,9.670,9.750,1067918,10395093.625,3188
CAR,01/09/2015,9.700,9.790,9.480,9.520,1042861,9974437.695,3069
CAR,02/09/2015,9.400,9.600,9.360,9.550,526723,4996311.985,3396
CAR,03/09/2015,9.560,9.770,9.500,9.510,821903,7828468.010,3313
CAR,04/09/2015,9.520,9.680,9.520,9.610,863347,8280772.170,4640
CAR,07/09/2015,9.610,9.720,9.550,9.670,553375,5339086.595,2277
CAR,08/09/2015,9.720,9.790,9.550,9.680,561843,5413666.030,2763
CAR,09/09/2015,9.700,9.790,9.595,9.600,1313666,12661567.070,6067
