Code,Date,Open,High,Low,Close,Volume,Value,Trades
DMP,11/06/2015,35.640,36.890,35.630,36.490,307257,11213466.645,6916
DMP,12/06/2015,36.100,36.610,35.870,35.980,302720,10944585.160,5803
DMP,15/06/2015,36.000,36.450,35.845,36.380,230949,8348405.885,5530
DMP,16/06/2015,36.400,36.970,36.330,36.610,232683,8533472.905,5583
DMP,17/06/2015,37.000,38.100,36.910,37.330,309297,11590753.095,7353
DMP,18/06/2015,37.230,37.700,36.790,37.000,359076,13356051.275,7071
DMP,19/06/2015,37.270,38.030,35.540,36.440,1349979,49311643.010,7611
DMP,22/06/2015,36.490,37.310,36.250,36.900,184041,6785461.045,4475
DMP,23/06/2015,36.760,37.880,36.760,37.780,218189,8201082.610,5630
DMP,24/06/2015,37.880,38.490,36.940,37.000,294613,11060116.295,5679
DMP,25/06/2015,37.240,37.240,36.620,36.940,97350,3598171.715,3162
DMP,26/06/2015,36.600,36.710,35.750,36.160,211937,7651776.575,4929
DMP,29/06/2015,35.650,35.710,34.650,35.000,220424,7755883.535,6910
DMP,30/06/2015,35.110,35.750,34.610,35.690,264460,9293797.000,7489
DMP,01/07/2015,35.430,36.900,35.430,36.880,250756,9159763.610,7012
DMP,02/07/2015,37.000,38.160,37.000,38.050,344625,13060712.545,8120
DMP,03/07/2015,37.900,37.910,37.010,37.710,851767,32027067.630,5832
DMP,06/07/2015,37.160,37.700,36.330,37.130,156304,5808813.245,4939
DMP,07/07/2015,37.270,38.450,37.140,38.410,281259,10758264.635,7088
DMP,08/07/2015,38.240,39.000,37.920,37.920,226123,8677729.815,4249
DMP,09/07/2015,37.690,38.350,36.820,37.830,182025,6875175.855,4648
DMP,10/07/2015,38.200,38.660,37.250,37.490,153053,5758435.570,5178
DMP,13/07/2015,37.700,38.680,37.500,38.120,181008,6933982.950,4444
DMP,14/07/2015,38.710,38.990,38.390,38.630,191017,7384531.455,3731
DMP,15/07/2015,38.650,39.640,38.590,38.940,249842,9724085.790,5140
DMP,16/07/2015,39.600,39.880,38.530,38.860,200720,7839700.665,4765
DMP,17/07/2015,39.380,39.790,39.010,39.550,168285,6653482.540,3579
DMP,20/07/2015,39.680,40.200,39.460,40.060,108445,4324133.815,3287
DMP,21/07/2015,40.560,40.640,39.700,40.170,169461,6810969.625,6098
DMP,22/07/2015,40.130,40.200,39.000,39.180,231364,9112908.280,4632
DMP,23/07/2015,39.270,40.330,39.260,40.040,160052,6401064.440,3836
DMP,24/07/2015,40.020,40.190,39.210,39.540,118023,4684988.110,2966
DMP,27/07/2015,39.390,39.425,38.650,39.210,128759,5028578.134,2452
DMP,28/07/2015,38.810,39.230,38.060,38.640,179148,6925218.050,3978
DMP,29/07/2015,39.250,39.250,38.120,38.210,202688,7787957.145,5671
DMP,30/07/2015,38.600,39.080,38.310,39.010,178108,6926565.330,5539
DMP,31/07/2015,39.170,40.590,39.050,40.460,203159,8135198.220,4835
DMP,03/08/2015,40.650,40.710,39.890,40.020,168982,6790179.250,3469
DMP,04/08/2015,40.020,41.490,40.020,41.420,301254,12375717.365,7596
DMP,05/08/2015,41.530,43.300,40.850,41.270,348683,14516093.100,6857
DMP,06/08/2015,41.550,42.670,41.520,41.710,210839,8880494.515,4743
DMP,07/08/2015,41.250,41.800,40.970,41.200,207725,8611826.605,3874
DMP,10/08/2015,41.150,41.390,40.960,41.150,314880,12969751.530,4779
DMP,11/08/2015,40.500,41.590,37.430,41.070,1248215,49015875.435,13205
DMP,12/08/2015,40.500,42.490,40.470,42.300,604281,25416971.305,9320
DMP,13/08/2015,42.260,42.660,41.060,41.130,471923,19584623.595,7822
DMP,14/08/2015,42.000,42.060,40.320,41.200,221601,9199014.545,5312
DMP,17/08/2015,41.240,42.490,41.240,41.820,121560,5104197.505,3340
DMP,18/08/2015,42.040,42.850,41.440,42.280,261335,11039579.815,6120
DMP,19/08/2015,42.280,42.350,41.700,42.070,145152,6100679.780,5018
DMP,20/08/2015,41.080,42.060,41.080,41.260,179230,7432536.955,4337
DMP,21/08/2015,40.160,40.690,39.590,40.050,300109,12062775.455,5366
DMP,24/08/2015,39.180,39.780,38.620,39.190,405884,15987674.395,4833
DMP,25/08/2015,38.000,40.200,37.050,39.980,578978,22731109.090,7183
DMP,26/08/2015,38.820,40.120,38.800,39.600,189427,7494750.945,4468
DMP,27/08/2015,39.800,41.100,39.800,40.290,215150,8719631.140,4002
DMP,28/08/2015,40.690,40.990,39.540,40.070,291828,11706357.358,6409
DMP,31/08/2015,39.770,40.420,39.230,39.650,157668,6259526.450,2886
DMP,01/09/2015,39.420,40.850,39.420,39.860,353408,14144102.540,5322
DMP,02/09/2015,39.400,39.400,38.190,38.840,290815,11267860.165,5592
DMP,03/09/2015,38.810,39.290,37.460,37.500,285855,10863924.920,5204
DMP,04/09/2015,37.600,38.840,37.490,38.560,226886,8701269.365,4358
DMP,07/09/2015,38.560,38.590,37.990,38.440,127384,4888632.715,2446
DMP,08/09/2015,39.590,39.590,38.720,39.460,244940,9613761.395,2810
DMP,09/09/2015,39.660,40.270,39.420,39.780,166263,6600766.340,4625
DMP,10/09/2015,38.750,39.440,38.530,39.170,220413,8645896.425,5956
DMP,11/09/2015,39.100,39.270,38.470,38.610,145929,5657642.490,4210
DMP,14/09/2015,39.170,39.190,38.130,38.610,158138,6107298.845,3565
DMP,15/09/2015,38.460,38.980,37.650,38.210,162116,6219757.505,4227
DMP,16/09/2015,38.510,39.190,38.420,38.760,263913,10226733.670,6901
DMP,17/09/2015,39.410,39.490,38.900,39.150,215419,8463905.710,3395
DMP,18/09/2015,39.040,40.410,38.740,40.110,201217,8032367.552,4036
DMP,21/09/2015,39.130,39.330,38.690,38.790,305693,11890538.760,4374
DMP,22/09/2015,39.350,39.950,38.900,39.170,86924,3409535.735,2617
DMP,23/09/2015,38.640,39.140,38.100,38.170,193815,7449273.600,5849
DMP,24/09/2015,38.450,39.180,38.240,39.060,321634,12510000.780,5300
DMP,25/09/2015,39.310,39.630,38.770,39.540,178861,7029954.575,4889
DMP,28/09/2015,39.470,40.750,39.110,40.750,148407,5994404.125,3636
DMP,29/09/2015,39.850,40.490,39.550,39.770,339013,13593627.310,7025
DMP,30/09/2015,39.670,40.370,39.580,40.240,192402,7703761.070,4827
DMP,01/10/2015,40.150,40.930,39.980,40.700,238020,9661388.900,6682
DMP,02/10/2015,40.140,40.900,40.070,40.480,115628,4690377.050,3226
DMP,05/10/2015,40.620,41.630,40.620,41.600,122581,5079249.985,3078
DMP,06/10/2015,42.030,42.540,41.740,41.860,219779,9253338.455,4649
DMP,07/10/2015,41.980,41.980,41.030,41.300,226440,9347287.655,4226
DMP,08/10/2015,41.980,41.980,40.680,40.730,122963,5059734.990,3009
DMP,09/10/2015,40.980,41.190,40.320,40.760,176057,7159464.970,4305
DMP,12/10/2015,40.780,41.050,40.330,40.660,180286,7351362.640,5252
DMP,13/10/2015,40.370,40.680,39.630,39.770,177397,7085117.525,4944
DMP,14/10/2015,41.000,42.600,41.000,42.520,567935,23854124.840,7816
DMP,15/10/2015,43.200,47.150,43.200,46.620,674448,31206735.370,9910
DMP,16/10/2015,47.890,47.970,46.760,47.030,534141,25209674.410,7427
DMP,19/10/2015,46.200,47.860,45.770,47.670,374527,17588964.500,7631
