Code,Date,Open,High,Low,Close,Volume,Value,Trades
DVP,07/10/2021,0.570,0.602,0.540,0.590,697095,402872.265,179
DVP,08/10/2021,0.595,0.625,0.595,0.610,462028,281554.045,78
DVP,11/10/2021,0.625,0.625,0.590,0.595,1082297,659801.108,290
DVP,12/10/2021,0.595,0.615,0.585,0.590,741288,443628.515,120
DVP,13/10/2021,0.610,0.620,0.600,0.615,320584,195910.543,133
DVP,14/10/2021,0.630,0.665,0.620,0.650,1266060,822574.982,153
DVP,15/10/2021,0.650,0.660,0.630,0.655,674643,436518.895,163
DVP,18/10/2021,0.665,0.695,0.665,0.670,1295004,883489.926,213
DVP,19/10/2021,0.695,0.705,0.660,0.680,413243,280665.960,120
DVP,20/10/2021,0.680,0.690,0.670,0.670,540983,367665.120,117
DVP,21/10/2021,0.695,0.695,0.660,0.660,456670,306503.030,105
DVP,22/10/2021,0.650,0.655,0.630,0.635,730857,468618.633,111
DVP,25/10/2021,0.625,0.630,0.595,0.620,1493114,917924.740,271
DVP,26/10/2021,0.630,0.640,0.610,0.610,512511,321897.580,159
DVP,27/10/2021,0.620,0.625,0.600,0.600,395726,241736.003,114
DVP,28/10/2021,0.610,0.620,0.595,0.615,329021,199947.061,229
DVP,29/10/2021,0.610,0.630,0.600,0.630,639332,392503.520,156
DVP,01/11/2021,0.630,0.660,0.625,0.650,683688,441977.940,85
DVP,02/11/2021,0.655,0.680,0.640,0.640,658487,433471.345,115
DVP,03/11/2021,0.655,0.655,0.620,0.625,473307,298842.839,136
DVP,04/11/2021,0.640,0.645,0.635,0.640,204914,130400.261,91
DVP,05/11/2021,0.645,0.645,0.620,0.625,423229,266461.370,111
DVP,08/11/2021,0.640,0.645,0.615,0.615,754278,474558.920,112
DVP,09/11/2021,0.620,0.630,0.615,0.620,326712,203138.945,63
DVP,10/11/2021,0.620,0.640,0.605,0.615,765902,472263.645,97
DVP,11/11/2021,0.620,0.625,0.610,0.620,942239,583222.261,144
DVP,12/11/2021,0.625,0.625,0.605,0.610,625091,385037.677,165
DVP,15/11/2021,0.610,0.620,0.590,0.595,1301075,790177.375,178
DVP,16/11/2021,0.600,0.600,0.580,0.600,629076,372566.050,162
DVP,17/11/2021,0.600,0.600,0.580,0.580,331894,194693.310,81
DVP,18/11/2021,0.580,0.600,0.575,0.600,307801,179779.709,158
DVP,19/11/2021,0.600,0.605,0.570,0.590,710028,415955.328,173
DVP,22/11/2021,0.590,0.600,0.580,0.590,181018,106075.760,86
DVP,23/11/2021,0.590,0.615,0.560,0.595,632649,369846.673,194
DVP,24/11/2021,0.595,0.600,0.570,0.590,457813,266730.880,132
DVP,25/11/2021,0.590,0.590,0.565,0.580,328742,189317.372,90
DVP,26/11/2021,0.580,0.600,0.565,0.580,582984,339814.425,195
DVP,29/11/2021,0.570,0.590,0.560,0.580,838456,480602.930,181
DVP,09/12/2021,4.070,4.130,4.000,4.080,231394,941511.690,253
DVP,10/12/2021,4.130,4.230,4.000,4.200,410918,1686230.920,520
DVP,13/12/2021,4.210,4.500,4.210,4.250,947479,4094333.370,483
DVP,14/12/2021,4.270,4.420,4.240,4.290,625604,2702043.005,287
DVP,15/12/2021,4.290,4.340,4.020,4.050,958411,3887436.660,326
DVP,16/12/2021,4.020,4.150,4.000,4.010,83084,335736.070,166
DVP,17/12/2021,4.150,4.280,4.150,4.200,176614,740484.180,121
DVP,20/12/2021,4.150,4.190,4.000,4.100,76044,308643.590,183
DVP,21/12/2021,4.000,4.010,3.840,3.910,249190,980695.830,282
DVP,22/12/2021,3.980,3.980,3.820,3.960,92733,361399.925,165
DVP,23/12/2021,3.990,3.990,3.750,3.750,51721,200611.420,123
DVP,24/12/2021,3.790,3.800,3.730,3.730,44618,167872.670,89
DVP,29/12/2021,3.750,3.870,3.730,3.860,131753,501946.455,240
DVP,30/12/2021,3.880,3.910,3.750,3.750,36155,136903.135,103
DVP,31/12/2021,3.730,3.860,3.730,3.850,86689,332675.000,102
DVP,04/01/2022,3.850,4.040,3.750,3.800,162187,629506.170,166
DVP,05/01/2022,3.820,3.855,3.690,3.700,157437,594440.685,149
DVP,06/01/2022,3.700,3.700,3.580,3.610,147252,535505.490,198
DVP,07/01/2022,3.600,3.680,3.590,3.680,92716,335177.850,137
