Code,Date,Open,High,Low,Close,Volume,Value,Trades
FPH,11/06/2015,6.360,6.370,6.310,6.340,449061,2844512.300,886
FPH,12/06/2015,6.340,6.480,6.340,6.480,423451,2721520.835,1187
FPH,15/06/2015,6.500,6.530,6.390,6.410,241739,1554806.360,887
FPH,16/06/2015,6.370,6.420,6.310,6.420,301734,1931769.780,814
FPH,17/06/2015,6.390,6.420,6.300,6.330,317615,2020022.025,1072
FPH,18/06/2015,6.200,6.250,6.160,6.220,656130,4078286.309,1540
FPH,19/06/2015,6.220,6.230,6.145,6.180,639358,3963619.292,1543
FPH,22/06/2015,6.190,6.230,6.160,6.200,572340,3545908.170,1047
FPH,23/06/2015,6.240,6.260,6.210,6.220,714381,4451018.311,1538
FPH,24/06/2015,6.210,6.210,6.160,6.160,689721,4260413.735,714
FPH,25/06/2015,6.170,6.200,6.150,6.170,787088,4863593.410,651
FPH,26/06/2015,6.140,6.210,6.140,6.200,443197,2736164.595,1171
FPH,29/06/2015,6.180,6.210,6.140,6.150,413511,2553067.670,1143
FPH,30/06/2015,6.120,6.130,6.060,6.090,513428,3130932.298,991
FPH,01/07/2015,6.090,6.210,6.060,6.190,412110,2531579.160,1066
FPH,02/07/2015,6.220,6.400,6.190,6.380,565806,3559298.088,1842
FPH,03/07/2015,6.380,6.420,6.300,6.340,415820,2643212.365,1223
FPH,06/07/2015,6.280,6.340,6.280,6.300,183597,1156235.035,864
FPH,07/07/2015,6.320,6.420,6.320,6.340,165498,1052215.410,797
FPH,08/07/2015,6.390,6.450,6.360,6.410,148481,950253.405,542
FPH,09/07/2015,6.380,6.460,6.350,6.370,225012,1442668.830,1013
FPH,10/07/2015,6.400,6.430,6.320,6.340,684171,4358962.960,557
FPH,13/07/2015,6.360,6.380,6.330,6.340,260818,1656957.095,1335
FPH,14/07/2015,6.370,6.430,6.320,6.400,197616,1262332.365,980
FPH,15/07/2015,6.450,6.490,6.400,6.450,244752,1578412.985,1070
FPH,16/07/2015,6.440,6.470,6.330,6.390,293493,1878842.765,1124
FPH,17/07/2015,6.390,6.410,6.340,6.340,163886,1044790.620,820
FPH,20/07/2015,6.360,6.570,6.350,6.550,734575,4712163.043,984
FPH,21/07/2015,6.610,6.700,6.570,6.640,740289,4921526.685,1567
FPH,22/07/2015,6.630,6.750,6.620,6.740,304597,2043504.515,920
FPH,23/07/2015,6.780,6.930,6.780,6.870,438143,3006095.955,1359
FPH,24/07/2015,6.830,6.880,6.820,6.850,131517,900885.000,677
FPH,27/07/2015,6.840,6.910,6.830,6.900,217022,1494386.960,600
FPH,28/07/2015,6.890,6.910,6.820,6.890,287230,1974521.345,737
FPH,29/07/2015,6.900,6.980,6.860,6.960,162932,1132486.438,589
FPH,30/07/2015,6.940,6.940,6.620,6.750,226569,1539695.310,772
FPH,31/07/2015,6.700,6.830,6.700,6.780,236295,1602973.780,708
FPH,03/08/2015,6.820,6.820,6.750,6.780,78788,534052.155,414
FPH,04/08/2015,6.740,6.770,6.640,6.640,312737,2090629.030,1021
FPH,05/08/2015,6.660,6.830,6.660,6.790,374929,2531996.800,1105
FPH,06/08/2015,6.790,6.940,6.780,6.900,382397,2637057.988,926
FPH,07/08/2015,6.940,6.950,6.800,6.800,317686,2174768.420,940
FPH,10/08/2015,6.830,6.870,6.820,6.850,169521,1161196.795,553
FPH,11/08/2015,6.860,6.870,6.640,6.680,176947,1191276.720,560
FPH,12/08/2015,6.640,6.820,6.620,6.750,467782,3160215.285,1486
FPH,13/08/2015,6.690,6.830,6.670,6.790,298177,2017351.170,1034
FPH,14/08/2015,6.770,6.800,6.680,6.710,202520,1364978.715,1016
FPH,17/08/2015,6.750,6.770,6.680,6.700,280318,1885509.095,1040
FPH,18/08/2015,6.730,6.760,6.690,6.730,371687,2501354.640,880
FPH,19/08/2015,6.710,6.740,6.660,6.680,170333,1140574.490,667
FPH,20/08/2015,6.530,6.660,6.530,6.640,339736,2252336.965,841
FPH,21/08/2015,6.520,6.630,6.460,6.600,234542,1539214.635,796
FPH,24/08/2015,6.500,6.590,6.460,6.560,515092,3357209.675,1308
FPH,25/08/2015,6.370,6.550,6.330,6.550,328042,2126971.050,1291
FPH,26/08/2015,6.580,6.620,6.530,6.590,261059,1718041.185,835
FPH,27/08/2015,6.590,6.660,6.490,6.650,654673,4326099.475,975
FPH,28/08/2015,6.660,6.680,6.600,6.640,707653,4703547.400,1052
FPH,31/08/2015,6.610,6.690,6.540,6.570,640529,4227598.045,1373
FPH,01/09/2015,6.470,6.510,6.390,6.500,365620,2361386.945,1458
FPH,02/09/2015,6.450,6.640,6.420,6.600,339793,2223266.905,1064
FPH,03/09/2015,6.580,6.630,6.530,6.550,259801,1705765.495,953
FPH,04/09/2015,6.550,6.610,6.550,6.610,178378,1175252.680,1049
FPH,07/09/2015,6.550,6.590,6.520,6.590,230711,1514914.725,844
FPH,08/09/2015,6.580,6.770,6.550,6.730,331360,2214829.630,1054
FPH,09/09/2015,6.810,6.950,6.810,6.920,361615,2491173.290,1367
FPH,10/09/2015,6.870,6.910,6.850,6.850,241152,1657902.348,1057
FPH,11/09/2015,6.810,6.830,6.730,6.830,313756,2131309.065,1266
FPH,14/09/2015,6.820,6.820,6.730,6.770,435557,2952146.660,1182
FPH,15/09/2015,6.680,6.680,6.610,6.680,194518,1298167.365,889
FPH,16/09/2015,6.710,6.820,6.690,6.820,227913,1538850.205,770
FPH,17/09/2015,6.810,6.900,6.760,6.860,392983,2681908.065,932
FPH,18/09/2015,6.850,6.890,6.740,6.780,224429,1526528.428,990
FPH,21/09/2015,6.720,6.750,6.690,6.740,156043,1050054.015,815
FPH,22/09/2015,6.760,6.770,6.710,6.770,209972,1415782.465,807
FPH,23/09/2015,6.760,6.830,6.760,6.790,224091,1521244.290,1016
FPH,24/09/2015,6.820,6.930,6.800,6.860,267972,1839572.545,1031
FPH,25/09/2015,6.830,6.840,6.780,6.820,146623,999000.765,698
FPH,28/09/2015,6.820,6.840,6.720,6.770,179224,1215135.325,1010
FPH,29/09/2015,6.640,6.640,6.490,6.530,402517,2631899.755,1462
FPH,30/09/2015,6.500,6.510,6.440,6.500,215345,1396094.460,1048
FPH,01/10/2015,6.470,6.520,6.430,6.480,209842,1356831.560,1169
FPH,02/10/2015,6.460,6.510,6.440,6.480,346922,2247968.585,1162
FPH,05/10/2015,6.480,6.590,6.480,6.560,107910,707168.170,471
FPH,06/10/2015,6.580,6.610,6.530,6.600,125986,829112.600,577
FPH,07/10/2015,6.590,6.590,6.520,6.550,187758,1230977.092,885
FPH,08/10/2015,6.570,6.580,6.440,6.460,228222,1481708.798,716
FPH,09/10/2015,6.510,6.510,6.350,6.390,201796,1293826.425,867
FPH,12/10/2015,6.430,6.470,6.400,6.470,472465,3037575.310,1130
FPH,13/10/2015,6.480,6.680,6.480,6.650,366600,2430610.425,964
FPH,14/10/2015,6.750,6.830,6.720,6.830,347290,2357322.654,1060
FPH,15/10/2015,6.850,6.930,6.830,6.900,195638,1345939.485,821
FPH,16/10/2015,6.880,6.940,6.880,6.890,260817,1800719.905,1155
FPH,19/10/2015,6.910,6.930,6.880,6.900,509581,3513425.237,884
FPH,20/10/2015,6.980,7.090,6.980,7.060,172293,1211531.195,683
FPH,21/10/2015,7.060,7.170,7.040,7.140,469743,3350857.538,855
FPH,22/10/2015,7.140,7.150,7.080,7.140,266503,1903406.755,727
FPH,23/10/2015,7.200,7.330,7.170,7.290,485279,3531423.750,1207
FPH,26/10/2015,7.450,7.480,7.350,7.400,493327,3655675.740,1422
