Code,Date,Open,High,Low,Close,Volume,Value,Trades
GOLD,11/06/2015,146.680,146.860,145.500,145.500,2415,353021.000,70
GOLD,12/06/2015,145.540,146.260,145.540,146.060,4094,597240.840,62
GOLD,15/06/2015,146.500,146.500,146.060,146.210,3732,545844.870,31
GOLD,16/06/2015,146.160,146.260,145.700,146.240,10155,1483439.290,118
GOLD,17/06/2015,146.090,146.180,145.780,146.180,6775,989178.210,49
GOLD,18/06/2015,146.620,147.250,146.280,146.910,8041,1180033.100,71
GOLD,19/06/2015,147.260,147.990,147.000,147.990,4408,650483.820,57
GOLD,22/06/2015,147.500,148.000,147.000,147.100,3468,511438.080,59
GOLD,23/06/2015,146.500,147.320,146.440,146.500,2787,409357.910,41
GOLD,24/06/2015,146.250,148.000,145.220,148.000,5136,749301.260,55
GOLD,25/06/2015,145.870,145.910,145.200,145.200,4093,595720.160,57
GOLD,26/06/2015,145.200,145.560,145.150,145.300,5085,739291.780,32
GOLD,29/06/2015,148.600,148.800,147.000,148.050,15406,2279648.610,101
GOLD,30/06/2015,147.060,147.240,146.390,146.650,3545,520064.790,59
GOLD,01/07/2015,146.350,147.000,145.060,145.060,3975,578650.300,29
GOLD,02/07/2015,145.920,146.320,145.720,145.740,6669,973479.200,56
GOLD,03/07/2015,145.780,147.180,145.750,147.000,6185,906473.300,42
GOLD,06/07/2015,149.520,149.600,148.780,148.780,8625,1286320.430,53
GOLD,07/07/2015,149.360,149.490,148.780,149.400,6674,995355.600,54
GOLD,08/07/2015,148.340,149.000,148.240,148.420,5725,849792.200,53
GOLD,09/07/2015,148.960,149.410,147.920,149.000,15016,2232106.270,112
GOLD,10/07/2015,148.480,148.580,147.820,148.150,3100,459353.390,53
GOLD,13/07/2015,149.500,149.720,148.780,148.940,3445,513904.850,43
GOLD,14/07/2015,149.300,149.440,148.420,148.600,3605,536513.180,51
GOLD,15/07/2015,148.420,148.540,147.600,147.760,4012,594375.840,43
GOLD,16/07/2015,148.700,149.100,148.580,148.980,8981,1335560.940,43
GOLD,17/07/2015,147.530,147.660,147.330,147.420,2516,370866.750,43
GOLD,20/07/2015,146.850,146.870,141.030,143.810,11695,1692984.140,100
GOLD,21/07/2015,142.260,143.560,142.260,143.200,9151,1306648.010,118
GOLD,22/07/2015,141.480,141.940,140.600,140.600,8850,1252102.390,74
GOLD,23/07/2015,141.760,142.440,140.500,140.500,6089,864985.590,99
GOLD,24/07/2015,141.500,142.210,140.650,141.900,10154,1437809.980,175
GOLD,27/07/2015,143.840,144.080,143.510,143.730,17330,2491050.900,450
GOLD,28/07/2015,142.000,143.900,141.950,141.950,8613,1234338.180,54
GOLD,29/07/2015,142.190,143.400,142.190,143.400,3540,504666.850,39
GOLD,30/07/2015,143.520,143.640,142.450,142.470,4891,699679.540,27
GOLD,31/07/2015,142.510,142.520,141.570,141.710,5028,713967.440,44
GOLD,03/08/2015,142.900,143.440,142.740,143.350,6089,870796.590,25
GOLD,04/08/2015,142.110,142.440,140.720,140.810,4820,683697.110,91
GOLD,05/08/2015,140.440,141.160,140.400,141.160,1254,176363.320,20
GOLD,06/08/2015,140.980,141.480,140.500,141.480,7676,1081782.030,40
GOLD,07/08/2015,141.680,141.800,140.900,141.800,9297,1312036.470,143
GOLD,10/08/2015,140.050,141.710,140.050,141.710,8370,1178884.770,43
GOLD,11/08/2015,142.140,143.750,142.120,143.750,7956,1138134.010,55
GOLD,12/08/2015,144.620,146.600,144.000,146.080,10487,1526498.500,114
GOLD,13/08/2015,145.360,145.640,144.720,145.040,5560,807135.870,97
GOLD,14/08/2015,144.400,144.490,143.000,143.000,3587,517449.970,115
GOLD,17/08/2015,144.280,144.680,144.210,144.460,4000,577603.240,43
GOLD,18/08/2015,144.780,145.040,144.580,145.000,2581,373506.940,65
GOLD,19/08/2015,145.310,145.700,145.050,145.430,4085,593948.330,128
GOLD,20/08/2015,146.990,148.280,146.800,148.120,6462,952738.460,180
GOLD,21/08/2015,150.280,152.730,150.130,152.080,24894,3766485.330,328
GOLD,24/08/2015,152.860,154.100,152.250,152.800,24670,3778686.500,187
GOLD,25/08/2015,154.030,154.030,152.360,153.460,11400,1745522.790,140
GOLD,26/08/2015,153.650,154.000,151.380,151.880,11963,1822655.250,94
GOLD,27/08/2015,150.980,151.540,150.300,151.350,10659,1608396.420,185
GOLD,28/08/2015,149.900,150.800,149.320,150.730,3503,525992.910,47
GOLD,31/08/2015,151.260,152.000,151.070,151.320,5692,862060.240,123
GOLD,01/09/2015,152.380,153.240,152.380,152.850,3990,609785.830,71
GOLD,02/09/2015,154.980,155.540,154.370,154.910,9723,1505687.070,141
GOLD,03/09/2015,153.560,154.460,153.440,154.280,2967,456763.440,53
GOLD,04/09/2015,153.220,154.270,153.220,154.000,2244,345103.880,50
GOLD,07/09/2015,154.060,155.120,153.840,154.960,7141,1103466.120,122
GOLD,08/09/2015,154.140,154.980,153.480,154.980,4444,684226.290,62
GOLD,09/09/2015,152.680,152.680,151.900,152.240,3789,576985.270,55
GOLD,10/09/2015,151.820,152.050,150.490,150.490,9664,1461621.790,71
GOLD,11/09/2015,150.040,150.300,149.820,150.080,1071,160748.790,35
GOLD,14/09/2015,148.640,149.340,148.100,149.300,3865,574193.500,43
GOLD,15/09/2015,147.900,148.930,147.680,148.780,5215,772588.630,59
GOLD,16/09/2015,148.310,148.310,147.640,147.930,3031,448274.990,56
GOLD,17/09/2015,148.360,148.920,148.360,148.800,2582,383860.900,44
GOLD,18/09/2015,150.050,150.500,149.540,149.620,1833,274904.580,47
GOLD,21/09/2015,150.940,151.870,150.800,151.870,1309,197970.540,42
GOLD,22/09/2015,151.460,151.880,151.460,151.570,3555,538820.010,66
GOLD,23/09/2015,151.600,152.960,151.500,152.610,2355,358807.380,52
GOLD,24/09/2015,154.040,154.960,154.000,154.840,4906,757101.220,60
GOLD,25/09/2015,156.580,156.960,156.070,156.260,3432,537147.650,72
GOLD,28/09/2015,156.000,156.120,155.420,155.760,6034,940782.780,53
GOLD,29/09/2015,155.100,155.640,154.730,154.730,3686,572401.880,56
GOLD,30/09/2015,153.360,153.500,152.880,153.500,5101,781885.390,55
GOLD,01/10/2015,151.970,151.980,150.540,150.820,4165,630003.530,71
GOLD,02/10/2015,150.920,151.280,150.660,150.760,3039,458685.240,37
