Code,Date,Open,High,Low,Close,Volume,Value,Trades
NXG,02/07/2021,6.150,6.700,6.150,6.700,28530,184589.960,58
NXG,05/07/2021,6.320,6.320,6.000,6.000,12700,77948.140,34
NXG,06/07/2021,6.100,6.200,6.000,6.200,6800,41501.000,15
NXG,07/07/2021,6.000,6.000,5.750,5.900,11000,64323.920,19
NXG,08/07/2021,5.850,5.850,5.850,5.850,100,585.000,1
NXG,09/07/2021,5.700,5.750,5.700,5.750,20101,114606.090,20
NXG,12/07/2021,5.580,5.630,5.520,5.600,186377,1023677.660,8
NXG,13/07/2021,5.540,5.600,5.540,5.600,3675,20514.500,7
NXG,14/07/2021,5.450,5.470,5.450,5.470,1872,10212.400,5
NXG,15/07/2021,5.340,5.500,5.300,5.300,192181,1014137.400,6
NXG,16/07/2021,5.200,5.200,5.200,5.200,500,2600.000,1
NXG,19/07/2021,5.080,5.090,5.080,5.090,199190,1006742.200,5
NXG,20/07/2021,5.000,5.050,5.000,5.050,8500,42550.000,11
NXG,21/07/2021,5.210,5.310,5.210,5.310,200990,1009806.900,3
NXG,22/07/2021,5.380,5.450,5.380,5.450,1527,8287.150,5
NXG,23/07/2021,5.390,5.600,5.320,5.450,302410,1608587.000,28
NXG,26/07/2021,0.000,0.000,0.000,5.450,0,0.000,0
NXG,27/07/2021,5.400,5.400,5.400,5.400,376000,2013150.000,2
NXG,28/07/2021,0.000,0.000,0.000,5.400,325000,1758250.000,1
NXG,29/07/2021,5.700,5.800,5.600,5.800,79090,452194.200,21
NXG,30/07/2021,5.800,5.980,5.800,5.980,3000,17789.980,7
NXG,02/08/2021,5.980,6.010,5.980,6.000,528461,3065725.450,9
NXG,03/08/2021,0.000,0.000,0.000,6.000,0,0.000,0
NXG,04/08/2021,5.700,5.700,5.700,5.700,660365,3850480.500,4
NXG,05/08/2021,0.000,0.000,0.000,5.700,0,0.000,0
NXG,06/08/2021,0.000,0.000,0.000,5.700,0,0.000,0
NXG,09/08/2021,0.000,0.000,0.000,5.700,362100,1979238.600,1
NXG,10/08/2021,5.700,5.700,5.420,5.420,808701,4460765.300,3
NXG,11/08/2021,5.400,5.400,5.400,5.400,451547,2538431.400,2
NXG,12/08/2021,0.000,0.000,0.000,5.400,241100,1360768.400,1
NXG,13/08/2021,0.000,0.000,0.000,5.400,358000,1991196.000,1
NXG,16/08/2021,5.500,5.500,5.500,5.500,372801,2088048.200,2
NXG,17/08/2021,5.400,5.400,5.400,5.400,603382,3235007.100,10
NXG,18/08/2021,5.300,5.300,5.220,5.220,702268,3807318.960,7
NXG,19/08/2021,0.000,0.000,0.000,5.220,675000,0.000,2
NXG,20/08/2021,5.130,5.130,5.130,5.130,2868,14712.840,2
NXG,23/08/2021,5.150,5.150,5.120,5.130,2868,14709.250,13
NXG,24/08/2021,5.520,5.640,5.520,5.570,3155,17596.110,6
NXG,25/08/2021,5.610,5.620,5.610,5.620,387115,2195267.300,3
NXG,26/08/2021,5.590,5.590,5.590,5.590,192518,1105863.420,3
NXG,27/08/2021,0.000,0.000,0.000,5.590,256400,1515836.800,1
