Code,Date,Open,High,Low,Close,Volume,Value,Trades
PDN,11/06/2015,0.280,0.290,0.277,0.280,4344645,1225627.288,521
PDN,12/06/2015,0.285,0.310,0.282,0.295,9498876,2803690.385,645
PDN,15/06/2015,0.300,0.305,0.275,0.280,9046631,2595114.076,570
PDN,16/06/2015,0.280,0.285,0.275,0.280,6772727,1896012.417,741
PDN,17/06/2015,0.280,0.282,0.275,0.280,2469974,688169.014,846
PDN,18/06/2015,0.280,0.282,0.270,0.270,6223569,1722516.698,841
PDN,19/06/2015,0.275,0.280,0.272,0.280,3537055,983022.150,650
PDN,22/06/2015,0.280,0.285,0.277,0.285,2700341,759117.556,506
PDN,23/06/2015,0.285,0.285,0.277,0.280,3107213,873536.969,825
PDN,24/06/2015,0.280,0.287,0.275,0.275,6154775,1725686.622,699
PDN,25/06/2015,0.280,0.280,0.270,0.270,5601432,1528500.165,641
PDN,26/06/2015,0.270,0.270,0.265,0.265,4339242,1160615.491,728
PDN,29/06/2015,0.265,0.267,0.250,0.255,8635185,2218743.283,749
PDN,30/06/2015,0.255,0.255,0.237,0.245,12844777,3142242.163,1341
PDN,01/07/2015,0.250,0.267,0.240,0.265,11943457,3099544.292,792
PDN,02/07/2015,0.265,0.270,0.250,0.255,6036244,1555232.141,525
PDN,03/07/2015,0.250,0.255,0.245,0.250,4393148,1098858.073,371
PDN,06/07/2015,0.245,0.252,0.245,0.245,2676183,665038.697,306
PDN,07/07/2015,0.245,0.252,0.240,0.245,5317327,1316245.338,592
PDN,08/07/2015,0.250,0.250,0.210,0.215,16599270,3758368.196,1203
PDN,09/07/2015,0.205,0.215,0.192,0.210,23400220,4749815.233,1110
PDN,10/07/2015,0.220,0.222,0.200,0.205,11916915,2513459.189,676
PDN,13/07/2015,0.205,0.225,0.205,0.220,13047734,2842134.640,781
PDN,14/07/2015,0.230,0.235,0.215,0.235,10405717,2361730.565,732
PDN,15/07/2015,0.240,0.250,0.235,0.250,14856502,3633324.721,699
PDN,16/07/2015,0.255,0.260,0.235,0.235,10290893,2537532.015,655
PDN,17/07/2015,0.230,0.245,0.225,0.240,15852609,3741810.034,871
PDN,20/07/2015,0.240,0.245,0.230,0.230,4955124,1176387.678,534
PDN,21/07/2015,0.230,0.235,0.220,0.225,6983314,1594153.732,664
PDN,22/07/2015,0.225,0.230,0.210,0.215,8318619,1822525.163,560
PDN,23/07/2015,0.215,0.220,0.210,0.215,4142450,893038.232,446
PDN,24/07/2015,0.210,0.215,0.205,0.205,7217009,1503891.492,455
PDN,27/07/2015,0.205,0.215,0.200,0.205,9142873,1901224.098,416
PDN,28/07/2015,0.200,0.205,0.200,0.200,3313903,664795.501,554
PDN,29/07/2015,0.205,0.210,0.197,0.205,10364190,2092550.000,906
PDN,30/07/2015,0.210,0.230,0.207,0.225,7674665,1685585.521,382
PDN,31/07/2015,0.230,0.230,0.205,0.205,10133281,2169616.879,848
PDN,03/08/2015,0.210,0.210,0.195,0.195,9501329,1913457.031,567
PDN,04/08/2015,0.195,0.202,0.180,0.185,15132774,2912884.288,698
PDN,05/08/2015,0.185,0.190,0.155,0.170,22752696,3942551.668,942
PDN,06/08/2015,0.175,0.185,0.170,0.180,11815659,2081322.765,728
PDN,07/08/2015,0.170,0.185,0.170,0.180,12498048,2210155.412,507
PDN,10/08/2015,0.000,0.000,0.000,0.180,0,0.000,0
PDN,11/08/2015,0.205,0.212,0.195,0.200,27028021,5485476.958,1288
PDN,12/08/2015,0.205,0.205,0.190,0.200,9623592,1902255.018,828
PDN,13/08/2015,0.200,0.200,0.190,0.195,4138320,810582.966,493
PDN,14/08/2015,0.195,0.200,0.190,0.190,4507119,865638.074,434
PDN,17/08/2015,0.195,0.195,0.187,0.195,3701422,716297.176,559
PDN,18/08/2015,0.195,0.200,0.190,0.190,3629560,701398.502,549
PDN,19/08/2015,0.190,0.195,0.190,0.190,2647124,505637.162,366
PDN,20/08/2015,0.190,0.195,0.180,0.180,6760412,1260114.359,262
PDN,21/08/2015,0.180,0.195,0.170,0.190,8050753,1490365.391,525
PDN,24/08/2015,0.180,0.190,0.175,0.175,7186338,1291793.371,578
PDN,25/08/2015,0.175,0.185,0.170,0.175,9529275,1684819.998,735
PDN,26/08/2015,0.175,0.180,0.165,0.165,10998993,1915255.172,495
PDN,27/08/2015,0.170,0.195,0.170,0.195,9754249,1822706.604,611
PDN,28/08/2015,0.190,0.210,0.185,0.205,12682963,2503845.445,928
PDN,31/08/2015,0.200,0.205,0.190,0.195,8301534,1627544.619,1292
PDN,01/09/2015,0.195,0.200,0.190,0.190,5284031,1020573.026,574
PDN,02/09/2015,0.195,0.200,0.190,0.195,2726153,532035.572,530
PDN,03/09/2015,0.200,0.205,0.195,0.195,2221675,439613.732,264
PDN,04/09/2015,0.195,0.200,0.190,0.195,1804704,350227.268,241
PDN,07/09/2015,0.190,0.195,0.185,0.185,2658695,501707.346,307
PDN,08/09/2015,0.190,0.195,0.187,0.195,4764939,924086.188,638
PDN,09/09/2015,0.200,0.225,0.195,0.220,17911563,3764133.748,1290
PDN,10/09/2015,0.215,0.215,0.205,0.210,6555384,1383087.699,489
PDN,11/09/2015,0.210,0.220,0.210,0.210,3813137,815342.171,604
PDN,14/09/2015,0.210,0.215,0.205,0.205,3556346,744856.614,253
PDN,15/09/2015,0.205,0.210,0.200,0.200,2858951,577977.088,387
PDN,16/09/2015,0.205,0.210,0.200,0.200,5034006,1023806.378,451
PDN,17/09/2015,0.205,0.215,0.205,0.210,6923796,1445061.266,496
PDN,18/09/2015,0.210,0.215,0.195,0.195,14370910,2827089.509,435
PDN,21/09/2015,0.195,0.195,0.190,0.190,3904261,747800.509,996
PDN,22/09/2015,0.195,0.200,0.190,0.190,4408553,849755.258,529
PDN,23/09/2015,0.190,0.195,0.180,0.180,6752914,1246729.183,464
PDN,24/09/2015,0.180,0.185,0.180,0.180,3305517,598880.286,414
PDN,25/09/2015,0.185,0.185,0.175,0.175,4360325,783422.416,462
PDN,28/09/2015,0.175,0.190,0.175,0.190,4828355,884292.916,442
PDN,29/09/2015,0.175,0.180,0.165,0.165,12450880,2138129.613,872
PDN,30/09/2015,0.170,0.175,0.165,0.170,5261237,904215.724,416
PDN,01/10/2015,0.175,0.180,0.170,0.175,3707127,650183.773,330
PDN,02/10/2015,0.175,0.185,0.172,0.180,2445639,438525.169,284
PDN,05/10/2015,0.185,0.185,0.175,0.185,2231635,405783.185,182
PDN,06/10/2015,0.185,0.195,0.185,0.185,4754016,890012.230,411
PDN,07/10/2015,0.190,0.195,0.185,0.185,2750482,519293.513,410
PDN,08/10/2015,0.190,0.195,0.190,0.190,2480936,473044.570,307
PDN,09/10/2015,0.195,0.205,0.190,0.205,5580133,1104647.124,471
PDN,12/10/2015,0.205,0.210,0.200,0.205,7028126,1436921.303,483
PDN,13/10/2015,0.205,0.215,0.202,0.210,4690948,986231.882,401
PDN,14/10/2015,0.210,0.212,0.205,0.210,2207405,461956.367,327
PDN,15/10/2015,0.205,0.227,0.205,0.215,10129836,2186299.576,676
PDN,16/10/2015,0.215,0.230,0.215,0.225,6873892,1535554.236,466
