Code,Date,Open,High,Low,Close,Volume,Value,Trades
QAN,11/06/2015,3.240,3.290,3.190,3.220,11298660,36495501.085,3137
QAN,12/06/2015,3.190,3.240,3.190,3.220,6602140,21221423.590,2189
QAN,15/06/2015,3.200,3.270,3.200,3.230,7224914,23377741.420,1924
QAN,16/06/2015,3.240,3.280,3.210,3.220,9840639,31915932.220,2488
QAN,17/06/2015,3.250,3.250,3.210,3.230,13734962,44279639.965,2228
QAN,18/06/2015,3.180,3.205,3.110,3.140,12484536,39460139.715,2661
QAN,19/06/2015,3.160,3.215,3.150,3.180,15155687,48252876.700,3488
QAN,22/06/2015,3.190,3.230,3.180,3.190,6342659,20266550.990,1899
QAN,23/06/2015,3.200,3.210,3.170,3.210,9450353,30236798.120,4466
QAN,24/06/2015,3.200,3.260,3.180,3.250,8567872,27689370.210,2808
QAN,25/06/2015,3.250,3.260,3.210,3.240,5855068,18963729.075,1744
QAN,26/06/2015,3.240,3.250,3.120,3.120,9158799,28377617.880,2700
QAN,29/06/2015,3.040,3.070,2.990,3.020,15045165,45492091.870,5201
QAN,30/06/2015,2.990,3.170,2.980,3.160,20898136,65019989.170,6232
QAN,01/07/2015,3.120,3.295,3.120,3.260,9057333,29219077.299,3990
QAN,02/07/2015,3.300,3.330,3.230,3.270,8019941,26274484.580,3267
QAN,03/07/2015,3.210,3.240,3.130,3.200,8374275,26681601.300,3420
QAN,06/07/2015,3.140,3.210,3.120,3.180,5545598,17589663.885,2762
QAN,07/07/2015,3.280,3.450,3.250,3.430,17563523,59270873.480,4798
QAN,08/07/2015,3.380,3.400,3.300,3.350,10761182,36060208.185,4814
QAN,09/07/2015,3.310,3.405,3.260,3.400,10105146,33816998.745,4789
QAN,10/07/2015,3.430,3.460,3.325,3.330,7898601,26740731.905,4014
QAN,13/07/2015,3.320,3.520,3.320,3.450,11018624,38193802.705,4107
QAN,14/07/2015,3.550,3.590,3.480,3.540,8543504,30137521.015,3907
QAN,15/07/2015,3.560,3.580,3.485,3.530,7249121,25522540.450,3493
QAN,16/07/2015,3.530,3.590,3.510,3.580,8276115,29414763.215,2862
QAN,17/07/2015,3.580,3.640,3.560,3.630,8078495,29179463.020,3246
QAN,20/07/2015,3.660,3.670,3.590,3.640,3509050,12755978.460,2259
QAN,21/07/2015,3.640,3.680,3.630,3.650,6784828,24826218.675,3029
QAN,22/07/2015,3.650,3.680,3.630,3.650,8219818,30008162.565,3307
QAN,23/07/2015,3.680,3.760,3.650,3.750,8859120,33026112.945,3011
QAN,24/07/2015,3.740,3.740,3.620,3.690,10396767,38233227.485,3397
QAN,27/07/2015,3.650,3.770,3.640,3.770,6104552,22803383.840,2589
QAN,28/07/2015,3.700,3.780,3.700,3.750,6990242,26144350.060,3083
QAN,29/07/2015,3.780,3.860,3.770,3.800,15577056,59554306.335,3776
QAN,30/07/2015,3.800,3.850,3.710,3.740,8752084,32975492.320,3293
QAN,31/07/2015,3.780,3.790,3.720,3.750,10183095,37476269.935,2701
QAN,03/08/2015,3.750,3.780,3.690,3.710,5481774,20396386.840,3107
QAN,04/08/2015,3.740,3.860,3.710,3.850,13617940,51826704.280,5259
QAN,05/08/2015,3.850,3.875,3.795,3.830,7719318,29609341.190,3629
QAN,06/08/2015,3.860,3.890,3.820,3.840,6708181,25793852.155,3228
QAN,07/08/2015,3.850,3.850,3.770,3.770,8725378,33184474.755,2786
QAN,10/08/2015,3.790,3.890,3.780,3.870,8136696,31319415.360,2308
QAN,11/08/2015,3.870,3.870,3.710,3.760,11169790,42307758.015,3751
QAN,12/08/2015,3.800,3.825,3.710,3.750,7883373,29672280.740,3731
QAN,13/08/2015,3.730,3.770,3.650,3.660,6020961,22180675.085,2811
QAN,14/08/2015,3.680,3.750,3.670,3.720,6572679,24447954.548,2883
QAN,17/08/2015,3.720,3.770,3.720,3.760,4109639,15419142.815,2168
QAN,18/08/2015,3.800,3.865,3.760,3.790,11608494,44188417.079,3753
QAN,19/08/2015,3.790,3.800,3.700,3.760,9201549,34474331.169,3517
QAN,20/08/2015,3.900,3.900,3.520,3.530,20156764,74474139.820,6119
QAN,21/08/2015,3.600,3.600,3.370,3.450,25901817,89984824.525,6812
QAN,24/08/2015,3.330,3.390,3.245,3.300,29463014,97903789.715,8105
QAN,25/08/2015,3.220,3.520,3.210,3.490,21025664,72032829.619,8743
QAN,26/08/2015,3.460,3.600,3.390,3.590,17790482,62964656.550,6593
QAN,27/08/2015,3.660,3.680,3.520,3.530,11102207,39755579.568,4774
QAN,28/08/2015,3.550,3.550,3.330,3.390,17529636,59781541.785,6531
QAN,31/08/2015,3.350,3.360,3.270,3.360,18737342,62151915.173,6681
QAN,01/09/2015,3.300,3.505,3.290,3.470,18385718,63051470.350,6577
QAN,02/09/2015,3.420,3.530,3.365,3.500,17836195,61754349.860,7239
QAN,03/09/2015,3.530,3.550,3.420,3.430,7500826,25930194.928,4816
QAN,04/09/2015,3.470,3.540,3.410,3.470,9969275,34719238.575,5967
QAN,07/09/2015,3.500,3.560,3.470,3.530,6406159,22543557.895,3453
QAN,08/09/2015,3.550,3.595,3.505,3.530,8416730,29844584.160,3999
QAN,09/09/2015,3.590,3.620,3.510,3.540,20075397,71304983.300,6219
QAN,10/09/2015,3.510,3.590,3.510,3.540,12723735,45185828.965,5691
QAN,11/09/2015,3.530,3.550,3.510,3.540,10629653,37493947.415,4372
QAN,14/09/2015,3.580,3.630,3.560,3.600,11316881,40690668.175,3650
QAN,15/09/2015,3.620,3.670,3.570,3.570,9802236,35391553.610,3765
QAN,16/09/2015,3.600,3.690,3.530,3.650,16472879,59902453.730,5500
