Code,Date,Open,High,Low,Close,Volume,Value,Trades
RMD,11/06/2015,7.620,7.640,7.540,7.560,3998053,30395433.535,2772
RMD,12/06/2015,7.580,7.620,7.580,7.590,3170960,24103194.095,2447
RMD,15/06/2015,7.590,7.590,7.475,7.520,4876304,36628629.900,3023
RMD,16/06/2015,7.530,7.560,7.460,7.480,7493850,56103002.405,3574
RMD,17/06/2015,7.450,7.460,7.400,7.430,8184928,60879555.325,3130
RMD,18/06/2015,7.350,7.370,7.240,7.290,7827506,57265616.565,4375
RMD,19/06/2015,7.330,7.380,7.330,7.370,3613879,26519614.402,2387
RMD,22/06/2015,7.410,7.430,7.370,7.400,4729397,35004723.460,1760
RMD,23/06/2015,7.480,7.510,7.470,7.500,4221221,31638162.040,3655
RMD,24/06/2015,7.350,7.440,7.320,7.410,6130811,45301390.376,3599
RMD,25/06/2015,7.360,7.370,7.300,7.330,2837755,20810968.580,1922
RMD,26/06/2015,7.240,7.280,7.190,7.280,3591448,26159446.359,3011
RMD,29/06/2015,7.230,7.240,7.140,7.200,3618967,26001036.750,4558
RMD,30/06/2015,7.200,7.270,7.190,7.270,2458099,17777083.395,3281
RMD,01/07/2015,7.300,7.380,7.290,7.360,2037838,14956341.420,2047
RMD,02/07/2015,7.230,7.260,7.190,7.260,3233998,23368523.740,3145
RMD,03/07/2015,7.220,7.250,7.155,7.230,3631136,26155318.650,3060
RMD,06/07/2015,7.250,7.300,7.190,7.240,2018611,14615822.740,2287
RMD,07/07/2015,7.380,7.450,7.380,7.410,2081032,15438401.035,2728
RMD,08/07/2015,7.560,7.640,7.555,7.600,5285178,40061510.465,3494
RMD,09/07/2015,7.570,7.590,7.490,7.510,2631199,19839870.455,2802
RMD,10/07/2015,7.630,7.660,7.580,7.590,2550123,19399045.250,4199
RMD,13/07/2015,7.650,7.710,7.600,7.690,2153521,16521076.175,1656
RMD,14/07/2015,7.740,7.750,7.680,7.690,3803846,29306090.465,2641
RMD,15/07/2015,7.690,7.710,7.650,7.710,4327304,33253942.225,3284
RMD,16/07/2015,7.790,7.830,7.770,7.800,4495532,35060124.795,2880
RMD,17/07/2015,7.830,7.830,7.730,7.740,1832362,14213805.875,1653
RMD,20/07/2015,7.780,7.780,7.720,7.740,3528430,27321619.680,3163
RMD,21/07/2015,7.760,7.770,7.720,7.730,3223167,24953780.985,2361
RMD,22/07/2015,7.670,7.670,7.580,7.590,4478427,34138503.740,3069
RMD,23/07/2015,7.650,7.680,7.620,7.640,3698905,28308056.515,2288
RMD,24/07/2015,7.620,7.690,7.610,7.680,3868989,29605222.205,2478
RMD,27/07/2015,7.670,7.700,7.620,7.650,2343469,17968551.040,2129
RMD,28/07/2015,7.610,7.610,7.490,7.530,3042504,22938539.735,3010
