Code,Date,Open,High,Low,Close,Volume,Value,Trades
SGH,11/06/2015,6.150,6.250,6.110,6.200,1973065,12235709.350,5322
SGH,12/06/2015,6.240,6.380,6.220,6.290,2221445,13995692.775,3572
SGH,15/06/2015,6.310,6.320,6.220,6.290,1602980,10053412.860,2934
SGH,16/06/2015,6.330,6.370,6.220,6.250,1602530,10060334.771,3131
SGH,17/06/2015,6.290,6.320,6.200,6.250,2025144,12677555.715,3735
SGH,18/06/2015,6.250,6.250,6.100,6.160,2423220,14989426.458,4128
SGH,19/06/2015,6.180,6.300,6.155,6.270,1960796,12279638.605,4115
SGH,22/06/2015,6.260,6.400,6.180,6.380,1483967,9391760.040,3060
SGH,23/06/2015,6.450,6.560,6.410,6.490,4168468,27042327.544,6111
SGH,24/06/2015,6.360,6.450,6.110,6.130,6259780,39127335.865,6597
SGH,25/06/2015,5.300,5.550,4.850,5.060,23834799,122722303.340,19127
SGH,26/06/2015,5.200,5.210,4.930,5.040,9285245,47361320.730,9168
SGH,29/06/2015,4.400,4.400,3.500,3.780,32221084,123588770.875,17616
SGH,30/06/2015,3.600,3.700,3.290,3.560,16918176,60577176.825,11183
SGH,01/07/2015,3.740,3.940,3.600,3.690,11728608,43653599.995,11082
SGH,02/07/2015,3.810,3.950,3.750,3.770,9508150,36446082.005,7129
SGH,03/07/2015,3.820,3.870,3.770,3.830,6802009,26057929.035,6802
SGH,06/07/2015,3.780,3.800,3.610,3.630,3587040,13198128.100,3901
SGH,07/07/2015,3.730,3.830,3.635,3.650,4409690,16433594.035,4876
SGH,08/07/2015,3.610,3.710,3.500,3.510,4174514,14875839.980,5446
SGH,09/07/2015,3.470,3.480,3.320,3.370,4711030,16026839.757,4931
SGH,10/07/2015,3.400,3.510,3.340,3.390,3132851,10659709.140,4131
SGH,13/07/2015,3.420,3.560,3.350,3.500,3560058,12471021.715,3771
SGH,14/07/2015,3.620,3.750,3.520,3.670,4388169,16049022.950,3632
SGH,15/07/2015,3.750,3.860,3.720,3.810,5308640,20203806.025,4826
SGH,16/07/2015,3.890,3.900,3.700,3.750,4278281,16143132.225,3790
SGH,17/07/2015,3.770,3.910,3.750,3.870,3799313,14624691.490,3490
SGH,20/07/2015,3.900,3.950,3.860,3.900,4166277,16280359.885,3137
SGH,21/07/2015,3.970,4.010,3.850,3.860,4522107,17748475.610,3490
SGH,22/07/2015,3.870,3.950,3.830,3.850,3004366,11663552.395,2834
SGH,23/07/2015,3.850,3.930,3.830,3.910,1885665,7359226.780,1803
SGH,24/07/2015,3.900,3.900,3.570,3.600,4933531,18370557.545,3863
SGH,27/07/2015,3.580,3.680,3.450,3.470,3106851,10990836.170,4141
SGH,28/07/2015,3.420,3.650,3.360,3.520,3759310,13286411.725,4108
SGH,29/07/2015,3.610,3.670,3.530,3.550,2491592,8967603.405,2651
SGH,30/07/2015,3.570,3.590,3.460,3.460,2842337,9942258.625,2751
SGH,31/07/2015,3.520,3.520,3.400,3.420,3586999,12339109.305,2962
SGH,03/08/2015,3.460,3.500,3.430,3.460,1739100,6033414.945,1453
SGH,04/08/2015,3.480,3.520,3.350,3.380,2694634,9165511.535,2347
SGH,05/08/2015,3.390,3.420,3.210,3.270,4844359,15852844.580,3987
SGH,06/08/2015,2.850,3.330,2.650,3.170,14990867,46375911.570,7654
SGH,07/08/2015,3.300,3.440,3.220,3.270,6297914,20884167.560,4020
SGH,10/08/2015,3.300,3.370,3.260,3.270,1989093,6574251.585,1796
SGH,11/08/2015,3.350,3.400,3.325,3.360,2224244,7454404.265,1792
SGH,12/08/2015,3.380,3.400,3.220,3.240,2456937,8103477.263,3420
SGH,13/08/2015,3.260,3.290,3.160,3.200,2794840,8960879.820,2352
SGH,14/08/2015,3.210,3.280,2.960,3.130,5305146,16597084.630,3521
SGH,17/08/2015,3.200,3.280,3.120,3.140,1754814,5570471.215,2101
SGH,18/08/2015,3.150,3.210,3.130,3.160,2189375,6946090.985,2453
SGH,19/08/2015,3.180,3.190,3.050,3.060,2003639,6193609.177,1981
SGH,20/08/2015,3.000,3.170,2.980,3.150,2593603,8014426.495,2155
SGH,21/08/2015,3.070,3.100,3.020,3.050,1992563,6094738.350,2004
SGH,24/08/2015,2.970,3.000,2.820,2.910,2866654,8346783.750,2934
SGH,25/08/2015,2.860,3.040,2.810,3.010,2435537,7241472.587,2933
SGH,26/08/2015,3.020,3.080,2.910,2.950,2564973,7628393.950,2990
SGH,27/08/2015,2.990,3.020,2.900,2.950,2974822,8782683.140,2610
SGH,28/08/2015,3.370,3.560,3.020,3.120,14655268,47694427.530,5839
SGH,31/08/2015,3.230,3.310,3.130,3.270,4267594,13846704.525,3279
SGH,01/09/2015,3.300,3.480,3.180,3.200,6969552,23164838.775,4692
SGH,02/09/2015,3.140,3.170,3.020,3.100,2628543,8133487.665,3444
SGH,03/09/2015,3.160,3.170,2.820,2.850,4951016,14559578.752,3876
SGH,04/09/2015,2.920,2.940,2.730,2.800,3254460,9205540.570,2965
SGH,07/09/2015,2.770,2.770,2.650,2.720,2474537,6735657.985,3378
SGH,08/09/2015,2.760,2.780,2.720,2.750,1878874,5170746.035,2166
SGH,09/09/2015,2.820,2.900,2.800,2.870,1876112,5341416.350,2403
SGH,10/09/2015,2.850,2.930,2.810,2.810,1961497,5605358.880,2549
SGH,11/09/2015,2.830,2.840,2.760,2.760,1472652,4094074.345,1904
SGH,14/09/2015,2.750,2.765,2.670,2.710,2144922,5824704.590,1966
SGH,15/09/2015,2.700,2.700,2.550,2.570,3757314,9797748.225,3267
SGH,16/09/2015,2.600,2.670,2.560,2.650,2834849,7393885.745,2941
SGH,17/09/2015,2.730,2.810,2.670,2.800,3676319,10111604.615,2704
SGH,18/09/2015,2.750,2.900,2.690,2.900,3890921,11034244.058,2744
SGH,21/09/2015,2.870,2.900,2.780,2.830,1924782,5445068.589,1963
SGH,22/09/2015,2.860,2.880,2.680,2.710,2055387,5658657.710,1883
SGH,23/09/2015,2.660,2.710,2.640,2.670,1432434,3839002.480,2443
SGH,24/09/2015,2.680,2.710,2.580,2.620,2146699,5651898.445,1915
SGH,25/09/2015,2.650,2.690,2.600,2.670,1039114,2741801.115,1229
SGH,28/09/2015,2.680,2.860,2.680,2.780,2492313,6885284.828,2316
SGH,29/09/2015,2.720,2.980,2.700,2.870,3110602,8799836.255,2980
SGH,30/09/2015,3.280,3.290,2.900,2.940,6616918,20083572.222,4691
SGH,01/10/2015,2.990,3.030,2.960,3.000,2651072,7945521.775,2811
SGH,02/10/2015,2.970,3.000,2.920,2.950,1887416,5578919.805,2122
SGH,05/10/2015,2.980,2.990,2.930,2.980,803773,2379144.445,1311
SGH,06/10/2015,3.020,3.160,2.970,3.070,2937709,9037049.835,3390
SGH,07/10/2015,3.100,3.180,3.020,3.040,3258877,10008252.980,3718
SGH,08/10/2015,3.080,3.080,2.930,2.950,2729488,8149465.073,2049
SGH,09/10/2015,2.990,3.030,2.950,3.010,1839418,5522003.635,2773
SGH,12/10/2015,3.020,3.040,2.930,2.940,1507019,4486589.850,1897
SGH,13/10/2015,2.930,2.930,2.860,2.910,1743394,5059047.475,1516
SGH,14/10/2015,2.880,2.890,2.760,2.810,3126199,8802145.595,3589
SGH,15/10/2015,2.810,2.830,2.740,2.770,2156781,5992967.755,3143
SGH,16/10/2015,2.790,2.920,2.770,2.880,2256524,6414908.715,2035
SGH,19/10/2015,2.930,2.930,2.800,2.830,1388180,3955061.655,1858
SGH,20/10/2015,2.850,2.850,2.780,2.810,1326830,3725097.821,1694
SGH,21/10/2015,2.800,2.810,2.760,2.790,1546509,4300427.795,1500
SGH,22/10/2015,2.760,2.800,2.750,2.760,1730909,4787306.145,2234
SGH,23/10/2015,2.910,2.930,2.830,2.920,7532893,21183599.100,2314
SGH,26/10/2015,2.980,2.980,2.870,2.880,1866526,5453816.120,1604
SGH,27/10/2015,2.880,2.880,2.790,2.830,1876295,5303956.875,2335
SGH,28/10/2015,2.820,2.820,2.770,2.780,5357169,14838117.612,1891
SGH,29/10/2015,2.790,2.800,2.735,2.760,2835447,7834887.395,2865
SGH,30/10/2015,2.750,2.810,2.750,2.770,1283861,3554194.330,1675
SGH,02/11/2015,2.790,2.800,2.700,2.700,2139221,5844835.720,1848
SGH,03/11/2015,2.730,2.760,2.700,2.740,1319339,3603521.555,1528
SGH,04/11/2015,2.740,2.750,2.700,2.710,2190801,5953280.595,2577
SGH,05/11/2015,2.700,2.710,2.600,2.610,4197476,11105799.385,3479
SGH,06/11/2015,2.610,2.640,2.580,2.590,3402283,8858940.390,2798
SGH,09/11/2015,2.560,2.630,2.560,2.610,3536586,9115968.775,2023
SGH,10/11/2015,2.600,2.690,2.570,2.660,1798251,4744988.420,2795
SGH,11/11/2015,2.700,2.700,2.640,2.670,1317315,3521511.170,1843
SGH,12/11/2015,2.710,2.710,2.640,2.700,1041154,2793601.670,1957
SGH,13/11/2015,2.660,2.680,2.610,2.640,1375941,3630559.420,1620
SGH,16/11/2015,2.600,2.850,2.590,2.800,1916141,5199295.280,2184
SGH,17/11/2015,2.850,3.030,2.850,3.000,4350608,12936874.258,2948
SGH,18/11/2015,3.010,3.240,3.000,3.170,8510201,26344259.420,5026
SGH,19/11/2015,3.260,3.315,3.030,3.050,6609392,20644856.275,4972
SGH,20/11/2015,3.080,3.115,2.630,2.680,9099305,25309751.450,5488
SGH,23/11/2015,2.650,2.650,2.150,2.150,17276508,40644582.245,8226
SGH,24/11/2015,1.980,2.100,1.935,2.000,13066800,26451776.055,5611
SGH,25/11/2015,2.040,2.040,1.905,1.935,6415429,12519696.697,4095
SGH,26/11/2015,1.920,1.935,0.895,0.940,77023168,90419328.304,29351
SGH,27/11/2015,0.960,1.010,0.595,0.690,105624854,78813082.226,18305
SGH,30/11/2015,0.860,0.990,0.860,0.925,48841683,45281756.255,9957
SGH,01/12/2015,0.990,1.200,0.955,1.185,50394651,55450329.990,9540
SGH,02/12/2015,1.250,1.445,1.115,1.265,50197772,65992390.244,9883
SGH,03/12/2015,1.210,1.325,1.160,1.185,10707769,13156585.140,3741
SGH,04/12/2015,1.125,1.190,1.110,1.130,11465080,13082371.850,3726
SGH,07/12/2015,1.200,1.240,1.105,1.110,7035652,8081872.823,2366
SGH,08/12/2015,1.085,1.085,0.965,0.970,9598627,9761718.395,3191
SGH,09/12/2015,0.955,1.095,0.880,1.045,18038324,18180670.168,6210
SGH,10/12/2015,1.035,1.045,1.000,1.000,5252784,5335630.791,2365
SGH,11/12/2015,1.010,1.045,0.985,1.000,4488210,4541373.790,1460
SGH,14/12/2015,1.010,1.040,0.990,1.035,4085823,4185216.934,1505
SGH,15/12/2015,1.055,1.130,1.035,1.045,9956424,10760034.886,2426
SGH,16/12/2015,1.080,1.095,1.050,1.075,6069592,6511861.700,1369
SGH,17/12/2015,0.880,0.970,0.815,0.890,20594555,18627470.553,4826
SGH,18/12/2015,0.850,0.875,0.795,0.830,17974326,14926627.984,3128
SGH,21/12/2015,0.800,0.910,0.755,0.895,13046663,10889658.827,2795
SGH,22/12/2015,0.950,1.010,0.940,0.980,10456012,10224438.065,2768
SGH,23/12/2015,0.990,1.000,0.895,0.915,7475097,6992599.951,2019
SGH,24/12/2015,0.920,0.930,0.885,0.895,2259333,2036529.416,775
SGH,29/12/2015,0.895,0.915,0.860,0.880,2673594,2351620.326,1226
SGH,30/12/2015,0.885,0.890,0.845,0.860,2460545,2115464.280,1105
SGH,31/12/2015,0.855,0.860,0.800,0.825,2865249,2362895.832,823
SGH,04/01/2016,0.820,0.855,0.810,0.840,2170541,1805802.677,898
SGH,05/01/2016,0.830,0.835,0.805,0.810,3100319,2532986.276,1235
SGH,06/01/2016,0.805,0.805,0.735,0.755,5284477,4025271.912,1732
SGH,07/01/2016,0.750,0.755,0.705,0.725,2727673,1995220.587,1698
SGH,08/01/2016,0.675,0.715,0.655,0.690,6740030,4642639.259,1881
SGH,11/01/2016,0.685,0.755,0.680,0.735,4128220,2974255.074,1465
SGH,12/01/2016,0.745,0.770,0.705,0.710,3333572,2427550.404,1239
SGH,13/01/2016,0.710,0.710,0.660,0.670,4019373,2733394.385,1702
SGH,14/01/2016,0.660,0.665,0.635,0.645,3681029,2400216.233,1174
SGH,15/01/2016,0.660,0.670,0.630,0.630,2853299,1862774.583,1671
SGH,18/01/2016,0.615,0.660,0.610,0.635,3738217,2367189.603,1569
SGH,19/01/2016,0.645,0.645,0.620,0.625,1488911,938710.325,751
SGH,20/01/2016,0.625,0.630,0.560,0.565,6007640,3535819.973,1692
SGH,21/01/2016,0.555,0.567,0.535,0.540,5425938,2974613.271,1671
SGH,22/01/2016,0.545,0.605,0.545,0.590,4114238,2379766.685,1509
SGH,25/01/2016,0.610,0.732,0.600,0.700,11822987,8048295.145,3021
SGH,27/01/2016,0.745,0.780,0.720,0.735,6783010,5070478.713,1812
SGH,28/01/2016,0.630,0.660,0.615,0.630,7480387,4755777.688,1322
SGH,29/01/2016,0.640,0.650,0.595,0.600,4735345,2906498.730,1069
SGH,01/02/2016,0.575,0.585,0.545,0.575,5230076,2968453.350,1456
SGH,02/02/2016,0.560,0.580,0.555,0.560,2055208,1165643.717,1049
SGH,03/02/2016,0.550,0.585,0.550,0.560,3141185,1769488.603,1314
SGH,04/02/2016,0.575,0.575,0.555,0.575,2256429,1280849.638,1328
SGH,05/02/2016,0.570,0.600,0.565,0.590,1973437,1142032.570,961
SGH,08/02/2016,0.590,0.635,0.585,0.635,2453886,1527387.808,673
SGH,09/02/2016,0.630,0.635,0.595,0.595,1668081,1013874.119,837
SGH,10/02/2016,0.605,0.610,0.575,0.590,2069202,1234788.611,782
SGH,11/02/2016,0.575,0.600,0.570,0.590,1573668,923108.156,443
SGH,12/02/2016,0.580,0.610,0.575,0.610,2417484,1445621.157,535
SGH,15/02/2016,0.620,0.630,0.595,0.615,1240809,761089.789,664
SGH,16/02/2016,0.610,0.635,0.605,0.605,1542502,955009.453,549
SGH,17/02/2016,0.615,0.640,0.615,0.630,3101452,1959759.478,718
SGH,18/02/2016,0.650,0.725,0.640,0.720,4252637,2942197.628,1198
SGH,19/02/2016,0.715,0.720,0.665,0.685,4099489,2831096.575,1319
SGH,22/02/2016,0.710,0.790,0.695,0.785,3725759,2789784.462,1061
SGH,23/02/2016,0.830,0.885,0.800,0.830,7562792,6381720.212,1861
SGH,24/02/2016,0.000,0.000,0.000,0.830,0,0.000,0
SGH,25/02/2016,0.000,0.000,0.000,0.830,0,0.000,0
SGH,26/02/2016,0.000,0.000,0.000,0.830,0,0.000,0
SGH,29/02/2016,0.530,0.735,0.470,0.580,28947240,17891878.308,4734
SGH,01/03/2016,0.510,0.540,0.315,0.315,45273674,18924043.221,5853
SGH,02/03/2016,0.310,0.360,0.227,0.260,43635308,12408746.427,4987
SGH,03/03/2016,0.290,0.355,0.270,0.330,26149759,8253789.730,2662
SGH,04/03/2016,0.340,0.395,0.340,0.370,29008694,10848127.830,2730
SGH,07/03/2016,0.410,0.430,0.372,0.390,16503641,6716789.631,1413
SGH,08/03/2016,0.380,0.380,0.350,0.365,6287491,2277060.095,909
SGH,09/03/2016,0.365,0.390,0.345,0.385,7178045,2684720.257,931
SGH,10/03/2016,0.390,0.395,0.360,0.360,3038531,1127984.583,729
SGH,11/03/2016,0.355,0.355,0.335,0.345,5134299,1771855.028,835
SGH,14/03/2016,0.345,0.345,0.310,0.315,5611897,1814545.867,1002
SGH,15/03/2016,0.315,0.325,0.295,0.300,4484413,1380975.621,869
SGH,16/03/2016,0.305,0.305,0.270,0.290,7442135,2133803.528,1199
SGH,17/03/2016,0.295,0.305,0.270,0.275,5715906,1609025.550,893
SGH,18/03/2016,0.275,0.290,0.270,0.275,13031789,3618508.838,1062
SGH,21/03/2016,0.285,0.315,0.285,0.285,9033212,2704167.394,1124
SGH,22/03/2016,0.290,0.305,0.265,0.270,9457151,2631801.324,965
SGH,23/03/2016,0.275,0.280,0.260,0.260,5120232,1358350.562,630
SGH,24/03/2016,0.260,0.265,0.250,0.250,3162714,811565.716,629
SGH,29/03/2016,0.250,0.250,0.230,0.235,4695353,1126799.669,1005
SGH,30/03/2016,0.240,0.250,0.235,0.235,3606614,866921.718,834
SGH,31/03/2016,0.235,0.270,0.235,0.260,4507788,1145915.969,708
SGH,01/04/2016,0.255,0.265,0.250,0.265,1939064,498704.331,473
SGH,04/04/2016,0.260,0.260,0.240,0.240,1599274,397839.494,1261
SGH,05/04/2016,0.250,0.255,0.240,0.245,935021,231217.446,325
SGH,06/04/2016,0.245,0.255,0.240,0.245,1567861,389554.150,504
SGH,07/04/2016,0.250,0.260,0.245,0.250,2429532,612663.793,535
SGH,08/04/2016,0.250,0.250,0.245,0.245,1888124,464625.805,819
SGH,11/04/2016,0.245,0.245,0.210,0.220,8786677,1973165.172,889
SGH,12/04/2016,0.220,0.225,0.205,0.215,3711909,802749.236,455
SGH,13/04/2016,0.220,0.240,0.220,0.230,2883203,668636.907,366
SGH,14/04/2016,0.235,0.245,0.230,0.240,1294700,306732.023,305
SGH,15/04/2016,0.250,0.285,0.245,0.275,7523380,2026446.923,889
SGH,18/04/2016,0.285,0.285,0.260,0.260,3662189,998072.009,551
SGH,19/04/2016,0.260,0.270,0.250,0.250,2700869,702118.662,525
SGH,20/04/2016,0.270,0.285,0.260,0.270,3870378,1057402.150,528
SGH,21/04/2016,0.280,0.285,0.265,0.275,3149191,863120.272,464
SGH,22/04/2016,0.270,0.275,0.260,0.265,2456460,654265.939,419
SGH,26/04/2016,0.275,0.310,0.275,0.305,10067819,2999234.798,1176
SGH,27/04/2016,0.315,0.350,0.310,0.330,13472232,4428704.371,1148
SGH,28/04/2016,0.340,0.350,0.305,0.320,6205804,2035137.243,639
SGH,29/04/2016,0.320,0.320,0.290,0.295,3473996,1044748.553,586
SGH,02/05/2016,0.500,0.680,0.500,0.590,58352793,33633319.862,5515
SGH,03/05/2016,0.550,0.580,0.485,0.485,18546810,9781350.591,2337
SGH,04/05/2016,0.470,0.520,0.465,0.480,8343447,4087562.539,1256
SGH,05/05/2016,0.500,0.505,0.475,0.480,3426140,1678918.416,445
SGH,06/05/2016,0.480,0.490,0.460,0.460,3180125,1495698.631,688
SGH,09/05/2016,0.460,0.475,0.410,0.415,6296157,2743649.346,1047
SGH,10/05/2016,0.400,0.425,0.385,0.415,7175656,2878406.396,917
SGH,11/05/2016,0.415,0.440,0.410,0.415,4808168,2039269.517,575
SGH,12/05/2016,0.410,0.415,0.400,0.405,2359307,958731.650,584
SGH,13/05/2016,0.405,0.420,0.375,0.385,5342181,2115640.979,771
SGH,16/05/2016,0.380,0.380,0.345,0.350,7466814,2695028.995,966
SGH,17/05/2016,0.350,0.390,0.340,0.375,6707829,2466123.116,712
SGH,18/05/2016,0.385,0.415,0.370,0.375,7395441,2920364.099,859
SGH,19/05/2016,0.395,0.395,0.380,0.395,3194639,1243133.783,428
SGH,20/05/2016,0.395,0.470,0.390,0.460,11955291,5209918.794,1010
SGH,23/05/2016,0.500,0.540,0.480,0.530,17522520,8982722.078,2042
SGH,24/05/2016,0.515,0.525,0.455,0.455,8036089,3985890.648,1073
SGH,25/05/2016,0.480,0.505,0.460,0.480,9099701,4387076.636,1052
SGH,26/05/2016,0.490,0.505,0.475,0.475,5185905,2553455.425,582
SGH,27/05/2016,0.485,0.520,0.482,0.490,7375275,3714784.987,737
SGH,30/05/2016,0.500,0.500,0.470,0.480,3172595,1541711.667,443
SGH,31/05/2016,0.475,0.485,0.460,0.460,6713270,3124992.570,1386
SGH,01/06/2016,0.450,0.460,0.440,0.445,3147017,1412377.080,595
SGH,02/06/2016,0.445,0.445,0.430,0.435,2308654,1010446.567,498
SGH,03/06/2016,0.440,0.470,0.440,0.455,3169215,1449774.455,591
SGH,06/06/2016,0.460,0.470,0.445,0.445,2155136,986126.772,553
SGH,07/06/2016,0.450,0.455,0.425,0.425,2527259,1107668.704,465
SGH,08/06/2016,0.430,0.450,0.420,0.430,2454542,1068636.438,588
SGH,09/06/2016,0.430,0.445,0.430,0.435,1680845,734094.028,469
SGH,10/06/2016,0.440,0.445,0.425,0.430,1939756,841934.047,620
SGH,14/06/2016,0.435,0.435,0.405,0.405,2609371,1089677.133,754
SGH,15/06/2016,0.410,0.415,0.365,0.375,4900900,1890655.984,1013
SGH,16/06/2016,0.375,0.390,0.370,0.390,2484618,948652.523,817
SGH,17/06/2016,0.395,0.400,0.375,0.385,5516386,2124541.446,654
SGH,20/06/2016,0.385,0.410,0.375,0.410,2578280,1021601.402,547
SGH,21/06/2016,0.420,0.440,0.410,0.420,3516453,1489877.536,686
SGH,22/06/2016,0.425,0.425,0.385,0.400,3928510,1593039.365,626
SGH,23/06/2016,0.395,0.415,0.390,0.410,2176903,878367.685,635
SGH,24/06/2016,0.420,0.425,0.370,0.375,5120176,1987144.133,936
SGH,27/06/2016,0.375,0.385,0.365,0.375,2060803,776966.824,513
SGH,28/06/2016,0.380,0.380,0.365,0.375,1537406,575063.660,399
SGH,29/06/2016,0.385,0.390,0.380,0.380,1760115,678711.733,381
SGH,30/06/2016,0.385,0.405,0.385,0.390,3579447,1410992.131,531
SGH,01/07/2016,0.400,0.420,0.400,0.410,4127578,1702253.386,570
SGH,04/07/2016,0.405,0.415,0.390,0.410,2486635,1000346.941,398
SGH,05/07/2016,0.410,0.420,0.405,0.405,948069,390935.687,318
SGH,06/07/2016,0.405,0.410,0.400,0.405,1195095,483744.358,282
SGH,07/07/2016,0.400,0.410,0.390,0.395,1678947,665958.460,338
SGH,08/07/2016,0.400,0.400,0.385,0.395,1823353,710894.534,333
SGH,11/07/2016,0.400,0.405,0.392,0.400,1761102,703506.945,402
SGH,12/07/2016,0.400,0.420,0.390,0.395,6208899,2514672.423,989
SGH,13/07/2016,0.400,0.405,0.395,0.400,2030807,812780.648,460
SGH,14/07/2016,0.405,0.405,0.390,0.400,1427825,569057.014,316
SGH,15/07/2016,0.405,0.405,0.400,0.400,1017662,409704.233,240
SGH,18/07/2016,0.400,0.402,0.395,0.395,959447,381622.090,192
SGH,19/07/2016,0.395,0.405,0.390,0.400,2024955,803919.099,564
SGH,20/07/2016,0.400,0.405,0.390,0.400,873351,346736.533,211
SGH,21/07/2016,0.400,0.405,0.390,0.400,1651685,657290.690,224
SGH,22/07/2016,0.400,0.405,0.395,0.395,408466,161971.741,207
SGH,25/07/2016,0.395,0.400,0.390,0.400,801042,317021.708,177
SGH,26/07/2016,0.395,0.400,0.395,0.395,639091,254198.076,211
SGH,27/07/2016,0.395,0.400,0.395,0.395,764457,303990.798,191
SGH,28/07/2016,0.400,0.445,0.397,0.410,8494908,3531222.629,713
SGH,29/07/2016,0.415,0.415,0.405,0.405,1008664,412252.969,281
SGH,01/08/2016,0.415,0.420,0.410,0.410,928711,386209.129,149
SGH,02/08/2016,0.415,0.420,0.410,0.410,1144972,475354.278,248
SGH,03/08/2016,0.415,0.415,0.405,0.405,840543,342069.286,198
SGH,04/08/2016,0.410,0.415,0.410,0.410,960176,397952.155,187
SGH,05/08/2016,0.410,0.420,0.410,0.420,453038,188812.028,201
SGH,08/08/2016,0.425,0.440,0.422,0.430,2467197,1066662.195,315
SGH,09/08/2016,0.435,0.495,0.435,0.470,8078360,3809695.617,778
SGH,10/08/2016,0.495,0.515,0.482,0.485,7338723,3663448.111,807
SGH,11/08/2016,0.480,0.490,0.460,0.475,4953431,2351876.996,506
SGH,12/08/2016,0.480,0.490,0.470,0.490,2514983,1219475.100,461
SGH,15/08/2016,0.490,0.490,0.460,0.460,2650684,1259828.587,429
SGH,16/08/2016,0.460,0.475,0.455,0.455,1777789,819869.571,362
