Code,Date,Open,High,Low,Close,Volume,Value,Trades
REA,11/06/2015,38.5,39.99,38.1,38.4,653969,25347759.87,11714
REA,12/06/2015,38.5,38.73,38.25,38.36,577141,22183957.23,9696
REA,15/06/2015,38.4,38.4,37.46,37.8,566467,21422957.09,7700
REA,16/06/2015,37.85,37.89,37.33,37.4,411100,15474901.88,6340
REA,17/06/2015,38.11,39.12,38.11,38.65,613024,23728595.27,9858
REA,18/06/2015,38.36,38.47,38,38.28,473811,18132597.26,8588
REA,19/06/2015,38.71,39.58,38.7,39.55,512023,20169391.24,8376
REA,22/06/2015,39.68,39.9,38.96,39.26,343435,13505137.72,6948
REA,23/06/2015,39.85,40.35,39.82,40.3,368058,14773886.1,7745
REA,24/06/2015,40.46,40.46,40.01,40.15,351783,14139941.47,7164
REA,25/06/2015,40.11,40.67,40.01,40.5,475245,19206609.85,8653
REA,26/06/2015,40.28,40.49,39.76,40.32,480017,19297469.59,8379
REA,29/06/2015,39.9,39.9,38.55,39.19,408116,15978286.31,9439
REA,30/06/2015,38.79,39.44,38.33,39.21,423923,16540307.2,8585
REA,1/07/2015,39.24,39.63,38.82,39.55,348488,13690797.7,7045
REA,2/07/2015,39.8,39.89,39.21,39.64,384444,15211402.05,9435
REA,3/07/2015,39.4,39.71,38.75,39.41,324215,12738247.21,7393
REA,6/07/2015,39.37,39.72,38.78,39.15,293757,11517964.56,7016
REA,7/07/2015,39.41,40.63,39.41,40.63,459812,18465202.74,7597
REA,8/07/2015,40.87,41.84,40.81,41.28,490413,20286112.81,8557
REA,9/07/2015,40.96,41.28,40.11,41.14,369948,15098282.81,9742
REA,10/07/2015,41.29,41.7,40.93,40.99,394373,16279584.56,6615
REA,13/07/2015,40.1,41.01,39.545,40.95,286806,11621999.54,7734
REA,14/07/2015,41.5,41.79,41.21,41.74,226147,9398999.145,5093
REA,15/07/2015,41.81,42.23,41.81,42.05,266487,11210076.97,6579
REA,16/07/2015,46.31,46.79,41.89,42.09,913277,40056351.57,10455
REA,17/07/2015,42.48,42.99,41.91,42.69,281078,11945277.67,7242
REA,20/07/2015,42.9,44.39,42.71,44.06,372184,16269869.66,7126
