Code,Date,Open,High,Low,Close,Volume,Value,Trades
STO,11/06/2015,8.170,8.280,8.160,8.270,4950411,40859274.595,5348
STO,12/06/2015,8.270,8.350,8.170,8.340,4852975,40147885.724,5434
STO,15/06/2015,8.220,8.235,8.090,8.120,3717851,30298387.340,4152
STO,16/06/2015,8.100,8.110,7.960,7.990,3035839,24414800.420,4334
STO,17/06/2015,8.050,8.170,7.950,8.160,3854362,31146342.390,5166
STO,18/06/2015,8.190,8.325,8.125,8.310,9190421,75937425.090,6874
STO,19/06/2015,8.350,8.440,8.245,8.360,7340127,61373637.378,6253
STO,22/06/2015,8.280,8.280,8.120,8.240,2755391,22628034.685,4298
STO,23/06/2015,8.300,8.390,8.210,8.350,4947275,41277531.400,5975
STO,24/06/2015,8.390,8.450,8.350,8.390,3894747,32694249.040,4808
STO,25/06/2015,8.320,8.350,8.210,8.220,3609158,29809446.475,3970
STO,26/06/2015,8.150,8.190,8.020,8.050,9045473,79695803.365,4967
STO,29/06/2015,7.980,7.980,7.860,7.940,4416237,34967528.725,5901
STO,30/06/2015,7.820,7.980,7.800,7.830,5709400,44783796.440,7555
STO,01/07/2015,7.900,8.070,7.880,8.040,3769606,30092974.150,5683
STO,02/07/2015,8.000,8.310,7.980,8.270,6166837,50409060.630,6081
STO,03/07/2015,8.200,8.200,7.960,8.010,5471946,43886345.530,6498
STO,06/07/2015,7.870,7.885,7.715,7.740,3570828,27853804.680,4225
STO,07/07/2015,7.450,7.700,7.450,7.700,6174810,46896044.705,8520
STO,08/07/2015,7.600,7.640,7.400,7.450,6497694,48693266.315,6501
STO,09/07/2015,7.340,7.510,7.210,7.480,5400191,39904611.900,7110
STO,10/07/2015,7.650,7.700,7.570,7.620,4041922,30839182.595,4740
STO,13/07/2015,7.580,7.580,7.440,7.480,3250012,24395588.625,4459
STO,14/07/2015,7.420,7.640,7.420,7.610,3499267,26524357.095,4302
STO,15/07/2015,7.690,7.850,7.675,7.830,3183327,24732760.087,4219
STO,16/07/2015,7.810,7.820,7.660,7.720,2875775,22242810.600,4236
STO,17/07/2015,7.720,7.770,7.570,7.660,3217024,24644241.105,4735
STO,20/07/2015,7.660,7.660,7.460,7.540,3522310,26531605.445,4238
STO,21/07/2015,7.520,7.530,7.440,7.470,3266626,24454580.320,4501
STO,22/07/2015,7.460,7.500,7.250,7.250,4723802,34810411.600,4502
STO,23/07/2015,7.180,7.180,7.060,7.110,5457342,38879224.205,4903
STO,24/07/2015,7.070,7.180,7.070,7.160,3874754,27635674.528,4551
STO,27/07/2015,7.100,7.150,7.050,7.090,3670621,25975706.460,4337
STO,28/07/2015,7.020,7.190,6.930,7.130,6982940,49285287.652,6056
STO,29/07/2015,7.240,7.260,7.130,7.130,4625705,33400576.995,6130
STO,30/07/2015,7.210,7.450,7.210,7.430,8446296,62417837.085,5996
STO,31/07/2015,7.440,7.440,7.350,7.400,6097163,46672477.540,4658
STO,03/08/2015,7.330,7.390,7.290,7.340,3853894,28301279.840,3951
STO,04/08/2015,7.170,7.230,7.130,7.150,5820394,41795576.171,5111
STO,05/08/2015,7.110,7.150,7.025,7.080,5294839,37435878.845,5744
STO,06/08/2015,7.020,7.060,6.880,6.900,8460702,58731264.595,5332
STO,07/08/2015,6.850,6.910,6.760,6.760,7114119,48446860.690,5237
STO,10/08/2015,6.810,6.870,6.710,6.710,4626178,31259939.730,4579
STO,11/08/2015,6.870,6.900,6.790,6.800,4583015,31241367.485,4518
STO,12/08/2015,6.760,6.790,6.450,6.470,8589841,56540039.512,7556
STO,13/08/2015,6.510,6.700,6.510,6.580,6935465,45886536.905,5550
STO,14/08/2015,6.520,6.550,5.930,5.990,21391305,131993526.149,12885
STO,17/08/2015,6.230,6.260,5.960,5.980,10447310,63081575.285,8796
STO,18/08/2015,6.000,6.010,5.820,5.840,7901305,46469240.915,6453
STO,19/08/2015,5.910,6.040,5.900,6.040,9650530,57816941.315,5325
STO,20/08/2015,5.860,5.870,5.600,5.610,9669857,55149341.415,7183
STO,21/08/2015,5.560,5.900,5.180,5.600,17744114,99172043.070,12634
STO,24/08/2015,5.420,5.420,4.970,4.970,16323201,84091688.670,11477
STO,25/08/2015,4.720,5.070,4.710,4.950,18333864,90199653.050,12521
STO,26/08/2015,4.900,5.150,4.810,5.130,14551402,72828630.260,10081
STO,27/08/2015,5.300,5.350,4.980,5.020,11327832,59392408.300,8091
STO,28/08/2015,5.490,5.580,5.200,5.300,18348413,100893207.698,12549
STO,31/08/2015,5.330,5.400,5.070,5.130,9621512,50595923.248,8740
STO,01/09/2015,5.330,5.340,4.780,4.790,20419299,103966068.745,14286
STO,02/09/2015,4.560,4.810,4.520,4.750,15434143,72639909.085,10238
STO,03/09/2015,4.880,4.880,4.450,4.530,14973001,69125627.375,9334
STO,04/09/2015,4.470,4.550,4.280,4.380,15788279,69395591.635,10757
STO,07/09/2015,4.320,4.340,4.090,4.190,11863532,49641965.615,9376
STO,08/09/2015,4.440,4.725,4.370,4.410,17227186,77934136.315,12628
STO,09/09/2015,4.650,4.750,4.560,4.670,12308430,56992948.995,9060
STO,10/09/2015,4.520,4.530,4.410,4.430,12352406,55228048.170,8173
STO,11/09/2015,4.470,4.520,4.340,4.460,14107882,63035297.860,7508
STO,14/09/2015,4.530,4.560,4.370,4.510,13889256,62073748.900,7542
STO,15/09/2015,4.470,4.680,4.420,4.650,11935324,55646009.180,7471
STO,16/09/2015,4.730,4.920,4.640,4.900,14179438,69054876.945,10612
STO,17/09/2015,5.120,5.190,4.995,5.000,10025817,50987067.290,6058
STO,18/09/2015,5.020,5.060,4.750,4.750,10956200,53246900.189,7110
STO,21/09/2015,4.620,4.790,4.560,4.780,6069806,28698002.735,6188
STO,22/09/2015,4.920,5.000,4.870,4.990,6995939,34597261.760,5084
STO,23/09/2015,4.870,5.020,4.830,4.850,9946950,49207532.790,7287
STO,24/09/2015,4.950,4.990,4.750,4.820,8782139,42768239.040,6199
STO,25/09/2015,4.890,4.890,4.650,4.650,12878612,73142016.063,5260
STO,28/09/2015,4.680,4.710,4.570,4.710,5992641,27952124.110,4562
STO,29/09/2015,4.510,4.530,4.280,4.280,14223616,62051715.040,9230
STO,30/09/2015,4.200,4.230,3.950,3.980,28485972,114815110.600,11618
STO,01/10/2015,4.050,4.220,3.990,4.170,15456825,63974109.270,8233
STO,02/10/2015,4.180,4.290,4.080,4.190,6667250,28142897.195,5668
STO,05/10/2015,4.250,4.440,4.210,4.430,4395669,19191200.335,3609
STO,06/10/2015,4.530,4.570,4.490,4.530,6685101,30300492.805,4769
STO,07/10/2015,4.670,5.100,4.670,5.070,13450871,66416356.570,8729
STO,08/10/2015,5.210,5.520,5.140,5.500,20554126,110037120.580,12189
STO,09/10/2015,5.730,5.990,5.650,5.970,18599635,108634008.110,12947
STO,12/10/2015,5.980,5.980,5.710,5.930,9612622,56298309.840,9091
STO,13/10/2015,5.630,5.780,5.520,5.560,11947140,67103099.265,10597
STO,14/10/2015,5.430,5.430,5.100,5.180,12716100,66730323.315,8019
STO,15/10/2015,5.060,5.440,5.050,5.340,9433414,49865992.690,8322
STO,16/10/2015,5.550,5.600,5.430,5.540,7700520,42634203.820,6476
STO,19/10/2015,5.640,5.660,5.450,5.460,4994382,27520367.405,4143
STO,20/10/2015,5.340,5.350,5.175,5.290,5452496,28628093.560,4157
STO,21/10/2015,5.240,5.470,5.230,5.440,5589298,30122182.300,4028
STO,22/10/2015,6.350,6.560,6.110,6.320,23139709,146839111.655,19831
STO,23/10/2015,6.510,6.540,6.360,6.460,11759170,75816649.729,9654
STO,26/10/2015,6.510,6.530,6.400,6.420,5442680,35096882.110,6175
STO,27/10/2015,6.350,6.440,6.160,6.340,8247217,52573108.986,8517
STO,28/10/2015,6.230,6.270,6.050,6.060,7301832,44881217.072,6633
STO,29/10/2015,6.240,6.330,5.960,5.980,5463800,33394463.018,5643
STO,30/10/2015,5.900,6.060,5.795,5.840,9558159,56354360.725,6431
STO,02/11/2015,5.900,6.110,5.900,5.950,5421956,32532562.580,5625
STO,03/11/2015,6.030,6.280,5.940,6.210,5649953,34798881.220,5350
STO,04/11/2015,6.340,6.340,5.960,5.990,6971785,42582864.225,6104
STO,05/11/2015,6.000,6.100,5.900,6.010,5457601,32763764.130,6243
STO,06/11/2015,5.920,5.960,5.825,5.910,4530964,26699961.115,4730
STO,09/11/2015,0.000,0.000,0.000,5.910,0,0.000,0
STO,10/11/2015,0.000,0.000,0.000,5.910,0,0.000,0
STO,11/11/2015,0.000,0.000,0.000,5.910,0,0.000,0
STO,12/11/2015,4.380,4.550,4.200,4.300,51994791,225882782.116,23392
STO,13/11/2015,3.910,4.060,3.800,3.970,29259746,115841181.995,13505
STO,16/11/2015,3.890,4.180,3.840,4.130,16564831,67252314.675,10749
STO,17/11/2015,4.220,4.340,4.200,4.340,13523217,57661884.830,8513
STO,18/11/2015,4.290,4.430,4.240,4.410,17008903,74390401.615,7849
STO,19/11/2015,4.440,4.440,4.280,4.330,13303645,57626397.740,6627
STO,20/11/2015,4.220,4.240,4.100,4.140,22923506,96470612.089,6876
STO,23/11/2015,4.040,4.080,3.970,4.000,24046837,96507348.610,9646
STO,24/11/2015,4.030,4.100,4.000,4.030,13352151,54209020.720,5432
STO,25/11/2015,4.100,4.250,4.040,4.170,11763916,48882647.460,5578
STO,26/11/2015,4.130,4.215,4.030,4.030,9448837,38757259.400,5290
STO,27/11/2015,4.040,4.100,4.010,4.030,16136461,68493376.235,5426
STO,30/11/2015,4.000,4.080,3.900,4.010,21696058,86514303.565,5677
STO,01/12/2015,4.000,4.090,3.950,4.060,14273643,57772919.705,7088
STO,02/12/2015,0.000,0.000,0.000,4.060,85542,702337.980,17
STO,03/12/2015,3.960,4.160,3.950,4.130,15153788,61869081.580,9664
STO,04/12/2015,4.150,4.260,4.140,4.230,20368775,85861540.060,8015
STO,07/12/2015,4.200,4.200,3.800,3.810,23489271,91900468.645,9525
STO,08/12/2015,3.530,3.570,3.240,3.310,34627119,117594710.765,16893
STO,09/12/2015,3.340,3.520,3.320,3.500,21863015,76051318.525,7249
STO,10/12/2015,3.540,3.590,3.450,3.520,14380533,50523672.470,6422
STO,11/12/2015,3.490,3.540,3.480,3.510,17464139,61346169.490,5852
STO,14/12/2015,3.390,3.450,3.320,3.340,12400480,41768401.045,6172
STO,15/12/2015,3.380,3.390,3.230,3.280,10443762,34697578.650,5675
STO,16/12/2015,3.400,3.500,3.310,3.450,12240974,43369428.899,6635
STO,17/12/2015,3.330,3.560,3.330,3.480,15773979,54723756.949,7316
STO,18/12/2015,3.400,3.575,3.390,3.460,16393669,69311669.599,6048
STO,21/12/2015,3.430,3.610,3.420,3.600,9775788,34826497.585,5376
STO,22/12/2015,3.620,3.730,3.610,3.710,9566825,35362097.480,5772
STO,23/12/2015,3.740,3.780,3.610,3.700,7896391,29083537.680,5210
STO,24/12/2015,3.820,3.840,3.770,3.800,5065627,19283937.945,3940
STO,29/12/2015,3.750,3.810,3.720,3.790,5815063,21889367.030,3989
STO,30/12/2015,3.870,3.870,3.770,3.780,5003475,19018377.265,4778
STO,31/12/2015,3.770,3.770,3.650,3.680,3823871,14126682.630,2290
STO,04/01/2016,3.720,3.900,3.700,3.830,7504272,28829752.360,5030
STO,05/01/2016,3.780,3.810,3.700,3.740,5668882,21193005.525,5188
STO,06/01/2016,3.730,3.730,3.490,3.510,8920217,31770282.325,5656
STO,07/01/2016,3.370,3.430,3.220,3.250,14775334,48823585.915,6361
STO,08/01/2016,3.200,3.420,3.200,3.380,11900837,39489387.615,6819
STO,11/01/2016,3.280,3.310,3.130,3.210,11469736,36739263.771,6504
STO,12/01/2016,3.120,3.140,2.940,2.950,13524482,40888061.610,6910
STO,13/01/2016,2.960,3.140,2.890,3.110,11727914,35821983.152,7896
STO,14/01/2016,2.920,2.945,2.840,2.860,11678386,33725385.545,5929
