Code,Date,Open,High,Low,Close,Volume,Value,Trades
TWE,11/06/2015,5.060,5.220,5.060,5.220,1705881,8801320.095,2683
TWE,12/06/2015,5.200,5.250,5.140,5.160,1530937,7945416.480,2360
TWE,15/06/2015,5.100,5.210,5.060,5.190,2299360,11833240.355,2172
TWE,16/06/2015,5.140,5.150,5.000,5.050,3284853,16626735.845,3299
TWE,17/06/2015,5.100,5.100,4.990,5.000,1401723,7038719.270,1655
TWE,18/06/2015,4.970,5.000,4.870,4.920,3848617,18996408.350,3221
TWE,19/06/2015,5.070,5.140,4.990,5.110,2753668,14039862.860,2711
TWE,22/06/2015,5.160,5.160,5.035,5.110,911818,4649444.800,1631
TWE,23/06/2015,5.210,5.260,5.190,5.230,1585961,8282531.495,3043
TWE,24/06/2015,5.220,5.310,5.180,5.300,1887914,9959679.065,2186
TWE,25/06/2015,5.310,5.310,5.160,5.210,3006417,15661817.450,2718
TWE,26/06/2015,5.120,5.160,5.050,5.060,2135072,10871064.150,2734
TWE,29/06/2015,5.000,5.020,4.960,4.980,2307135,11505482.870,3158
TWE,30/06/2015,4.930,5.010,4.910,4.990,2576206,12822722.360,2988
TWE,01/07/2015,5.040,5.090,5.000,5.030,2747108,13823880.550,3084
TWE,02/07/2015,5.060,5.200,5.020,5.190,1935904,9953719.510,2984
TWE,03/07/2015,5.140,5.210,5.090,5.210,1375060,7107966.935,2232
TWE,06/07/2015,5.070,5.170,5.060,5.120,1309206,6699494.865,2307
TWE,07/07/2015,5.120,5.240,5.120,5.220,1796665,9356782.830,3416
TWE,08/07/2015,5.110,5.180,5.015,5.050,2496179,12668449.715,2714
TWE,09/07/2015,5.000,5.115,4.935,5.070,1397188,7040452.405,2597
TWE,10/07/2015,5.150,5.200,5.110,5.170,2610684,13475472.155,1897
TWE,13/07/2015,5.100,5.190,5.100,5.140,1177876,6088053.325,1434
TWE,14/07/2015,5.200,5.310,5.190,5.310,1983457,10446466.830,2516
TWE,15/07/2015,5.320,5.440,5.320,5.360,2244820,12043005.698,2568
TWE,16/07/2015,5.430,5.465,5.330,5.330,2154038,11580765.845,2636
TWE,17/07/2015,5.380,5.460,5.340,5.400,977719,5280479.915,1807
TWE,20/07/2015,5.430,5.560,5.390,5.530,1936578,10676228.885,2757
TWE,21/07/2015,5.570,5.690,5.570,5.590,2769867,15564427.820,3298
TWE,22/07/2015,5.560,5.570,5.470,5.530,2284173,12589117.770,2128
TWE,23/07/2015,5.480,5.610,5.480,5.540,2993859,16695228.095,2620
TWE,24/07/2015,5.530,5.590,5.530,5.580,1865878,10396419.100,2427
TWE,27/07/2015,5.610,5.610,5.550,5.610,1158055,6473884.495,2386
TWE,28/07/2015,5.500,5.650,5.500,5.600,4202864,23468971.450,3442
TWE,29/07/2015,5.700,5.760,5.660,5.670,1555861,8869552.860,2357
TWE,30/07/2015,5.740,5.800,5.680,5.780,985798,5684202.390,1607
TWE,31/07/2015,5.800,5.855,5.745,5.770,1970471,11407815.975,1924
TWE,03/08/2015,5.820,5.820,5.755,5.770,1318379,7611498.370,2263
TWE,04/08/2015,5.700,5.790,5.700,5.740,2100622,12098584.815,3098
TWE,05/08/2015,5.670,5.750,5.625,5.730,3527191,20058634.725,2937
TWE,06/08/2015,5.700,5.790,5.670,5.710,1247288,7153933.620,2778
TWE,07/08/2015,5.600,5.710,5.600,5.670,1391217,7908131.325,2124
TWE,10/08/2015,5.670,5.710,5.620,5.700,1725191,9824367.190,1793
TWE,11/08/2015,5.710,5.720,5.605,5.640,3136125,17776515.700,2379
TWE,12/08/2015,5.690,5.720,5.635,5.640,2518998,14272002.780,2801
TWE,13/08/2015,5.640,5.665,5.560,5.590,2097807,11762984.740,2699
TWE,14/08/2015,5.540,5.630,5.540,5.570,1908769,10648740.240,2839
TWE,17/08/2015,5.560,5.630,5.480,5.490,1872770,10319802.865,2170
TWE,18/08/2015,5.490,5.595,5.450,5.510,2792234,15433327.710,2922
TWE,19/08/2015,6.060,6.440,5.870,6.250,14304315,87556224.725,6555
TWE,20/08/2015,6.260,6.470,6.050,6.050,10312846,63830482.580,8236
TWE,21/08/2015,6.000,6.090,5.940,5.950,8251731,49474322.970,6045
TWE,24/08/2015,5.890,5.920,5.670,5.710,5993107,34551602.440,5788
TWE,25/08/2015,5.640,5.990,5.640,5.930,6821339,39967101.822,6794
TWE,26/08/2015,5.790,5.970,5.790,5.880,3827108,22559512.735,4902
TWE,27/08/2015,6.000,6.010,5.910,5.990,4221832,25198215.975,3237
TWE,28/08/2015,5.990,6.020,5.960,6.000,3776322,22623830.925,3268
TWE,31/08/2015,5.940,5.990,5.920,5.960,3282271,19552282.049,3138
TWE,01/09/2015,5.990,5.995,5.790,5.830,3499092,20506814.300,4616
TWE,02/09/2015,5.800,5.990,5.780,5.990,6813464,40013277.055,5082
TWE,03/09/2015,6.010,6.150,5.980,6.060,5595465,33965459.576,4929
