Code,Date,Open,High,Low,Close,Volume,Value,Trades
VAS,11/06/2015,70.510,70.990,70.510,70.910,18477,1309422.990,101
VAS,12/06/2015,71.220,71.220,70.700,70.820,21064,1492769.190,78
VAS,15/06/2015,70.630,70.740,70.150,70.740,26816,1888698.950,80
VAS,16/06/2015,70.920,71.200,70.610,70.820,28113,1993883.320,102
VAS,17/06/2015,71.200,71.600,71.160,71.520,26981,1926082.420,81
VAS,18/06/2015,71.370,71.550,70.300,70.870,33195,2344726.770,121
VAS,19/06/2015,71.430,71.760,71.220,71.600,22626,1618115.100,85
VAS,22/06/2015,71.650,71.660,71.120,71.600,29284,2091435.510,79
VAS,23/06/2015,72.000,72.630,72.000,72.630,31178,2261037.610,129
VAS,24/06/2015,72.800,72.860,72.530,72.680,32413,2356764.420,90
VAS,25/06/2015,72.640,72.640,72.000,72.000,22844,1648533.660,112
VAS,26/06/2015,72.130,72.130,70.810,70.950,74622,5295449.710,210
VAS,29/06/2015,70.350,70.350,69.300,69.400,86246,6002078.860,271
VAS,30/06/2015,69.270,70.950,69.050,69.990,73612,5113701.580,207
VAS,01/07/2015,69.800,70.300,69.480,70.040,68092,4747066.750,186
VAS,02/07/2015,70.750,71.240,70.250,71.030,52150,3692136.670,112
VAS,03/07/2015,71.190,71.190,69.740,70.220,36534,2567786.490,115
VAS,06/07/2015,69.400,69.630,69.000,69.630,66376,4601012.370,198
VAS,07/07/2015,69.960,70.800,69.770,70.790,23974,1692033.490,79
VAS,08/07/2015,70.360,70.560,69.350,69.500,73862,5153019.060,155
VAS,09/07/2015,69.140,69.670,68.350,69.600,71739,4948444.370,285
VAS,10/07/2015,70.010,70.330,69.680,69.780,34088,2381951.970,79
VAS,13/07/2015,70.000,70.230,69.360,69.680,224795,15614488.226,101
VAS,14/07/2015,70.790,70.930,70.500,70.780,23379,1653212.530,86
VAS,15/07/2015,71.090,71.500,71.050,71.450,52282,3730557.980,101
VAS,16/07/2015,72.390,72.500,71.630,72.000,44165,3176329.150,237
VAS,17/07/2015,72.510,72.510,71.640,71.940,29519,2121858.740,141
VAS,20/07/2015,72.000,72.130,71.650,72.080,30732,2210495.380,175
VAS,21/07/2015,72.110,72.660,72.080,72.460,31566,2282243.740,124
VAS,22/07/2015,72.160,72.210,71.230,71.300,56550,4049918.700,186
VAS,23/07/2015,71.360,71.450,70.870,71.070,23531,1673460.290,102
VAS,24/07/2015,70.810,71.120,70.360,70.750,42179,2981483.610,194
VAS,27/07/2015,70.500,70.810,70.250,70.750,46504,3279040.710,161
VAS,28/07/2015,70.550,71.100,70.200,70.720,52124,3681053.480,174
VAS,29/07/2015,71.450,71.770,71.250,71.370,30067,2149997.310,118
VAS,30/07/2015,71.410,71.960,71.410,71.960,39040,2802853.590,99
VAS,31/07/2015,72.000,72.260,72.000,72.100,36925,2664084.640,122
VAS,03/08/2015,72.490,72.490,71.890,71.950,45618,3284860.910,115
VAS,04/08/2015,72.010,72.600,71.850,72.270,64205,4648727.340,155
VAS,05/08/2015,72.500,72.500,71.500,71.750,40989,2944059.590,190
VAS,06/08/2015,71.900,71.900,70.710,71.060,38960,2778043.890,157
VAS,07/08/2015,70.780,70.780,69.550,69.580,98324,6870689.850,370
VAS,10/08/2015,69.580,69.930,69.240,69.820,349696,24421612.528,145
VAS,11/08/2015,70.110,70.510,69.320,69.520,50206,3499529.400,169
VAS,12/08/2015,69.950,69.950,68.250,68.510,67471,4643232.980,279
VAS,13/08/2015,69.350,69.350,68.550,68.550,48572,3343249.230,163
VAS,14/08/2015,68.790,68.790,68.000,68.410,33892,2319275.720,292
VAS,17/08/2015,68.630,68.870,68.330,68.460,34747,2381309.860,234
VAS,18/08/2015,68.790,68.790,67.600,67.700,61596,4204663.140,151
VAS,19/08/2015,68.240,68.750,67.800,68.750,50380,3451243.120,159
VAS,20/08/2015,67.930,68.180,67.390,67.510,52177,3537448.420,168
VAS,21/08/2015,67.030,67.060,66.110,66.550,112438,7481009.360,311
VAS,24/08/2015,65.300,65.470,63.840,64.080,193013,12469904.490,557
VAS,25/08/2015,62.100,65.900,62.100,65.500,244992,15796861.330,500
VAS,26/08/2015,64.670,66.270,64.020,66.140,99268,6511766.120,251
VAS,27/08/2015,67.350,68.790,66.950,67.070,95309,6398454.050,255
VAS,28/08/2015,68.200,68.200,66.950,67.400,66947,4510305.670,174
