Code,Date,Open,High,Low,Close,Volume,Value,Trades
WCN,11/06/2015,0.007,0.007,0.007,0.007,1520748,10645.236,5
WCN,12/06/2015,0.000,0.000,0.000,0.007,0,0.000,0
WCN,15/06/2015,0.007,0.007,0.007,0.007,3000000,21000.000,6
WCN,16/06/2015,0.007,0.007,0.006,0.007,2095592,13669.144,9
WCN,17/06/2015,0.000,0.000,0.000,0.007,0,0.000,0
WCN,18/06/2015,0.007,0.007,0.006,0.007,506638,3346.466,5
WCN,19/06/2015,0.007,0.008,0.007,0.008,63889,509.723,2
WCN,22/06/2015,0.007,0.007,0.007,0.007,760068,5320.476,3
WCN,23/06/2015,0.007,0.007,0.006,0.007,1500272,9501.904,5
WCN,24/06/2015,0.007,0.007,0.007,0.007,150000,1050.000,2
WCN,25/06/2015,0.006,0.007,0.006,0.007,1860564,12113.384,8
WCN,26/06/2015,0.006,0.006,0.006,0.006,740000,4440.000,6
WCN,29/06/2015,0.006,0.006,0.006,0.006,1130000,6780.000,6
WCN,30/06/2015,0.006,0.006,0.006,0.006,5458606,32751.636,25
WCN,01/07/2015,0.006,0.006,0.006,0.006,840005,5040.030,4
WCN,02/07/2015,0.006,0.007,0.006,0.007,2185357,14975.499,11
WCN,03/07/2015,0.007,0.007,0.007,0.007,280000,1960.000,3
WCN,06/07/2015,0.007,0.007,0.007,0.007,777777,5444.439,3
WCN,07/07/2015,0.007,0.007,0.007,0.007,370000,2590.000,3
WCN,08/07/2015,0.007,0.007,0.006,0.007,2880852,19165.964,13
WCN,09/07/2015,0.007,0.007,0.007,0.007,405242,2836.694,2
WCN,10/07/2015,0.000,0.000,0.000,0.007,0,0.000,0
WCN,13/07/2015,0.008,0.008,0.008,0.008,869758,6958.064,4
WCN,14/07/2015,0.008,0.008,0.007,0.007,637162,4760.134,4
WCN,15/07/2015,0.010,0.010,0.008,0.008,18612713,173700.819,81
WCN,16/07/2015,0.008,0.008,0.008,0.008,400000,3200.000,4
WCN,17/07/2015,0.009,0.010,0.009,0.009,3122338,28156.597,15
WCN,20/07/2015,0.010,0.010,0.010,0.010,2296114,22961.140,11
WCN,21/07/2015,0.010,0.010,0.010,0.010,2198500,21985.000,7
WCN,22/07/2015,0.010,0.010,0.009,0.009,1345000,12940.000,11
WCN,23/07/2015,0.009,0.009,0.009,0.009,650000,5850.000,4
WCN,24/07/2015,0.009,0.009,0.008,0.008,5640232,49536.412,26
WCN,27/07/2015,0.009,0.009,0.008,0.008,2370000,20680.000,13
WCN,28/07/2015,0.008,0.008,0.008,0.008,800000,6400.000,5
WCN,29/07/2015,0.008,0.008,0.008,0.008,1700000,13600.000,7
WCN,30/07/2015,0.008,0.008,0.008,0.008,1154324,9234.592,8
WCN,31/07/2015,0.008,0.008,0.008,0.008,4880568,39044.544,19
WCN,03/08/2015,0.008,0.009,0.008,0.009,850000,6950.000,3
WCN,04/08/2015,0.008,0.008,0.008,0.008,650000,5200.000,2
WCN,05/08/2015,0.009,0.009,0.008,0.008,1100000,9780.000,5
WCN,06/08/2015,0.008,0.008,0.008,0.008,285401,2283.208,1
WCN,07/08/2015,0.008,0.009,0.008,0.008,1340990,10773.420,6
WCN,10/08/2015,0.000,0.000,0.000,0.008,0,0.000,0
WCN,11/08/2015,0.008,0.008,0.008,0.008,150000,1200.000,1
WCN,12/08/2015,0.000,0.000,0.000,0.008,0,0.000,0
WCN,13/08/2015,0.007,0.007,0.007,0.007,1855000,12985.000,6
WCN,14/08/2015,0.007,0.007,0.007,0.007,3823043,26761.301,18
WCN,17/08/2015,0.007,0.007,0.006,0.007,2603671,17225.697,16
WCN,18/08/2015,0.007,0.007,0.007,0.007,605759,4240.313,2
WCN,19/08/2015,0.007,0.008,0.007,0.008,1698641,12286.487,10
WCN,20/08/2015,0.008,0.008,0.007,0.007,2187500,15750.000,14
WCN,21/08/2015,0.007,0.007,0.007,0.007,730000,5110.000,2
WCN,24/08/2015,0.007,0.007,0.007,0.007,1568393,10978.751,9
WCN,25/08/2015,0.006,0.007,0.006,0.007,1141607,7191.249,6
WCN,26/08/2015,0.006,0.007,0.006,0.007,1032500,6427.500,4
WCN,27/08/2015,0.007,0.007,0.007,0.007,2533828,17736.796,12
WCN,28/08/2015,0.006,0.006,0.006,0.006,800000,4800.000,6
WCN,31/08/2015,0.006,0.006,0.006,0.006,1250000,7500.000,10
WCN,01/09/2015,0.006,0.014,0.006,0.011,57817926,655930.862,367
WCN,02/09/2015,0.009,0.010,0.009,0.009,9745007,87955.063,66
WCN,03/09/2015,0.009,0.009,0.008,0.008,4815146,41779.522,22
WCN,04/09/2015,0.009,0.009,0.008,0.008,4206292,34150.336,25
WCN,07/09/2015,0.008,0.008,0.008,0.008,2391008,19128.064,11
WCN,08/09/2015,0.008,0.008,0.008,0.008,2605507,20844.056,14
WCN,09/09/2015,0.008,0.008,0.007,0.008,1491500,11232.000,9
WCN,10/09/2015,0.007,0.007,0.007,0.007,917000,6419.000,6
WCN,11/09/2015,0.008,0.008,0.008,0.008,900000,7200.000,7
WCN,14/09/2015,0.007,0.007,0.007,0.007,700000,4900.000,3
WCN,15/09/2015,0.007,0.009,0.007,0.008,22847983,190865.701,112
WCN,16/09/2015,0.009,0.009,0.008,0.008,5091039,45249.739,35
WCN,17/09/2015,0.008,0.008,0.008,0.008,348192,2785.536,2
WCN,18/09/2015,0.008,0.008,0.008,0.008,73500,588.000,1
WCN,21/09/2015,0.008,0.008,0.008,0.008,1459424,11675.392,8
WCN,22/09/2015,0.000,0.000,0.000,0.008,0,0.000,0
WCN,23/09/2015,0.000,0.000,0.000,0.008,0,0.000,0
WCN,24/09/2015,0.008,0.008,0.007,0.007,518277,4090.439,4
WCN,25/09/2015,0.007,0.007,0.007,0.007,1527532,10692.724,7
WCN,28/09/2015,0.007,0.007,0.006,0.007,5524253,38199.771,24
WCN,29/09/2015,0.007,0.007,0.007,0.007,500000,3500.000,3
WCN,30/09/2015,0.007,0.007,0.006,0.006,1059531,6460.764,6
WCN,01/10/2015,0.006,0.008,0.006,0.008,15999230,118351.773,49
WCN,02/10/2015,0.008,0.008,0.007,0.008,897421,6785.679,4
WCN,05/10/2015,0.008,0.008,0.008,0.008,725000,5800.000,3
WCN,06/10/2015,0.000,0.000,0.000,0.008,0,0.000,0
WCN,07/10/2015,0.007,0.007,0.007,0.007,8772000,61404.000,36
WCN,08/10/2015,0.000,0.000,0.000,0.007,0,0.000,0
WCN,09/10/2015,0.007,0.007,0.007,0.007,650000,4550.000,3
WCN,12/10/2015,0.007,0.007,0.007,0.007,850000,5950.000,7
WCN,13/10/2015,0.000,0.000,0.000,0.007,0,0.000,0
WCN,14/10/2015,0.007,0.007,0.007,0.007,1368435,9579.045,7
WCN,15/10/2015,0.007,0.008,0.007,0.008,7326763,54799.943,36
WCN,16/10/2015,0.008,0.008,0.007,0.007,7368138,57645.104,24
WCN,19/10/2015,0.008,0.008,0.007,0.008,4936756,37894.048,21
WCN,20/10/2015,0.009,0.009,0.008,0.009,10501241,93159.949,37
WCN,21/10/2015,0.009,0.009,0.008,0.008,3062486,25375.443,18
WCN,22/10/2015,0.008,0.008,0.008,0.008,8771971,70175.768,33
WCN,23/10/2015,0.008,0.009,0.008,0.008,4179001,34488.674,20
WCN,26/10/2015,0.009,0.009,0.008,0.008,5095400,41363.200,24
WCN,27/10/2015,0.009,0.012,0.009,0.010,39597013,404339.889,127
WCN,28/10/2015,0.011,0.011,0.010,0.010,4862371,53336.081,21
WCN,29/10/2015,0.010,0.010,0.009,0.009,5882343,57723.430,25
WCN,30/10/2015,0.009,0.009,0.008,0.008,6866645,59619.078,31
WCN,02/11/2015,0.008,0.008,0.008,0.008,13611599,108892.792,44
WCN,03/11/2015,0.008,0.008,0.008,0.008,14250205,114001.640,28
WCN,04/11/2015,0.008,0.008,0.007,0.007,8757759,61493.263,26
WCN,05/11/2015,0.007,0.007,0.007,0.007,5898500,41289.500,17
WCN,06/11/2015,0.007,0.008,0.007,0.008,2707946,19457.288,19
WCN,09/11/2015,0.008,0.008,0.007,0.007,3623131,28735.048,14
WCN,10/11/2015,0.007,0.007,0.007,0.007,2294128,16058.896,5
WCN,11/11/2015,0.008,0.009,0.007,0.008,21257218,169565.211,56
WCN,12/11/2015,0.008,0.008,0.008,0.008,4365515,34924.120,15
WCN,13/11/2015,0.008,0.008,0.008,0.008,1555133,12441.064,6
WCN,16/11/2015,0.008,0.008,0.008,0.008,2372069,18976.552,13
WCN,17/11/2015,0.008,0.010,0.008,0.009,20599329,190697.688,97
WCN,18/11/2015,0.009,0.009,0.008,0.009,1617950,14487.600,12
WCN,19/11/2015,0.008,0.008,0.008,0.008,393000,3144.000,2
WCN,20/11/2015,0.009,0.009,0.008,0.008,4891425,39631.400,11
WCN,23/11/2015,0.008,0.008,0.008,0.008,2159486,17275.888,9
WCN,24/11/2015,0.007,0.007,0.007,0.007,1224167,8569.169,6
WCN,25/11/2015,0.007,0.007,0.007,0.007,60000,420.000,1
WCN,26/11/2015,0.007,0.007,0.006,0.006,8498143,59116.835,28
WCN,27/11/2015,0.000,0.000,0.000,0.006,0,0.000,0
WCN,30/11/2015,0.000,0.000,0.000,0.006,0,0.000,0
WCN,01/12/2015,0.008,0.009,0.007,0.007,35169095,278420.927,133
WCN,02/12/2015,0.008,0.008,0.007,0.007,4278855,34180.840,15
WCN,03/12/2015,0.008,0.008,0.007,0.007,4712734,33289.138,14
WCN,04/12/2015,0.007,0.008,0.007,0.008,2050000,15600.000,15
WCN,07/12/2015,0.008,0.008,0.008,0.008,17658405,141267.240,54
WCN,08/12/2015,0.008,0.008,0.007,0.007,7217875,55525.125,31
WCN,09/12/2015,0.007,0.007,0.007,0.007,1324261,9269.827,8
WCN,10/12/2015,0.007,0.007,0.007,0.007,1300000,9100.000,5
