Code,Date,Open,High,Low,Close,Volume,Value,Trades
WDS,11/06/2015,0.130,0.130,0.120,0.125,278988,34304.750,11
WDS,12/06/2015,0.125,0.130,0.125,0.130,708261,91648.140,24
WDS,15/06/2015,0.130,0.135,0.130,0.135,123850,16120.500,11
WDS,16/06/2015,0.135,0.160,0.135,0.145,1285507,183153.130,65
WDS,17/06/2015,0.135,0.140,0.125,0.125,2867729,380134.550,67
WDS,18/06/2015,0.130,0.130,0.125,0.125,408927,52365.875,15
WDS,19/06/2015,0.125,0.125,0.120,0.125,380679,47551.040,13
WDS,22/06/2015,0.125,0.125,0.125,0.125,74809,9351.125,9
WDS,23/06/2015,0.130,0.135,0.130,0.135,528438,70888.655,15
WDS,24/06/2015,0.135,0.140,0.130,0.140,1084407,146323.800,24
WDS,25/06/2015,0.135,0.135,0.130,0.130,689923,91439.990,19
WDS,26/06/2015,0.125,0.130,0.120,0.125,201945,25308.125,21
WDS,29/06/2015,0.120,0.140,0.120,0.125,197831,25574.210,32
WDS,30/06/2015,0.125,0.135,0.125,0.130,250979,32269.820,10
WDS,01/07/2015,0.130,0.140,0.130,0.130,119138,16077.565,14
WDS,02/07/2015,0.130,0.135,0.130,0.130,59014,7763.675,7
WDS,03/07/2015,0.130,0.130,0.125,0.125,250107,32459.340,9
WDS,06/07/2015,0.130,0.130,0.125,0.125,224527,28399.875,7
WDS,07/07/2015,0.125,0.125,0.125,0.125,87375,10921.875,6
WDS,08/07/2015,0.000,0.000,0.000,0.125,0,0.000,0
WDS,09/07/2015,0.120,0.125,0.120,0.125,297500,35740.000,8
WDS,10/07/2015,0.120,0.125,0.120,0.125,389376,48650.000,5
WDS,13/07/2015,0.120,0.130,0.120,0.130,90714,11442.820,4
WDS,14/07/2015,0.125,0.130,0.125,0.130,125286,15832.180,9
WDS,15/07/2015,0.130,0.130,0.130,0.130,45000,5850.000,1
WDS,16/07/2015,0.130,0.130,0.130,0.130,100000,13000.000,1
WDS,17/07/2015,0.130,0.130,0.125,0.130,120714,15418.820,6
WDS,20/07/2015,0.130,0.140,0.130,0.135,416428,56624.920,13
WDS,21/07/2015,0.135,0.135,0.135,0.135,13468,1818.180,1
WDS,22/07/2015,0.135,0.135,0.130,0.130,89532,11721.820,3
WDS,23/07/2015,0.130,0.130,0.130,0.130,34003,4420.390,3
WDS,24/07/2015,0.130,0.140,0.130,0.135,243894,33796.010,10
WDS,27/07/2015,0.145,0.145,0.140,0.140,201229,29077.060,13
WDS,28/07/2015,0.145,0.150,0.145,0.145,143970,21038.775,7
WDS,29/07/2015,0.150,0.160,0.150,0.160,249017,38073.260,18
WDS,30/07/2015,0.160,0.160,0.155,0.155,155896,24663.880,8
WDS,31/07/2015,0.160,0.165,0.150,0.150,120328,18336.245,11
WDS,03/08/2015,0.155,0.155,0.150,0.150,37000,5575.000,6
WDS,04/08/2015,0.145,0.165,0.145,0.160,382826,60485.200,19
WDS,05/08/2015,0.160,0.165,0.160,0.165,190358,30584.780,12
WDS,06/08/2015,0.160,0.160,0.155,0.155,114933,18239.280,8
WDS,07/08/2015,0.155,0.160,0.140,0.145,415743,61771.515,19
WDS,10/08/2015,0.150,0.160,0.145,0.150,91800,14215.000,8
