Code,Date,Open,High,Low,Close,Volume,Value,Trades
WHC,11/06/2015,1.380,1.460,1.380,1.450,2053766,2965428.813,1767
WHC,12/06/2015,1.435,1.465,1.415,1.460,3137155,4549027.126,1718
WHC,15/06/2015,1.430,1.450,1.417,1.450,1641330,2364434.535,1611
WHC,16/06/2015,1.430,1.450,1.415,1.430,3346862,4772338.737,1237
WHC,17/06/2015,1.430,1.430,1.395,1.410,2493795,3524892.527,1813
WHC,18/06/2015,1.420,1.420,1.405,1.410,3223245,4552129.825,1950
WHC,19/06/2015,1.410,1.465,1.380,1.405,2513607,3561621.688,2136
WHC,22/06/2015,1.410,1.415,1.372,1.385,2838253,3938728.031,1507
WHC,23/06/2015,1.400,1.400,1.370,1.385,3437004,4758338.016,1943
WHC,24/06/2015,1.370,1.390,1.365,1.380,2853421,3935673.850,1911
WHC,25/06/2015,1.390,1.390,1.325,1.330,2721488,3653694.949,1627
WHC,26/06/2015,1.305,1.320,1.280,1.295,3540119,4588548.397,2208
WHC,29/06/2015,1.260,1.285,1.245,1.260,2578197,3267046.231,1713
WHC,30/06/2015,1.270,1.360,1.250,1.315,4276663,5556765.801,3070
WHC,01/07/2015,1.270,1.335,1.270,1.320,2331045,3065969.977,1814
WHC,02/07/2015,1.305,1.305,1.255,1.280,2439919,3114504.331,1695
WHC,03/07/2015,1.260,1.275,1.170,1.210,4299478,5168502.144,2119
WHC,06/07/2015,1.180,1.185,1.140,1.145,2409587,2799921.601,1710
WHC,07/07/2015,1.130,1.165,1.125,1.160,2953490,3385470.518,1914
WHC,08/07/2015,1.140,1.255,1.140,1.210,3060042,3676502.201,2587
WHC,09/07/2015,1.190,1.210,1.155,1.200,3022386,3607342.241,1939
WHC,10/07/2015,1.220,1.230,1.170,1.175,1408727,1666393.534,1069
WHC,13/07/2015,1.170,1.185,1.165,1.175,1750290,2056894.820,1294
WHC,14/07/2015,1.195,1.265,1.185,1.230,4439948,5471749.373,1953
WHC,15/07/2015,1.250,1.270,1.230,1.245,2680552,3337523.073,1606
WHC,16/07/2015,1.265,1.270,1.145,1.165,3221619,3826069.268,1619
WHC,17/07/2015,1.210,1.285,1.185,1.270,7616536,9429120.073,3090
WHC,20/07/2015,1.275,1.320,1.270,1.305,4082099,5316991.512,1737
WHC,21/07/2015,1.310,1.335,1.295,1.305,2752232,3609591.945,1284
WHC,22/07/2015,1.325,1.340,1.300,1.305,1914334,2513708.013,1403
WHC,23/07/2015,1.285,1.312,1.285,1.300,2067834,2682445.770,1274
WHC,24/07/2015,1.255,1.275,1.250,1.255,2947601,3703152.635,1316
WHC,27/07/2015,1.250,1.250,1.210,1.240,945115,1163251.676,1042
WHC,28/07/2015,1.205,1.255,1.170,1.175,3462206,4166180.814,1582
WHC,29/07/2015,1.205,1.215,1.170,1.185,3713943,4430074.581,2270
WHC,30/07/2015,1.190,1.250,1.190,1.220,4023194,4939707.628,1476
WHC,31/07/2015,1.240,1.240,1.190,1.200,1473356,1776318.878,1229
WHC,03/08/2015,1.190,1.200,1.170,1.175,1477092,1746885.074,860
WHC,04/08/2015,1.200,1.200,1.130,1.135,2458770,2841918.568,1340
WHC,05/08/2015,1.130,1.160,1.115,1.135,3467932,3946465.831,1548
WHC,06/08/2015,1.140,1.145,1.120,1.125,1768804,2001506.132,894
WHC,07/08/2015,1.110,1.125,1.080,1.100,2680360,2946615.419,1457
WHC,10/08/2015,1.100,1.130,1.095,1.100,2315456,2569019.137,1712
WHC,11/08/2015,1.115,1.130,1.060,1.090,3953965,4317199.008,1443
WHC,12/08/2015,1.100,1.100,1.020,1.040,4115840,4303129.615,2309
WHC,13/08/2015,1.045,1.115,0.977,1.000,9454346,9613194.278,2562
WHC,14/08/2015,1.020,1.085,1.020,1.060,6607036,7011598.085,2553
WHC,17/08/2015,1.085,1.090,1.055,1.070,2580468,2755290.641,1425
WHC,18/08/2015,1.060,1.125,1.055,1.105,4075924,4460723.551,2161
WHC,19/08/2015,1.115,1.245,1.095,1.245,6775774,8089144.151,2013
WHC,20/08/2015,1.200,1.205,1.165,1.185,4666236,5540068.291,1593
WHC,21/08/2015,1.175,1.205,1.140,1.185,7820725,9177555.592,3325
WHC,24/08/2015,1.140,1.180,1.060,1.075,4522253,4967016.273,2302
WHC,25/08/2015,1.050,1.100,0.955,0.985,14014518,14175165.353,4279
WHC,26/08/2015,1.000,1.100,1.000,1.100,5200567,5509695.171,2771
WHC,27/08/2015,1.125,1.165,1.115,1.150,5347683,6092935.875,2122
WHC,28/08/2015,1.200,1.227,1.150,1.175,7822024,9251599.203,1968
WHC,31/08/2015,1.165,1.185,1.140,1.165,6161971,7148327.333,2019
WHC,01/09/2015,1.165,1.165,1.100,1.100,2228181,2505953.092,1426
WHC,02/09/2015,1.070,1.095,1.030,1.090,4854804,5175744.507,2792
WHC,03/09/2015,1.090,1.100,1.045,1.060,1860862,1977547.812,1384
WHC,04/09/2015,1.050,1.070,1.040,1.070,1646240,1739348.276,885
WHC,07/09/2015,1.070,1.070,1.040,1.050,1100651,1157471.028,1124
WHC,08/09/2015,1.040,1.065,0.980,1.010,5708693,5841069.119,2118
WHC,09/09/2015,1.045,1.110,1.045,1.090,2684756,2892505.510,1556
WHC,10/09/2015,1.060,1.080,1.045,1.055,2178245,2311749.147,1324
WHC,11/09/2015,1.055,1.080,1.040,1.045,1264773,1342815.362,1493
WHC,14/09/2015,1.080,1.090,1.025,1.055,1669550,1751518.520,1224
WHC,15/09/2015,1.035,1.070,0.995,0.995,3441304,3496977.275,1740
WHC,16/09/2015,1.000,1.015,0.975,1.000,5332001,5300781.016,2147
WHC,17/09/2015,1.045,1.050,1.020,1.030,2874249,2979581.931,1049
WHC,18/09/2015,1.010,1.065,1.010,1.020,3967060,4094313.010,1776
WHC,21/09/2015,0.995,1.015,0.980,0.995,2079720,2065404.942,1032
WHC,22/09/2015,1.025,1.025,0.950,0.960,2974365,2888257.139,1566
WHC,23/09/2015,0.960,1.020,0.950,0.990,4858973,4846549.635,2094
WHC,24/09/2015,0.990,1.010,0.987,0.995,3384305,3379361.922,2252
WHC,25/09/2015,1.010,1.020,0.990,0.990,2036881,2028310.058,1106
WHC,28/09/2015,1.000,1.005,0.975,1.005,1687227,1668845.421,1394
WHC,29/09/2015,0.960,0.975,0.910,0.915,5500278,5155646.118,2288
WHC,30/09/2015,0.915,0.920,0.882,0.895,3890889,3490248.829,2080
WHC,01/10/2015,0.920,0.955,0.915,0.940,3524543,3298366.920,1848
WHC,02/10/2015,0.910,0.945,0.910,0.930,2855108,2652921.815,1272
WHC,05/10/2015,0.930,1.010,0.930,1.005,1575164,1543215.016,939
WHC,06/10/2015,1.010,1.040,0.955,0.960,3287827,3227310.354,1703
WHC,07/10/2015,0.980,1.030,0.967,1.000,3796646,3750347.131,1594
WHC,08/10/2015,1.030,1.037,0.985,0.995,3640404,3690991.676,1387
WHC,09/10/2015,1.000,1.015,0.990,1.000,3242234,3253846.359,1842
WHC,12/10/2015,1.000,1.015,0.990,1.010,2276130,2284633.297,1560
WHC,13/10/2015,0.995,1.005,0.945,0.945,3471361,3391954.868,1311
WHC,14/10/2015,0.950,1.000,0.945,0.985,3540271,3438268.344,1158
WHC,15/10/2015,0.990,1.005,0.960,0.970,1929847,1889906.193,1084
WHC,16/10/2015,0.995,1.090,0.995,1.065,6550887,6853285.132,2124
WHC,19/10/2015,1.075,1.075,1.030,1.055,1472723,1538947.506,1146
WHC,20/10/2015,1.030,1.062,1.010,1.030,2897431,2992554.255,1150
WHC,21/10/2015,1.000,1.075,1.000,1.060,1371284,1445177.443,1070
WHC,22/10/2015,1.050,1.065,1.040,1.055,1340067,1409799.580,978
WHC,23/10/2015,1.070,1.090,1.060,1.090,2518920,2726886.900,1926
WHC,26/10/2015,1.110,1.110,1.090,1.100,1408441,1552704.706,1233
WHC,27/10/2015,1.100,1.105,1.075,1.080,2477830,2697272.238,1786
WHC,28/10/2015,1.075,1.075,1.045,1.050,1161813,1225559.102,1140
WHC,29/10/2015,1.070,1.080,1.030,1.035,2230020,2361003.505,1352
WHC,30/10/2015,1.030,1.080,1.010,1.020,2437595,2499145.893,1858
WHC,02/11/2015,1.040,1.050,1.020,1.030,1005362,1038333.109,1010
WHC,03/11/2015,1.050,1.075,1.040,1.075,1604882,1703830.057,1177
WHC,04/11/2015,1.085,1.140,1.085,1.110,2288905,2539065.310,1343
WHC,05/11/2015,1.090,1.100,1.060,1.070,1321267,1420557.115,1316
WHC,06/11/2015,1.065,1.075,1.022,1.065,2429781,2552731.641,1046
WHC,09/11/2015,1.045,1.045,1.020,1.025,1884670,1941430.304,1478
WHC,10/11/2015,1.020,1.027,1.000,1.005,3093894,3117574.067,2094
WHC,11/11/2015,1.000,1.020,0.965,0.985,1303015,1284832.437,1176
WHC,12/11/2015,0.980,0.985,0.965,0.980,1083893,1055853.929,850
WHC,13/11/2015,0.960,0.965,0.920,0.925,2671018,2493423.367,1590
WHC,16/11/2015,0.910,0.965,0.910,0.920,2847771,2661183.366,1712
WHC,17/11/2015,0.950,0.965,0.930,0.960,2512332,2390054.256,1372
WHC,18/11/2015,0.950,1.000,0.950,0.995,1123391,1094165.064,923
WHC,19/11/2015,0.995,1.040,0.982,1.030,3019515,3056558.822,1662
WHC,20/11/2015,1.050,1.050,0.970,0.970,2081462,2058137.939,1401
WHC,23/11/2015,0.995,1.000,0.970,0.990,2284133,2235980.850,1048
WHC,24/11/2015,0.985,1.010,0.965,0.970,1404941,1384142.985,1540
WHC,25/11/2015,0.985,0.985,0.955,0.980,1499445,1461501.747,1282
WHC,26/11/2015,0.955,0.965,0.925,0.955,3096014,2945039.498,1556
WHC,27/11/2015,0.975,0.975,0.945,0.950,662885,629731.684,501
WHC,30/11/2015,0.945,0.960,0.905,0.905,2401254,2206529.717,1725
WHC,01/12/2015,0.905,0.947,0.905,0.920,1668383,1541814.734,1867
WHC,02/12/2015,0.910,0.935,0.890,0.930,1208237,1103688.411,991
WHC,03/12/2015,0.895,0.940,0.887,0.925,2805630,2561984.286,1927
WHC,04/12/2015,0.910,0.915,0.895,0.900,3042790,2752133.042,1779
WHC,07/12/2015,0.930,0.930,0.880,0.895,2075842,1859581.871,1675
WHC,08/12/2015,0.870,0.875,0.825,0.830,3026841,2560103.261,2120
WHC,09/12/2015,0.830,0.840,0.800,0.820,2558566,2094482.577,1590
WHC,10/12/2015,0.830,0.830,0.725,0.725,5260638,3954470.762,2773
WHC,11/12/2015,0.735,0.740,0.675,0.675,3745912,2592329.803,1912
WHC,14/12/2015,0.640,0.705,0.630,0.675,5088910,3395648.939,2838
WHC,15/12/2015,0.640,0.707,0.605,0.605,4558122,2918808.268,2969
WHC,16/12/2015,0.635,0.800,0.635,0.645,8302539,5766115.906,3425
WHC,17/12/2015,0.680,0.705,0.655,0.675,5204319,3555118.434,1957
WHC,18/12/2015,0.680,0.700,0.655,0.670,4177846,2808373.073,1360
WHC,21/12/2015,0.680,0.690,0.630,0.635,2779342,1812779.903,1945
WHC,22/12/2015,0.650,0.665,0.630,0.635,3672144,2354373.619,2343
WHC,23/12/2015,0.640,0.660,0.630,0.635,2663425,1704783.691,1640
WHC,24/12/2015,0.650,0.695,0.650,0.690,1054867,704771.445,720
WHC,29/12/2015,0.700,0.700,0.670,0.700,2656563,1827805.639,1510
WHC,30/12/2015,0.710,0.720,0.690,0.700,3903733,2748427.546,1950
WHC,31/12/2015,0.700,0.715,0.680,0.700,1855814,1295535.424,1539
WHC,04/01/2016,0.685,0.735,0.685,0.700,2020940,1432714.673,1446
WHC,05/01/2016,0.690,0.700,0.655,0.660,2934922,1979286.831,1596
WHC,06/01/2016,0.660,0.675,0.650,0.670,1721537,1138088.320,911
WHC,07/01/2016,0.640,0.650,0.590,0.600,4067416,2486433.577,1886
WHC,08/01/2016,0.600,0.620,0.585,0.595,3084447,1838347.297,1522
WHC,11/01/2016,0.610,0.630,0.595,0.620,2116768,1296717.947,1301
WHC,12/01/2016,0.650,0.680,0.580,0.585,3721558,2288869.993,2100
WHC,13/01/2016,0.600,0.600,0.530,0.530,5744587,3198260.048,3414
WHC,14/01/2016,0.510,0.535,0.500,0.510,4228853,2157894.474,1973
WHC,15/01/2016,0.515,0.550,0.410,0.490,11474292,5580873.697,4246
WHC,18/01/2016,0.450,0.500,0.425,0.485,5007948,2334669.413,3530
WHC,19/01/2016,0.460,0.485,0.447,0.455,4774683,2194897.363,1612
WHC,20/01/2016,0.455,0.470,0.435,0.445,5192303,2313266.038,2874
WHC,21/01/2016,0.450,0.465,0.420,0.430,8161348,3610949.444,1938
WHC,22/01/2016,0.440,0.445,0.415,0.415,3770323,1619907.376,1313
WHC,25/01/2016,0.435,0.445,0.415,0.440,2098564,905843.190,2536
